serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025LFT,2018-01-02,ST4000DM000,0,0.0,27647.0,0.0,0.0,174906.0,27.0,0.0,0.0,24613339919.0,200103046567.0
Z3025LFT,2018-01-03,ST4000DM000,0,0.0,27672.0,0.0,0.0,174906.0,30.0,0.0,0.0,24622763812.0,200138947130.0
Z3025LFT,2018-01-04,ST4000DM000,0,0.0,27696.0,0.0,0.0,174906.0,30.0,0.0,0.0,24633010709.0,200175997162.0
Z3025LFT,2018-01-05,ST4000DM000,0,0.0,27720.0,0.0,0.0,174906.0,29.0,0.0,0.0,24643636986.0,200213393592.0
Z3025LFT,2018-01-06,ST4000DM000,0,0.0,27744.0,0.0,0.0,174906.0,26.0,0.0,0.0,24652463927.0,200251844737.0
Z3025LFT,2018-01-07,ST4000DM000,0,0.0,27768.0,0.0,0.0,174906.0,26.0,0.0,0.0,24667638251.0,200292621955.0
Z3025LFT,2018-01-08,ST4000DM000,0,0.0,27792.0,0.0,0.0,174907.0,26.0,0.0,0.0,24676332301.0,200328229030.0
Z3025LFT,2018-01-09,ST4000DM000,0,0.0,27815.0,0.0,0.0,174907.0,26.0,0.0,0.0,24685725471.0,200363668918.0
Z3025LFT,2018-01-10,ST4000DM000,0,0.0,27838.0,0.0,0.0,174907.0,26.0,0.0,0.0,24694520811.0,200400095779.0
Z3025LFT,2018-01-11,ST4000DM000,0,0.0,27859.0,0.0,0.0,174907.0,26.0,0.0,0.0,24697833913.0,200443144613.0
Z3025LFT,2018-01-12,ST4000DM000,0,0.0,27883.0,0.0,0.0,174907.0,27.0,0.0,0.0,24702876983.0,200494097215.0
Z3025LFT,2018-01-13,ST4000DM000,0,0.0,27908.0,0.0,0.0,174909.0,28.0,0.0,0.0,24709372296.0,200536372580.0
Z3025LFT,2018-01-14,ST4000DM000,0,0.0,27932.0,0.0,0.0,176058.0,26.0,0.0,0.0,24709954839.0,200570356644.0
