serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025PGA,2018-01-02,ST4000DM000,0,0.0,27653.0,0.0,4.0,129754.0,25.0,0.0,0.0,24976692750.0,210011303891.0
Z3025PGA,2018-01-03,ST4000DM000,0,0.0,27677.0,0.0,4.0,129754.0,26.0,0.0,0.0,24985240527.0,210046290092.0
Z3025PGA,2018-01-04,ST4000DM000,0,0.0,27701.0,0.0,4.0,129754.0,27.0,0.0,0.0,24994244960.0,210082806131.0
Z3025PGA,2018-01-05,ST4000DM000,0,0.0,27725.0,0.0,4.0,129754.0,27.0,0.0,0.0,25003327110.0,210120347049.0
Z3025PGA,2018-01-06,ST4000DM000,0,0.0,27749.0,0.0,4.0,129754.0,26.0,0.0,0.0,25012801878.0,210157680585.0
Z3025PGA,2018-01-07,ST4000DM000,0,0.0,27773.0,0.0,4.0,129754.0,26.0,0.0,0.0,25021783455.0,210195552800.0
Z3025PGA,2018-01-08,ST4000DM000,0,0.0,27797.0,0.0,4.0,129755.0,27.0,0.0,0.0,25029658816.0,210233726056.0
Z3025PGA,2018-01-09,ST4000DM000,0,0.0,27821.0,0.0,4.0,129755.0,27.0,0.0,0.0,25036127011.0,210266319850.0
Z3025PGA,2018-01-10,ST4000DM000,0,0.0,27839.0,0.0,4.0,129755.0,27.0,0.0,0.0,25040764481.0,210296548150.0
Z3025PGA,2018-01-11,ST4000DM000,0,0.0,27851.0,0.0,4.0,129755.0,27.0,0.0,0.0,25042586329.0,210323123835.0
Z3025PGA,2018-01-12,ST4000DM000,0,0.0,27883.0,0.0,4.0,129755.0,26.0,0.0,0.0,25050011996.0,210387369504.0
Z3025PGA,2018-01-13,ST4000DM000,0,0.0,27908.0,0.0,4.0,129755.0,25.0,0.0,0.0,25053603987.0,210429482502.0
Z3025PGA,2018-01-14,ST4000DM000,0,0.0,27932.0,0.0,4.0,130850.0,23.0,0.0,0.0,25054099008.0,210457738914.0
Z3025PGA,2018-01-15,ST4000DM000,0,0.0,27956.0,0.0,4.0,132128.0,24.0,0.0,0.0,25054203912.0,210483243196.0
Z3025PGA,2018-01-16,ST4000DM000,0,0.0,27981.0,0.0,4.0,133007.0,23.0,0.0,0.0,25055046688.0,210518902789.0
Z3025PGA,2018-01-17,ST4000DM000,0,0.0,28004.0,0.0,4.0,133020.0,24.0,0.0,0.0,25057062219.0,210573128762.0
Z3025PGA,2018-01-18,ST4000DM000,0,0.0,28037.0,0.0,4.0,133023.0,24.0,0.0,0.0,25059977270.0,210629754637.0
Z3025PGA,2018-01-19,ST4000DM000,0,0.0,28061.0,0.0,4.0,133023.0,24.0,0.0,0.0,25061877905.0,210671107024.0
Z3025PGA,2018-01-20,ST4000DM000,0,0.0,28085.0,0.0,4.0,133025.0,23.0,0.0,0.0,25063983438.0,210710692839.0
Z3025PGA,2018-01-21,ST4000DM000,0,0.0,28109.0,0.0,4.0,133025.0,24.0,0.0,0.0,25066021428.0,210749388645.0
Z3025PGA,2018-01-22,ST4000DM000,0,0.0,28133.0,0.0,4.0,133025.0,22.0,0.0,0.0,25067994661.0,210788375782.0
Z3025PGA,2018-01-23,ST4000DM000,0,0.0,28157.0,0.0,4.0,133029.0,22.0,0.0,0.0,25070026792.0,210821873274.0
Z3025PGA,2018-01-24,ST4000DM000,0,0.0,28177.0,0.0,4.0,133038.0,22.0,0.0,0.0,25071537000.0,210851938636.0
Z3025PGA,2018-01-25,ST4000DM000,0,0.0,28201.0,0.0,4.0,133045.0,22.0,0.0,0.0,25073976442.0,210888788500.0
Z3025PGA,2018-01-26,ST4000DM000,0,0.0,28225.0,0.0,4.0,133076.0,22.0,0.0,0.0,25076072806.0,210933583256.0
Z3025PGA,2018-01-27,ST4000DM000,0,0.0,28249.0,0.0,4.0,133076.0,23.0,0.0,0.0,25078143699.0,210973592998.0
Z3025PGA,2018-01-28,ST4000DM000,0,0.0,28273.0,0.0,4.0,133076.0,23.0,0.0,0.0,25080171575.0,211008705348.0
Z3025PGA,2018-01-29,ST4000DM000,0,0.0,28297.0,0.0,4.0,133076.0,23.0,0.0,0.0,25082147589.0,211048479338.0
Z3025PGA,2018-01-30,ST4000DM000,0,0.0,28316.0,0.0,4.0,133076.0,23.0,0.0,0.0,25083728642.0,211074581578.0
Z3025PGA,2018-01-31,ST4000DM000,0,0.0,28340.0,0.0,4.0,133076.0,23.0,0.0,0.0,25086677709.0,211118348788.0
Z3025PGA,2018-02-01,ST4000DM000,0,0.0,28363.0,0.0,4.0,133076.0,24.0,0.0,0.0,25089113591.0,211160196497.0
Z3025PGA,2018-02-02,ST4000DM000,0,0.0,28387.0,0.0,4.0,133076.0,23.0,0.0,0.0,25091042904.0,211200051621.0
Z3025PGA,2018-02-03,ST4000DM000,0,0.0,28412.0,0.0,4.0,133076.0,23.0,0.0,0.0,25093229528.0,211252534822.0
Z3025PGA,2018-02-04,ST4000DM000,0,0.0,28439.0,0.0,4.0,133076.0,23.0,0.0,0.0,25095820604.0,211295606375.0
Z3025PGA,2018-02-05,ST4000DM000,0,0.0,28464.0,0.0,4.0,133076.0,23.0,0.0,0.0,25097991572.0,211334588522.0
Z3025PGA,2018-02-06,ST4000DM000,0,0.0,28488.0,0.0,4.0,133076.0,23.0,0.0,0.0,25100345879.0,211368087465.0
Z3025PGA,2018-02-07,ST4000DM000,0,0.0,28511.0,0.0,4.0,133076.0,23.0,0.0,0.0,25102429605.0,211407832963.0
Z3025PGA,2018-02-08,ST4000DM000,0,0.0,28536.0,0.0,4.0,133076.0,26.0,0.0,0.0,25104803933.0,211448871578.0
Z3025PGA,2018-02-09,ST4000DM000,0,0.0,28560.0,0.0,4.0,133076.0,23.0,0.0,0.0,25106952560.0,211484592583.0
Z3025PGA,2018-02-10,ST4000DM000,0,0.0,28583.0,0.0,4.0,133076.0,23.0,0.0,0.0,25108983264.0,211521156504.0
Z3025PGA,2018-02-11,ST4000DM000,0,0.0,28607.0,0.0,4.0,133076.0,22.0,0.0,0.0,25110939940.0,211559671617.0
Z3025PGA,2018-02-12,ST4000DM000,0,0.0,28632.0,0.0,4.0,133076.0,22.0,0.0,0.0,25113653580.0,211601235169.0
Z3025PGA,2018-02-13,ST4000DM000,0,0.0,28655.0,0.0,4.0,133076.0,22.0,0.0,0.0,25115746558.0,211636391979.0
Z3025PGA,2018-02-14,ST4000DM000,0,0.0,28679.0,0.0,4.0,133076.0,22.0,0.0,0.0,25118323516.0,211674628928.0
Z3025PGA,2018-02-15,ST4000DM000,0,0.0,28704.0,0.0,4.0,133076.0,22.0,0.0,0.0,25120833881.0,211715008318.0
Z3025PGA,2018-02-16,ST4000DM000,0,0.0,28727.0,0.0,4.0,133076.0,22.0,0.0,0.0,25122997562.0,211753393043.0
