serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3025QEW,2018-01-02,ST4000DM000,0,0.0,26857.0,0.0,0.0,70832.0,21.0,0.0,0.0,23238017247.0,213818408215.0
Z3025QEW,2018-01-03,ST4000DM000,0,0.0,26881.0,0.0,0.0,70832.0,22.0,0.0,0.0,23245370220.0,213844951431.0
Z3025QEW,2018-01-04,ST4000DM000,0,0.0,26905.0,0.0,0.0,70832.0,22.0,0.0,0.0,23257400754.0,213884835351.0
Z3025QEW,2018-01-05,ST4000DM000,0,0.0,26929.0,0.0,0.0,70832.0,22.0,0.0,0.0,23267858642.0,213919376845.0
Z3025QEW,2018-01-06,ST4000DM000,0,0.0,26953.0,0.0,0.0,70832.0,22.0,0.0,0.0,23277617093.0,213944670593.0
Z3025QEW,2018-01-07,ST4000DM000,0,0.0,26977.0,0.0,0.0,70832.0,22.0,0.0,0.0,23289361874.0,213971118672.0
Z3025QEW,2018-01-08,ST4000DM000,0,0.0,27001.0,0.0,0.0,70832.0,22.0,0.0,0.0,23299542518.0,213997962769.0
Z3025QEW,2018-01-09,ST4000DM000,0,0.0,27025.0,0.0,0.0,70832.0,22.0,0.0,0.0,23311915549.0,214029181853.0
Z3025QEW,2018-01-10,ST4000DM000,0,0.0,27049.0,0.0,0.0,70832.0,22.0,0.0,0.0,23316867215.0,214057445504.0
Z3025QEW,2018-01-11,ST4000DM000,0,0.0,27063.0,0.0,0.0,70832.0,22.0,0.0,0.0,23317951152.0,214074574287.0
Z3025QEW,2018-01-12,ST4000DM000,0,0.0,27086.0,0.0,0.0,70832.0,22.0,0.0,0.0,23321229477.0,214102858733.0
Z3025QEW,2018-01-13,ST4000DM000,0,0.0,27115.0,0.0,0.0,70832.0,22.0,0.0,0.0,23324198325.0,214136085998.0
Z3025QEW,2018-01-14,ST4000DM000,0,0.0,27139.0,0.0,0.0,70832.0,21.0,0.0,0.0,23326255424.0,214166628544.0
Z3025QEW,2018-01-15,ST4000DM000,0,0.0,27163.0,0.0,0.0,70832.0,22.0,0.0,0.0,23327528827.0,214195921590.0
Z3025QEW,2018-01-16,ST4000DM000,0,0.0,27187.0,0.0,0.0,70842.0,21.0,0.0,0.0,23328807294.0,214227526786.0
Z3025QEW,2018-01-17,ST4000DM000,0,0.0,27211.0,0.0,0.0,70842.0,21.0,0.0,0.0,23330006353.0,214257758817.0
Z3025QEW,2018-01-18,ST4000DM000,0,0.0,27234.0,0.0,0.0,70842.0,21.0,0.0,0.0,23331174333.0,214292081868.0
Z3025QEW,2018-01-19,ST4000DM000,0,0.0,27258.0,0.0,0.0,70842.0,21.0,0.0,0.0,23333017338.0,214324223585.0
Z3025QEW,2018-01-20,ST4000DM000,0,0.0,27282.0,0.0,0.0,70842.0,21.0,0.0,0.0,23334280009.0,214358353240.0
Z3025QEW,2018-01-21,ST4000DM000,0,0.0,27306.0,0.0,0.0,70842.0,20.0,0.0,0.0,23335487746.0,214391801403.0
Z3025QEW,2018-01-22,ST4000DM000,0,0.0,27330.0,0.0,0.0,70842.0,21.0,0.0,0.0,23336709910.0,214423330232.0
Z3025QEW,2018-01-23,ST4000DM000,0,0.0,27354.0,0.0,0.0,70842.0,20.0,0.0,0.0,23337971656.0,214454515073.0
Z3025QEW,2018-01-24,ST4000DM000,0,0.0,27386.0,0.0,0.0,70842.0,20.0,0.0,0.0,23339567788.0,214495001569.0
Z3025QEW,2018-01-25,ST4000DM000,0,0.0,27410.0,0.0,0.0,70842.0,21.0,0.0,0.0,23340878887.0,214527302097.0
Z3025QEW,2018-01-26,ST4000DM000,0,0.0,27434.0,0.0,0.0,70858.0,21.0,0.0,0.0,23342094932.0,214564998510.0
Z3025QEW,2018-01-27,ST4000DM000,0,0.0,27458.0,0.0,0.0,70858.0,21.0,0.0,0.0,23343404332.0,214595026359.0
Z3025QEW,2018-01-28,ST4000DM000,0,0.0,27482.0,0.0,0.0,70858.0,21.0,0.0,0.0,23344689565.0,214625212592.0
