serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3027KMQ,2018-01-02,ST4000DM000,0,0.0,25782.0,0.0,0.0,6595.0,25.0,0.0,0.0,23843544483.0,191618881883.0
Z3027KMQ,2018-01-03,ST4000DM000,0,0.0,25807.0,0.0,0.0,6595.0,28.0,0.0,0.0,23853841021.0,191650315448.0
Z3027KMQ,2018-01-04,ST4000DM000,0,0.0,25807.0,0.0,0.0,6595.0,28.0,0.0,0.0,23853841021.0,191650315448.0
Z3027KMQ,2018-01-05,ST4000DM000,0,0.0,25854.0,0.0,0.0,6595.0,25.0,0.0,0.0,23869724624.0,191711938095.0
Z3027KMQ,2018-01-06,ST4000DM000,0,0.0,25867.0,0.0,0.0,6595.0,24.0,0.0,0.0,23874087739.0,191727882584.0
Z3027KMQ,2018-01-07,ST4000DM000,0,0.0,25903.0,0.0,0.0,6595.0,22.0,0.0,0.0,23885749352.0,191772043969.0
Z3027KMQ,2018-01-08,ST4000DM000,0,0.0,25927.0,0.0,0.0,6595.0,23.0,0.0,0.0,23894612447.0,191808629162.0
Z3027KMQ,2018-01-09,ST4000DM000,0,0.0,25950.0,0.0,0.0,6595.0,22.0,0.0,0.0,23905167534.0,191843119243.0
Z3027KMQ,2018-01-10,ST4000DM000,0,0.0,25975.0,0.0,0.0,6595.0,24.0,0.0,0.0,23912523244.0,191879016006.0
Z3027KMQ,2018-01-11,ST4000DM000,0,0.0,25989.0,0.0,0.0,6595.0,23.0,0.0,0.0,23913601432.0,191898470112.0
Z3027KMQ,2018-01-12,ST4000DM000,0,0.0,26022.0,0.0,0.0,7217.0,24.0,0.0,0.0,23916032913.0,191949040058.0
Z3027KMQ,2018-01-13,ST4000DM000,0,0.0,26040.0,0.0,0.0,8298.0,23.0,0.0,0.0,23916033426.0,191966500437.0
Z3027KMQ,2018-01-14,ST4000DM000,0,0.0,26064.0,0.0,0.0,9644.0,24.0,0.0,0.0,23916034074.0,191996840045.0
Z3027KMQ,2018-01-15,ST4000DM000,0,0.0,26088.0,0.0,0.0,11047.0,27.0,0.0,0.0,23916034695.0,192025714461.0
Z3027KMQ,2018-01-16,ST4000DM000,0,0.0,26112.0,0.0,0.0,11978.0,25.0,0.0,0.0,23916559571.0,192057652696.0
Z3027KMQ,2018-01-17,ST4000DM000,0,0.0,26124.0,0.0,0.0,11978.0,25.0,0.0,0.0,23917228444.0,192072368567.0
Z3027KMQ,2018-01-18,ST4000DM000,0,0.0,26160.0,0.0,0.0,11980.0,24.0,0.0,0.0,23919392138.0,192117805447.0
Z3027KMQ,2018-01-19,ST4000DM000,0,0.0,26184.0,0.0,0.0,11980.0,25.0,0.0,0.0,23920686829.0,192151958079.0
Z3027KMQ,2018-01-20,ST4000DM000,0,0.0,26209.0,0.0,0.0,11980.0,24.0,0.0,0.0,23922092760.0,192183238753.0
Z3027KMQ,2018-01-21,ST4000DM000,0,0.0,26233.0,0.0,0.0,11980.0,25.0,0.0,0.0,23923647511.0,192213337859.0
Z3027KMQ,2018-01-22,ST4000DM000,0,0.0,26256.0,0.0,0.0,11980.0,25.0,0.0,0.0,23924939103.0,192244591259.0
Z3027KMQ,2018-01-23,ST4000DM000,0,0.0,26269.0,0.0,0.0,11980.0,24.0,0.0,0.0,23925616021.0,192259140620.0
Z3027KMQ,2018-01-24,ST4000DM000,0,0.0,26305.0,0.0,0.0,11980.0,24.0,0.0,0.0,23927539569.0,192303284455.0
Z3027KMQ,2018-01-25,ST4000DM000,0,0.0,26328.0,0.0,0.0,11992.0,24.0,0.0,0.0,23928775609.0,192332174802.0
Z3027KMQ,2018-01-26,ST4000DM000,0,0.0,26353.0,0.0,0.0,11992.0,24.0,0.0,0.0,23930094062.0,192365784660.0
Z3027KMQ,2018-01-27,ST4000DM000,0,0.0,26377.0,0.0,0.0,11992.0,23.0,0.0,0.0,23931472907.0,192399389990.0
Z3027KMQ,2018-01-28,ST4000DM000,0,0.0,26400.0,0.0,0.0,11992.0,24.0,0.0,0.0,23932840357.0,192428991687.0
Z3027KMQ,2018-01-29,ST4000DM000,0,0.0,26424.0,0.0,0.0,11992.0,23.0,0.0,0.0,23934217691.0,192459729455.0
Z3027KMQ,2018-01-30,ST4000DM000,0,0.0,26446.0,0.0,0.0,11992.0,24.0,0.0,0.0,23935487194.0,192489940737.0
Z3027KMQ,2018-01-31,ST4000DM000,0,0.0,26471.0,0.0,0.0,11992.0,23.0,0.0,0.0,23937136598.0,192520873743.0
Z3027KMQ,2018-02-01,ST4000DM000,0,0.0,26495.0,0.0,0.0,11992.0,24.0,0.0,0.0,23938519886.0,192555175820.0
Z3027KMQ,2018-02-02,ST4000DM000,0,0.0,26519.0,0.0,0.0,11992.0,24.0,0.0,0.0,23939903486.0,192590733111.0
Z3027KMQ,2018-02-03,ST4000DM000,0,0.0,26542.0,0.0,0.0,11992.0,23.0,0.0,0.0,23941284812.0,192626049193.0
Z3027KMQ,2018-02-04,ST4000DM000,0,0.0,26575.0,0.0,0.0,11992.0,25.0,0.0,0.0,23943093920.0,192667327795.0
Z3027KMQ,2018-02-05,ST4000DM000,0,0.0,26598.0,0.0,0.0,11992.0,24.0,0.0,0.0,23944453805.0,192702949651.0
Z3027KMQ,2018-02-06,ST4000DM000,0,0.0,26623.0,0.0,0.0,11992.0,24.0,0.0,0.0,23945815089.0,192734499021.0
