serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302FETY,2018-01-02,ST4000DM000,0,0.0,23770.0,0.0,0.0,31249.0,19.0,0.0,0.0,50512146306.0,78224724556.0
Z302FETY,2018-01-03,ST4000DM000,0,0.0,23795.0,0.0,0.0,31249.0,19.0,0.0,0.0,50550387482.0,78321161995.0
Z302FETY,2018-01-04,ST4000DM000,0,0.0,23810.0,0.0,0.0,31249.0,19.0,0.0,0.0,50578153810.0,78418557430.0
Z302FETY,2018-01-05,ST4000DM000,0,0.0,23834.0,0.0,0.0,31254.0,20.0,0.0,0.0,50603242938.0,78513360866.0
Z302FETY,2018-01-06,ST4000DM000,0,0.0,23858.0,0.0,0.0,31254.0,19.0,0.0,0.0,50632318586.0,78645313236.0
Z302FETY,2018-01-07,ST4000DM000,0,0.0,23881.0,0.0,0.0,31254.0,19.0,0.0,0.0,50667076266.0,78773426373.0
Z302FETY,2018-01-08,ST4000DM000,0,0.0,23906.0,0.0,0.0,31254.0,20.0,0.0,0.0,50705516386.0,78941203604.0
Z302FETY,2018-01-09,ST4000DM000,0,0.0,23930.0,0.0,0.0,31254.0,18.0,0.0,0.0,50734060106.0,79107772386.0
Z302FETY,2018-01-10,ST4000DM000,0,0.0,23956.0,0.0,0.0,31254.0,20.0,0.0,0.0,50758698810.0,79235714921.0
Z302FETY,2018-01-11,ST4000DM000,0,0.0,23968.0,0.0,0.0,31256.0,21.0,0.0,0.0,50761889570.0,79281599832.0
Z302FETY,2018-01-12,ST4000DM000,0,0.0,23988.0,0.0,0.0,31262.0,20.0,0.0,0.0,50769051218.0,79380725712.0
Z302FETY,2018-01-13,ST4000DM000,0,0.0,24012.0,0.0,0.0,31262.0,20.0,0.0,0.0,50778207314.0,79513178413.0
Z302FETY,2018-01-14,ST4000DM000,0,0.0,24036.0,0.0,0.0,31262.0,20.0,0.0,0.0,50784601546.0,79660869127.0
Z302FETY,2018-01-15,ST4000DM000,0,0.0,24060.0,0.0,0.0,31262.0,21.0,0.0,0.0,50792731922.0,79780197096.0
Z302FETY,2018-01-16,ST4000DM000,0,0.0,24097.0,0.0,0.0,31262.0,19.0,0.0,0.0,50803145858.0,79981003962.0
Z302FETY,2018-01-17,ST4000DM000,0,0.0,24120.0,0.0,0.0,31266.0,19.0,0.0,0.0,50809841802.0,80070732502.0
Z302FETY,2018-01-18,ST4000DM000,0,0.0,24148.0,0.0,0.0,31266.0,20.0,0.0,0.0,50818340354.0,80215149878.0
Z302FETY,2018-01-19,ST4000DM000,0,0.0,24173.0,0.0,0.0,31267.0,20.0,0.0,0.0,50823176114.0,80349806675.0
Z302FETY,2018-01-20,ST4000DM000,0,0.0,24197.0,0.0,0.0,31267.0,19.0,0.0,0.0,50835806330.0,80465499999.0
Z302FETY,2018-01-21,ST4000DM000,0,0.0,24221.0,0.0,0.0,31267.0,19.0,0.0,0.0,50845154162.0,80585214073.0
Z302FETY,2018-01-22,ST4000DM000,0,0.0,24245.0,0.0,0.0,31267.0,19.0,0.0,0.0,50854656778.0,80734842870.0
Z302FETY,2018-01-23,ST4000DM000,0,0.0,24269.0,0.0,0.0,31267.0,19.0,0.0,0.0,50869493114.0,80841898653.0
Z302FETY,2018-01-24,ST4000DM000,0,0.0,24293.0,0.0,0.0,31267.0,18.0,0.0,0.0,50881577090.0,80934985414.0
Z302FETY,2018-01-25,ST4000DM000,0,0.0,24318.0,0.0,0.0,31267.0,18.0,0.0,0.0,50895908458.0,81103491751.0
Z302FETY,2018-01-26,ST4000DM000,0,0.0,24343.0,0.0,0.0,31271.0,19.0,0.0,0.0,50902723002.0,81225416291.0
Z302FETY,2018-01-27,ST4000DM000,0,0.0,24366.0,0.0,0.0,31271.0,19.0,0.0,0.0,50907461810.0,81382756784.0
Z302FETY,2018-01-28,ST4000DM000,0,0.0,24390.0,0.0,0.0,31271.0,18.0,0.0,0.0,50918325458.0,81521491092.0
Z302FETY,2018-01-29,ST4000DM000,0,0.0,24414.0,0.0,0.0,31271.0,18.0,0.0,0.0,50922651058.0,81659978399.0
Z302FETY,2018-01-30,ST4000DM000,0,0.0,24432.0,0.0,0.0,31271.0,18.0,0.0,0.0,50926376298.0,81720556615.0
Z302FETY,2018-01-31,ST4000DM000,0,0.0,24456.0,0.0,0.0,31274.0,18.0,0.0,0.0,50934842810.0,81766365041.0
Z302FETY,2018-02-01,ST4000DM000,0,0.0,24480.0,0.0,0.0,31274.0,19.0,0.0,0.0,50939511290.0,81820328479.0
