serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302GXK8,2018-01-02,ST4000DM000,0,0.0,16135.0,0.0,1.0,135480.0,22.0,0.0,0.0,17566170025.0,108437338753.0
Z302GXK8,2018-01-03,ST4000DM000,0,0.0,16158.0,0.0,1.0,135480.0,22.0,0.0,0.0,17574891330.0,108470849257.0
Z302GXK8,2018-01-04,ST4000DM000,0,0.0,16171.0,0.0,1.0,135480.0,22.0,0.0,0.0,17577530496.0,108487936797.0
Z302GXK8,2018-01-05,ST4000DM000,0,0.0,16206.0,0.0,1.0,135480.0,23.0,0.0,0.0,17599936400.0,108549169561.0
Z302GXK8,2018-01-06,ST4000DM000,0,0.0,16230.0,0.0,1.0,135480.0,23.0,0.0,0.0,17611599593.0,108581221171.0
Z302GXK8,2018-01-07,ST4000DM000,0,0.0,16254.0,0.0,1.0,135480.0,22.0,0.0,0.0,17622863630.0,108612183770.0
Z302GXK8,2018-01-08,ST4000DM000,0,0.0,16278.0,0.0,1.0,135480.0,23.0,0.0,0.0,17633143680.0,108646800165.0
Z302GXK8,2018-01-09,ST4000DM000,0,0.0,16303.0,0.0,1.0,135480.0,23.0,0.0,0.0,17645579298.0,108681477498.0
Z302GXK8,2018-01-10,ST4000DM000,0,0.0,16326.0,0.0,1.0,135480.0,23.0,0.0,0.0,17655812905.0,108720337388.0
Z302GXK8,2018-01-11,ST4000DM000,0,0.0,16340.0,0.0,1.0,135480.0,23.0,0.0,0.0,17657661210.0,108744386268.0
Z302GXK8,2018-01-12,ST4000DM000,0,0.0,16364.0,0.0,1.0,135481.0,23.0,0.0,0.0,17663477197.0,108796207782.0
Z302GXK8,2018-01-13,ST4000DM000,0,0.0,16392.0,0.0,1.0,135493.0,22.0,0.0,0.0,17669666064.0,108845343908.0
Z302GXK8,2018-01-14,ST4000DM000,0,0.0,16416.0,0.0,1.0,135494.0,22.0,0.0,0.0,17673899631.0,108894740555.0
Z302GXK8,2018-01-15,ST4000DM000,0,0.0,16428.0,0.0,1.0,135494.0,22.0,0.0,0.0,17675658279.0,108915805947.0
Z302GXK8,2018-01-16,ST4000DM000,0,0.0,16464.0,0.0,1.0,135499.0,22.0,0.0,0.0,17685029725.0,108983272293.0
Z302GXK8,2018-01-17,ST4000DM000,0,0.0,16488.0,0.0,1.0,135505.0,22.0,0.0,0.0,17692961473.0,109020096273.0
Z302GXK8,2018-01-18,ST4000DM000,0,0.0,16511.0,0.0,1.0,135505.0,22.0,0.0,0.0,17700556509.0,109067521638.0
Z302GXK8,2018-01-19,ST4000DM000,0,0.0,16535.0,0.0,1.0,135505.0,21.0,0.0,0.0,17708643565.0,109113804576.0
Z302GXK8,2018-01-20,ST4000DM000,0,0.0,16555.0,0.0,1.0,135505.0,21.0,0.0,0.0,17714861298.0,109166543286.0
Z302GXK8,2018-01-21,ST4000DM000,0,0.0,16581.0,0.0,1.0,135519.0,22.0,0.0,0.0,17715191455.0,116733603272.0
Z302GXK8,2018-01-22,ST4000DM000,0,0.0,16605.0,0.0,1.0,136685.0,21.0,0.0,0.0,17715302528.0,117013576904.0
Z302GXK8,2018-01-23,ST4000DM000,0,0.0,16617.0,0.0,1.0,137293.0,21.0,0.0,0.0,17715356681.0,117030910728.0
Z302GXK8,2018-01-24,ST4000DM000,0,0.0,16661.0,0.0,1.0,138627.0,21.0,0.0,0.0,17719644214.0,117116724733.0
Z302GXK8,2018-01-25,ST4000DM000,0,0.0,16685.0,0.0,1.0,138633.0,22.0,0.0,0.0,17728508547.0,117162565428.0
Z302GXK8,2018-01-26,ST4000DM000,0,0.0,16709.0,0.0,1.0,138653.0,22.0,0.0,0.0,17736467887.0,117206345881.0
Z302GXK8,2018-01-27,ST4000DM000,0,0.0,16733.0,0.0,1.0,138653.0,22.0,0.0,0.0,17742809970.0,117253764185.0
Z302GXK8,2018-01-28,ST4000DM000,0,0.0,16757.0,0.0,1.0,138653.0,22.0,0.0,0.0,17749981474.0,117305248211.0
Z302GXK8,2018-01-29,ST4000DM000,0,0.0,16781.0,0.0,1.0,138653.0,22.0,0.0,0.0,17757422772.0,117363354094.0
