serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302SQW6,2018-01-02,ST4000DM000,0,0.0,20719.0,0.0,0.0,21058.0,30.0,0.0,0.0,46585928944.0,79318760379.0
Z302SQW6,2018-01-03,ST4000DM000,0,0.0,20743.0,0.0,0.0,21058.0,29.0,0.0,0.0,46632330856.0,79488054461.0
Z302SQW6,2018-01-04,ST4000DM000,0,0.0,20760.0,0.0,0.0,21058.0,27.0,0.0,0.0,46656518928.0,79503170918.0
Z302SQW6,2018-01-05,ST4000DM000,0,0.0,20796.0,0.0,0.0,21062.0,30.0,0.0,0.0,46706206320.0,79635588439.0
Z302SQW6,2018-01-06,ST4000DM000,0,0.0,20807.0,0.0,0.0,21062.0,23.0,0.0,0.0,46716595656.0,79706205907.0
Z302SQW6,2018-01-07,ST4000DM000,0,0.0,20832.0,0.0,0.0,21062.0,24.0,0.0,0.0,46742540328.0,79845281482.0
Z302SQW6,2018-01-08,ST4000DM000,0,0.0,20855.0,0.0,0.0,21062.0,24.0,0.0,0.0,46774466480.0,79981760445.0
Z302SQW6,2018-01-09,ST4000DM000,0,0.0,20880.0,0.0,0.0,21062.0,24.0,0.0,0.0,46806765424.0,80147606071.0
Z302SQW6,2018-01-10,ST4000DM000,0,0.0,20907.0,0.0,0.0,21062.0,24.0,0.0,0.0,46853790672.0,80354628143.0
Z302SQW6,2018-01-11,ST4000DM000,0,0.0,20937.0,0.0,0.0,21065.0,25.0,0.0,0.0,46868066768.0,80466306442.0
Z302SQW6,2018-01-12,ST4000DM000,0,0.0,20961.0,0.0,0.0,21065.0,25.0,0.0,0.0,46885304920.0,80600836364.0
Z302SQW6,2018-01-13,ST4000DM000,0,0.0,20985.0,0.0,0.0,21065.0,24.0,0.0,0.0,46896060208.0,80757852534.0
Z302SQW6,2018-01-14,ST4000DM000,0,0.0,21009.0,0.0,0.0,21065.0,25.0,0.0,0.0,46899951440.0,80903706776.0
