serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z302SY7G,2018-01-02,ST4000DM000,0,0.0,20002.0,0.0,0.0,9503.0,36.0,0.0,0.0,44750970160.0,61040105445.0
Z302SY7G,2018-01-03,ST4000DM000,0,0.0,20002.0,0.0,0.0,9503.0,36.0,0.0,0.0,44750970160.0,61040105445.0
Z302SY7G,2018-01-04,ST4000DM000,0,0.0,20042.0,0.0,0.0,9503.0,35.0,0.0,0.0,44803123680.0,61332730020.0
Z302SY7G,2018-01-05,ST4000DM000,0,0.0,20066.0,0.0,0.0,9504.0,36.0,0.0,0.0,44832803704.0,61438724523.0
Z302SY7G,2018-01-06,ST4000DM000,0,0.0,20090.0,0.0,0.0,9504.0,33.0,0.0,0.0,44861782968.0,61612369356.0
Z302SY7G,2018-01-07,ST4000DM000,0,0.0,20115.0,0.0,0.0,9504.0,33.0,0.0,0.0,44894996992.0,61752037958.0
Z302SY7G,2018-01-08,ST4000DM000,0,0.0,20138.0,0.0,0.0,9504.0,33.0,0.0,0.0,44924943352.0,61897339242.0
Z302SY7G,2018-01-09,ST4000DM000,0,0.0,20163.0,0.0,0.0,9504.0,33.0,0.0,0.0,44950209696.0,62032211479.0
Z302SY7G,2018-01-10,ST4000DM000,0,0.0,20189.0,0.0,0.0,9504.0,34.0,0.0,0.0,44973026312.0,62173586618.0
Z302SY7G,2018-01-11,ST4000DM000,0,0.0,20208.0,0.0,0.0,9506.0,35.0,0.0,0.0,44981625672.0,62250081647.0
Z302SY7G,2018-01-12,ST4000DM000,0,0.0,20244.0,0.0,0.0,9512.0,35.0,0.0,0.0,44995682072.0,62388653373.0
Z302SY7G,2018-01-13,ST4000DM000,0,0.0,20268.0,0.0,0.0,9512.0,34.0,0.0,0.0,45000970040.0,62508810777.0
Z302SY7G,2018-01-14,ST4000DM000,0,0.0,20292.0,0.0,0.0,9512.0,34.0,0.0,0.0,45004372328.0,62658630577.0
Z302SY7G,2018-01-15,ST4000DM000,0,0.0,20316.0,0.0,0.0,9512.0,35.0,0.0,0.0,45010606824.0,62790081758.0
Z302SY7G,2018-01-16,ST4000DM000,0,0.0,20340.0,0.0,0.0,9512.0,35.0,0.0,0.0,45018003616.0,62918260146.0
Z302SY7G,2018-01-17,ST4000DM000,0,0.0,20365.0,0.0,0.0,9512.0,34.0,0.0,0.0,45025265784.0,62980537383.0
Z302SY7G,2018-01-18,ST4000DM000,0,0.0,20379.0,0.0,0.0,9512.0,34.0,0.0,0.0,45029439968.0,63031655724.0
Z302SY7G,2018-01-19,ST4000DM000,0,0.0,20403.0,0.0,0.0,9513.0,34.0,0.0,0.0,45046093832.0,63164598097.0
Z302SY7G,2018-01-20,ST4000DM000,0,0.0,20427.0,0.0,0.0,9513.0,33.0,0.0,0.0,45055192704.0,63235688276.0
Z302SY7G,2018-01-21,ST4000DM000,0,0.0,20451.0,0.0,0.0,9513.0,33.0,0.0,0.0,45070571176.0,63337635756.0
Z302SY7G,2018-01-22,ST4000DM000,0,0.0,20475.0,0.0,0.0,9513.0,33.0,0.0,0.0,45087982392.0,63404742991.0
Z302SY7G,2018-01-23,ST4000DM000,0,0.0,20499.0,0.0,0.0,9513.0,33.0,0.0,0.0,45106844968.0,63472145318.0
Z302SY7G,2018-01-24,ST4000DM000,0,0.0,20531.0,0.0,0.0,9513.0,33.0,0.0,0.0,45119022808.0,63566250871.0
Z302SY7G,2018-01-25,ST4000DM000,0,0.0,20548.0,0.0,0.0,9513.0,33.0,0.0,0.0,45124834552.0,63622674877.0
Z302SY7G,2018-01-26,ST4000DM000,0,0.0,20571.0,0.0,0.0,9514.0,33.0,0.0,0.0,45131035096.0,63691037078.0
Z302SY7G,2018-01-27,ST4000DM000,0,0.0,20595.0,0.0,0.0,9514.0,33.0,0.0,0.0,45134591704.0,63814348272.0
Z302SY7G,2018-01-28,ST4000DM000,0,0.0,20619.0,0.0,0.0,9514.0,33.0,0.0,0.0,45138477232.0,63908578255.0
Z302SY7G,2018-01-29,ST4000DM000,0,0.0,20644.0,0.0,0.0,9514.0,33.0,0.0,0.0,45143661952.0,64047375096.0
Z302SY7G,2018-01-30,ST4000DM000,0,0.0,20676.0,0.0,0.0,9518.0,33.0,0.0,0.0,45155784848.0,64221210096.0
Z302SY7G,2018-01-31,ST4000DM000,0,0.0,20700.0,0.0,0.0,9518.0,34.0,0.0,0.0,45161156008.0,64342993479.0
Z302SY7G,2018-02-01,ST4000DM000,0,0.0,20724.0,0.0,0.0,9518.0,34.0,0.0,0.0,45170637336.0,64455807659.0
Z302SY7G,2018-02-02,ST4000DM000,0,0.0,20748.0,0.0,0.0,9518.0,34.0,0.0,0.0,45175878216.0,64590558583.0
Z302SY7G,2018-02-03,ST4000DM000,0,0.0,20772.0,0.0,0.0,9518.0,34.0,0.0,0.0,45181491744.0,64773655186.0
Z302SY7G,2018-02-04,ST4000DM000,0,0.0,20792.0,0.0,0.0,9518.0,33.0,0.0,0.0,45185165808.0,64900509864.0
Z302SY7G,2018-02-05,ST4000DM000,0,0.0,20816.0,0.0,0.0,9518.0,33.0,0.0,0.0,45188881696.0,65084586877.0
Z302SY7G,2018-02-06,ST4000DM000,0,0.0,20840.0,0.0,0.0,9518.0,33.0,0.0,0.0,45194892536.0,65264528010.0
Z302SY7G,2018-02-07,ST4000DM000,0,0.0,20864.0,0.0,0.0,9518.0,33.0,0.0,0.0,45198057280.0,65433597244.0
Z302SY7G,2018-02-08,ST4000DM000,0,0.0,20889.0,0.0,0.0,9521.0,33.0,0.0,0.0,45202111192.0,65593724169.0
Z302SY7G,2018-02-09,ST4000DM000,0,0.0,20914.0,0.0,0.0,9521.0,33.0,0.0,0.0,45207767360.0,65771717031.0
Z302SY7G,2018-02-10,ST4000DM000,0,0.0,20938.0,0.0,0.0,9521.0,33.0,0.0,0.0,45210228016.0,65938415670.0
Z302SY7G,2018-02-11,ST4000DM000,0,0.0,20962.0,0.0,0.0,9521.0,36.0,0.0,0.0,45212610480.0,66100760929.0
Z302SY7G,2018-02-12,ST4000DM000,0,0.0,20985.0,0.0,0.0,9521.0,33.0,0.0,0.0,45214819104.0,66249073895.0
Z302SY7G,2018-02-13,ST4000DM000,0,0.0,21010.0,0.0,0.0,9521.0,33.0,0.0,0.0,45221067336.0,66449516677.0
Z302SY7G,2018-02-14,ST4000DM000,0,0.0,21034.0,0.0,0.0,9521.0,33.0,0.0,0.0,45223493440.0,66609327410.0
Z302SY7G,2018-02-15,ST4000DM000,0,0.0,21057.0,0.0,0.0,9521.0,33.0,0.0,0.0,45229564976.0,66751879340.0
Z302SY7G,2018-02-16,ST4000DM000,0,0.0,21081.0,0.0,0.0,9521.0,33.0,0.0,0.0,45232577288.0,66899149720.0
Z302SY7G,2018-02-17,ST4000DM000,0,0.0,21105.0,0.0,0.0,9521.0,33.0,0.0,0.0,45239031024.0,67093305382.0
Z302SY7G,2018-02-18,ST4000DM000,0,0.0,21130.0,0.0,0.0,9521.0,33.0,0.0,0.0,45252325960.0,67287057473.0
Z302SY7G,2018-02-19,ST4000DM000,0,0.0,21154.0,0.0,0.0,9521.0,33.0,0.0,0.0,45260987360.0,67480383675.0
Z302SY7G,2018-02-20,ST4000DM000,0,0.0,21178.0,0.0,0.0,9521.0,33.0,0.0,0.0,45271269920.0,67661840659.0
Z302SY7G,2018-02-21,ST4000DM000,0,0.0,21202.0,0.0,0.0,9521.0,33.0,0.0,0.0,45273957344.0,67727757758.0
Z302SY7G,2018-02-22,ST4000DM000,0,0.0,21225.0,0.0,0.0,9531.0,33.0,0.0,0.0,45279221264.0,67846290638.0
Z302SY7G,2018-02-23,ST4000DM000,0,0.0,21249.0,0.0,0.0,9531.0,34.0,0.0,0.0,45280971992.0,68022134578.0
Z302SY7G,2018-02-24,ST4000DM000,0,0.0,21272.0,0.0,0.0,9531.0,33.0,0.0,0.0,45283038696.0,68136317426.0
Z302SY7G,2018-02-25,ST4000DM000,0,0.0,21297.0,0.0,0.0,9531.0,33.0,0.0,0.0,45285022448.0,68246563395.0
Z302SY7G,2018-02-26,ST4000DM000,0,0.0,21321.0,0.0,0.0,9531.0,33.0,0.0,0.0,45286764632.0,68400527423.0
Z302SY7G,2018-02-27,ST4000DM000,0,0.0,21344.0,0.0,0.0,9531.0,34.0,0.0,0.0,45291530968.0,68525021044.0
Z302SY7G,2018-02-28,ST4000DM000,0,0.0,21368.0,0.0,0.0,9531.0,34.0,0.0,0.0,45293116120.0,68662090104.0
Z302SY7G,2018-03-01,ST4000DM000,0,0.0,21395.0,0.0,0.0,9538.0,33.0,0.0,0.0,45296607304.0,68805487336.0
Z302SY7G,2018-03-02,ST4000DM000,0,0.0,21420.0,0.0,0.0,9538.0,33.0,0.0,0.0,45301371928.0,68981737131.0
Z302SY7G,2018-03-03,ST4000DM000,0,0.0,21443.0,0.0,0.0,9538.0,33.0,0.0,0.0,45309364856.0,69123207177.0
Z302SY7G,2018-03-04,ST4000DM000,0,0.0,21468.0,0.0,0.0,9538.0,34.0,0.0,0.0,45321085936.0,69297408669.0
Z302SY7G,2018-03-05,ST4000DM000,0,0.0,21492.0,0.0,0.0,9538.0,34.0,0.0,0.0,45335419472.0,69487924254.0
Z302SY7G,2018-03-06,ST4000DM000,0,0.0,21510.0,0.0,0.0,9538.0,33.0,0.0,0.0,45356812080.0,69622674677.0
Z302SY7G,2018-03-07,ST4000DM000,0,0.0,21534.0,0.0,0.0,9540.0,33.0,0.0,0.0,45378949664.0,69742532531.0
Z302SY7G,2018-03-08,ST4000DM000,0,0.0,21564.0,0.0,0.0,9544.0,33.0,0.0,0.0,45401043880.0,69916589255.0
Z302SY7G,2018-03-09,ST4000DM000,0,0.0,21587.0,0.0,0.0,9544.0,33.0,0.0,0.0,45415938928.0,70050696949.0
Z302SY7G,2018-03-10,ST4000DM000,0,0.0,21611.0,0.0,0.0,9544.0,33.0,0.0,0.0,45431418144.0,70212210076.0
Z302SY7G,2018-03-11,ST4000DM000,0,0.0,21635.0,0.0,0.0,9544.0,33.0,0.0,0.0,45459181960.0,70307490399.0
Z302SY7G,2018-03-12,ST4000DM000,0,0.0,21660.0,0.0,0.0,9544.0,33.0,0.0,0.0,45472304040.0,70424414350.0
Z302SY7G,2018-03-13,ST4000DM000,0,0.0,21683.0,0.0,0.0,9544.0,34.0,0.0,0.0,45485505360.0,70518631679.0
Z302SY7G,2018-03-14,ST4000DM000,0,0.0,21707.0,0.0,0.0,9544.0,33.0,0.0,0.0,45497684296.0,70644760006.0
Z302SY7G,2018-03-15,ST4000DM000,0,0.0,21730.0,0.0,0.0,9547.0,33.0,0.0,0.0,45511883968.0,70757539109.0
Z302SY7G,2018-03-16,ST4000DM000,0,0.0,21755.0,0.0,0.0,9547.0,34.0,0.0,0.0,45522210168.0,70801256119.0
Z302SY7G,2018-03-17,ST4000DM000,0,0.0,21779.0,0.0,0.0,9547.0,34.0,0.0,0.0,45537430376.0,70941119710.0
Z302SY7G,2018-03-18,ST4000DM000,0,0.0,21803.0,0.0,0.0,9547.0,33.0,0.0,0.0,45555883552.0,71059515004.0
Z302SY7G,2018-03-19,ST4000DM000,0,0.0,21827.0,0.0,0.0,9547.0,33.0,0.0,0.0,45569931368.0,71119037861.0
Z302SY7G,2018-03-20,ST4000DM000,0,0.0,21851.0,0.0,0.0,9547.0,33.0,0.0,0.0,45589563176.0,71220173164.0
Z302SY7G,2018-03-21,ST4000DM000,0,0.0,21875.0,0.0,0.0,9547.0,33.0,0.0,0.0,45601522368.0,71306377299.0
Z302SY7G,2018-03-22,ST4000DM000,0,0.0,21899.0,0.0,0.0,9547.0,33.0,0.0,0.0,45615380880.0,71390340243.0
Z302SY7G,2018-03-23,ST4000DM000,0,0.0,21923.0,0.0,0.0,9547.0,33.0,0.0,0.0,45626871136.0,71475342726.0
Z302SY7G,2018-03-24,ST4000DM000,0,0.0,21947.0,0.0,0.0,9547.0,33.0,0.0,0.0,45636607176.0,71513923593.0
Z302SY7G,2018-03-25,ST4000DM000,0,0.0,21971.0,0.0,0.0,9547.0,33.0,0.0,0.0,45654981824.0,71569387923.0
Z302SY7G,2018-03-26,ST4000DM000,0,0.0,21994.0,0.0,0.0,9547.0,33.0,0.0,0.0,45664761512.0,71644006077.0
