serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z303MBJK,2018-01-02,ST4000DM000,0,0.0,20239.0,20.0,0.0,16860.0,29.0,0.0,0.0,22471784764.0,213800398505.0
Z303MBJK,2018-01-03,ST4000DM000,0,0.0,20263.0,20.0,0.0,16860.0,30.0,0.0,0.0,22483453711.0,213830959448.0
Z303MBJK,2018-01-04,ST4000DM000,0,0.0,20287.0,20.0,0.0,16860.0,30.0,0.0,0.0,22492793526.0,213909427111.0
Z303MBJK,2018-01-05,ST4000DM000,0,0.0,20311.0,20.0,0.0,16860.0,29.0,0.0,0.0,22500230843.0,213941021366.0
Z303MBJK,2018-01-06,ST4000DM000,0,0.0,20335.0,20.0,0.0,16860.0,27.0,0.0,0.0,22511100670.0,213981965991.0
Z303MBJK,2018-01-07,ST4000DM000,0,0.0,20359.0,20.0,0.0,16860.0,27.0,0.0,0.0,22520121356.0,214012984500.0
Z303MBJK,2018-01-08,ST4000DM000,0,0.0,20383.0,20.0,0.0,16860.0,27.0,0.0,0.0,22531849380.0,214049087091.0
Z303MBJK,2018-01-09,ST4000DM000,0,0.0,20407.0,20.0,0.0,16860.0,27.0,0.0,0.0,22541225663.0,214082418242.0
Z303MBJK,2018-01-10,ST4000DM000,0,0.0,20431.0,20.0,0.0,16862.0,26.0,0.0,0.0,22549446992.0,214118866860.0
Z303MBJK,2018-01-11,ST4000DM000,0,0.0,20444.0,20.0,0.0,16862.0,26.0,0.0,0.0,22552058960.0,214142167475.0
Z303MBJK,2018-01-12,ST4000DM000,0,0.0,20468.0,20.0,0.0,16862.0,25.0,0.0,0.0,22557495967.0,214206632682.0
Z303MBJK,2018-01-13,ST4000DM000,0,0.0,20497.0,20.0,0.0,16862.0,26.0,0.0,0.0,22562426194.0,214253210401.0
Z303MBJK,2018-01-14,ST4000DM000,0,0.0,20521.0,20.0,0.0,16862.0,25.0,0.0,0.0,22564679058.0,214295344818.0
Z303MBJK,2018-01-15,ST4000DM000,0,0.0,20545.0,20.0,0.0,16863.0,27.0,0.0,0.0,22567430803.0,214336767740.0
Z303MBJK,2018-01-16,ST4000DM000,0,0.0,20569.0,20.0,0.0,16863.0,27.0,0.0,0.0,22571326993.0,214377770171.0
Z303MBJK,2018-01-17,ST4000DM000,0,0.0,20593.0,20.0,0.0,16866.0,26.0,0.0,0.0,22576240786.0,214416226332.0
Z303MBJK,2018-01-18,ST4000DM000,0,0.0,20616.0,20.0,0.0,16866.0,26.0,0.0,0.0,22581227947.0,214450156560.0
Z303MBJK,2018-01-19,ST4000DM000,0,0.0,20640.0,20.0,0.0,16866.0,26.0,0.0,0.0,22584444691.0,214503138355.0
Z303MBJK,2018-01-20,ST4000DM000,0,0.0,20664.0,20.0,0.0,16869.0,26.0,0.0,0.0,22588013564.0,214544585723.0
Z303MBJK,2018-01-21,ST4000DM000,0,0.0,20688.0,26.0,0.0,16872.0,26.0,0.0,0.0,22590940522.0,214581573607.0
Z303MBJK,2018-01-22,ST4000DM000,0,0.0,20712.0,26.0,0.0,16872.0,26.0,0.0,0.0,22596498671.0,214654743106.0
Z303MBJK,2018-01-23,ST4000DM000,0,0.0,20736.0,26.0,0.0,16874.0,25.0,0.0,0.0,22602659015.0,214693463953.0
Z303MBJK,2018-01-24,ST4000DM000,0,0.0,20768.0,26.0,0.0,16883.0,25.0,0.0,0.0,22608611918.0,214744223023.0
Z303MBJK,2018-01-25,ST4000DM000,0,0.0,20792.0,26.0,0.0,16883.0,25.0,0.0,0.0,22613737116.0,214789900434.0
Z303MBJK,2018-01-26,ST4000DM000,0,0.0,20816.0,26.0,0.0,16902.0,26.0,0.0,0.0,22617485227.0,214834642309.0
Z303MBJK,2018-01-27,ST4000DM000,0,0.0,20840.0,26.0,0.0,16902.0,25.0,0.0,0.0,22619826617.0,214888554447.0
Z303MBJK,2018-01-28,ST4000DM000,0,0.0,20864.0,26.0,0.0,16902.0,25.0,0.0,0.0,22624827422.0,214927051516.0
Z303MBJK,2018-01-29,ST4000DM000,0,0.0,20888.0,26.0,0.0,16902.0,25.0,0.0,0.0,22630173206.0,214964071715.0
Z303MBJK,2018-01-30,ST4000DM000,0,0.0,20903.0,26.0,0.0,16902.0,25.0,0.0,0.0,22634590192.0,214986352545.0
Z303MBJK,2018-01-31,ST4000DM000,0,0.0,20927.0,26.0,0.0,16902.0,25.0,0.0,0.0,22640594460.0,215031451078.0
Z303MBJK,2018-02-01,ST4000DM000,0,0.0,20952.0,26.0,0.0,16902.0,25.0,0.0,0.0,22644967133.0,215068527528.0
Z303MBJK,2018-02-02,ST4000DM000,0,0.0,20976.0,26.0,0.0,16902.0,25.0,0.0,0.0,22649427785.0,215100444468.0
