serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z303XY6E,2018-01-02,ST4000DM000,0,0.0,18896.0,0.0,0.0,14464.0,22.0,0.0,0.0,41144248752.0,64373658437.0
Z303XY6E,2018-01-03,ST4000DM000,0,0.0,18920.0,0.0,0.0,14464.0,22.0,0.0,0.0,41189931688.0,64453100739.0
Z303XY6E,2018-01-04,ST4000DM000,0,0.0,18936.0,0.0,0.0,14464.0,22.0,0.0,0.0,41215281216.0,64499365121.0
Z303XY6E,2018-01-05,ST4000DM000,0,0.0,18960.0,0.0,0.0,14467.0,22.0,0.0,0.0,41240288888.0,64655913193.0
Z303XY6E,2018-01-06,ST4000DM000,0,0.0,18984.0,0.0,0.0,14467.0,21.0,0.0,0.0,41266846672.0,64777453886.0
Z303XY6E,2018-01-07,ST4000DM000,0,0.0,19008.0,0.0,0.0,14467.0,20.0,0.0,0.0,41290486488.0,64895948956.0
Z303XY6E,2018-01-08,ST4000DM000,0,0.0,19032.0,0.0,0.0,14467.0,21.0,0.0,0.0,41323304184.0,64972452620.0
Z303XY6E,2018-01-09,ST4000DM000,0,0.0,19056.0,0.0,0.0,14467.0,20.0,0.0,0.0,41339639792.0,65089786875.0
Z303XY6E,2018-01-10,ST4000DM000,0,0.0,19082.0,0.0,0.0,14467.0,22.0,0.0,0.0,41361947664.0,65203368178.0
Z303XY6E,2018-01-11,ST4000DM000,0,0.0,19102.0,0.0,0.0,14470.0,20.0,0.0,0.0,41366764720.0,65288918103.0
Z303XY6E,2018-01-12,ST4000DM000,0,0.0,19126.0,0.0,0.0,14473.0,21.0,0.0,0.0,41371660448.0,65388503136.0
Z303XY6E,2018-01-13,ST4000DM000,0,0.0,19150.0,0.0,0.0,14473.0,21.0,0.0,0.0,41379271784.0,65552832645.0
Z303XY6E,2018-01-14,ST4000DM000,0,0.0,19175.0,0.0,0.0,14473.0,21.0,0.0,0.0,41381801792.0,65669242869.0
Z303XY6E,2018-01-15,ST4000DM000,0,0.0,19198.0,0.0,0.0,14473.0,21.0,0.0,0.0,41385124176.0,65805666521.0
Z303XY6E,2018-01-16,ST4000DM000,0,0.0,19222.0,0.0,0.0,14476.0,21.0,0.0,0.0,41393914224.0,65884745266.0
Z303XY6E,2018-01-17,ST4000DM000,0,0.0,19246.0,0.0,0.0,14476.0,21.0,0.0,0.0,41399664704.0,66011823964.0
Z303XY6E,2018-01-18,ST4000DM000,0,0.0,19270.0,0.0,0.0,14476.0,21.0,0.0,0.0,41406008624.0,66135372857.0
Z303XY6E,2018-01-19,ST4000DM000,0,0.0,19299.0,0.0,0.0,14479.0,21.0,0.0,0.0,41412466280.0,66267113272.0
Z303XY6E,2018-01-20,ST4000DM000,0,0.0,19322.0,0.0,0.0,14479.0,21.0,0.0,0.0,41421560176.0,66362704671.0
Z303XY6E,2018-01-21,ST4000DM000,0,0.0,19347.0,0.0,0.0,14479.0,20.0,0.0,0.0,41427005768.0,66490800499.0
Z303XY6E,2018-01-22,ST4000DM000,0,0.0,19371.0,0.0,0.0,14479.0,20.0,0.0,0.0,41433740256.0,66579264313.0
