serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3040E63,2018-01-02,ST4000DM000,0,0.0,20238.0,0.0,0.0,64932.0,19.0,0.0,0.0,22788369000.0,190473378889.0
Z3040E63,2018-01-03,ST4000DM000,0,0.0,20263.0,0.0,0.0,64932.0,19.0,0.0,0.0,22797931072.0,190502194633.0
Z3040E63,2018-01-04,ST4000DM000,0,0.0,20287.0,0.0,0.0,64932.0,19.0,0.0,0.0,22807375779.0,190530718299.0
Z3040E63,2018-01-05,ST4000DM000,0,0.0,20310.0,0.0,0.0,64934.0,19.0,0.0,0.0,22814130331.0,190558676639.0
Z3040E63,2018-01-06,ST4000DM000,0,0.0,20334.0,0.0,0.0,64934.0,18.0,0.0,0.0,22821870013.0,190584303890.0
Z3040E63,2018-01-07,ST4000DM000,0,0.0,20359.0,0.0,0.0,64934.0,19.0,0.0,0.0,22833887961.0,190621247520.0
Z3040E63,2018-01-08,ST4000DM000,0,0.0,20383.0,0.0,0.0,64934.0,20.0,0.0,0.0,22843768677.0,190648916379.0
Z3040E63,2018-01-09,ST4000DM000,0,0.0,20406.0,0.0,0.0,64934.0,19.0,0.0,0.0,22851474329.0,190675997009.0
Z3040E63,2018-01-10,ST4000DM000,0,0.0,20427.0,0.0,0.0,64939.0,19.0,0.0,0.0,22855779776.0,190701942797.0
Z3040E63,2018-01-11,ST4000DM000,0,0.0,20456.0,0.0,0.0,64939.0,19.0,0.0,0.0,22860216374.0,190749775834.0
Z3040E63,2018-01-12,ST4000DM000,0,0.0,20480.0,0.0,0.0,64939.0,18.0,0.0,0.0,22864818200.0,190784908549.0
Z3040E63,2018-01-13,ST4000DM000,0,0.0,20497.0,0.0,0.0,64941.0,18.0,0.0,0.0,22867173269.0,190826708642.0
Z3040E63,2018-01-14,ST4000DM000,0,0.0,20521.0,0.0,0.0,64950.0,18.0,0.0,0.0,22869850159.0,190866845811.0
Z3040E63,2018-01-15,ST4000DM000,0,0.0,20533.0,0.0,0.0,64950.0,19.0,0.0,0.0,22870927999.0,190887758278.0
Z3040E63,2018-01-16,ST4000DM000,0,0.0,20558.0,0.0,0.0,64953.0,19.0,0.0,0.0,22873485344.0,190937143891.0
Z3040E63,2018-01-17,ST4000DM000,0,0.0,20593.0,0.0,0.0,64965.0,17.0,0.0,0.0,22879038070.0,190988817986.0
Z3040E63,2018-01-18,ST4000DM000,0,0.0,20615.0,0.0,0.0,64967.0,17.0,0.0,0.0,22881954839.0,191016632117.0
Z3040E63,2018-01-19,ST4000DM000,0,0.0,20640.0,0.0,0.0,64967.0,17.0,0.0,0.0,22885105483.0,191061639695.0
Z3040E63,2018-01-20,ST4000DM000,0,0.0,20664.0,0.0,0.0,64967.0,18.0,0.0,0.0,22888750237.0,191096811315.0
Z3040E63,2018-01-21,ST4000DM000,0,0.0,20687.0,0.0,0.0,64967.0,18.0,0.0,0.0,22892172513.0,191134630505.0
Z3040E63,2018-01-22,ST4000DM000,0,0.0,20711.0,0.0,0.0,64971.0,17.0,0.0,0.0,22896163186.0,191173465838.0
Z3040E63,2018-01-23,ST4000DM000,0,0.0,20736.0,0.0,0.0,64971.0,15.0,0.0,0.0,22900455519.0,191210314699.0
Z3040E63,2018-01-24,ST4000DM000,0,0.0,20767.0,0.0,0.0,64978.0,16.0,0.0,0.0,22905578653.0,191253542023.0
Z3040E63,2018-01-25,ST4000DM000,0,0.0,20792.0,0.0,0.0,64987.0,16.0,0.0,0.0,22912564079.0,191306170058.0
Z3040E63,2018-01-26,ST4000DM000,0,0.0,20815.0,0.0,0.0,65018.0,16.0,0.0,0.0,22916544215.0,191353124629.0
Z3040E63,2018-01-27,ST4000DM000,0,0.0,20839.0,0.0,0.0,65018.0,16.0,0.0,0.0,22921681496.0,191387525404.0
Z3040E63,2018-01-28,ST4000DM000,0,0.0,20864.0,0.0,0.0,65018.0,16.0,0.0,0.0,22926758632.0,191424293241.0
Z3040E63,2018-01-29,ST4000DM000,0,0.0,20887.0,0.0,0.0,65018.0,16.0,0.0,0.0,22930784875.0,191456503559.0
Z3040E63,2018-01-30,ST4000DM000,0,0.0,20904.0,0.0,0.0,65018.0,16.0,0.0,0.0,22934017771.0,191480131012.0
