serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3040EGC,2018-01-02,ST4000DM000,0,0.0,19109.0,0.0,0.0,6289.0,26.0,0.0,0.0,43196721192.0,69708303245.0
Z3040EGC,2018-01-03,ST4000DM000,0,0.0,19132.0,0.0,0.0,6289.0,25.0,0.0,0.0,43222076472.0,69798622323.0
Z3040EGC,2018-01-04,ST4000DM000,0,0.0,19148.0,0.0,0.0,6289.0,26.0,0.0,0.0,43237757816.0,69891616675.0
Z3040EGC,2018-01-05,ST4000DM000,0,0.0,19172.0,0.0,0.0,6291.0,26.0,0.0,0.0,43264140576.0,70030471299.0
Z3040EGC,2018-01-06,ST4000DM000,0,0.0,19196.0,0.0,0.0,6291.0,25.0,0.0,0.0,43297106080.0,70151730264.0
Z3040EGC,2018-01-07,ST4000DM000,0,0.0,19220.0,0.0,0.0,6291.0,25.0,0.0,0.0,43319345968.0,70334332524.0
Z3040EGC,2018-01-08,ST4000DM000,0,0.0,19244.0,0.0,0.0,6291.0,24.0,0.0,0.0,43342742040.0,70446555023.0
Z3040EGC,2018-01-09,ST4000DM000,0,0.0,19269.0,0.0,0.0,6291.0,25.0,0.0,0.0,43363016624.0,70496326819.0
Z3040EGC,2018-01-10,ST4000DM000,0,0.0,19296.0,0.0,0.0,6291.0,25.0,0.0,0.0,43381998656.0,70631304261.0
Z3040EGC,2018-01-11,ST4000DM000,0,0.0,19326.0,0.0,0.0,6295.0,25.0,0.0,0.0,43388517408.0,70715202981.0
Z3040EGC,2018-01-12,ST4000DM000,0,0.0,19338.0,0.0,0.0,6295.0,25.0,0.0,0.0,43391934584.0,70750752162.0
Z3040EGC,2018-01-13,ST4000DM000,0,0.0,19374.0,0.0,0.0,6295.0,26.0,0.0,0.0,43403396544.0,70914410668.0
Z3040EGC,2018-01-14,ST4000DM000,0,0.0,19398.0,0.0,0.0,6295.0,26.0,0.0,0.0,43411106592.0,71026945876.0
Z3040EGC,2018-01-15,ST4000DM000,0,0.0,19422.0,0.0,0.0,6295.0,25.0,0.0,0.0,43414257160.0,71205432704.0
Z3040EGC,2018-01-16,ST4000DM000,0,0.0,19446.0,0.0,0.0,6295.0,26.0,0.0,0.0,43421383040.0,71277621429.0
Z3040EGC,2018-01-17,ST4000DM000,0,0.0,19470.0,0.0,0.0,6295.0,25.0,0.0,0.0,43425587608.0,71431714989.0
Z3040EGC,2018-01-18,ST4000DM000,0,0.0,19486.0,0.0,0.0,6295.0,25.0,0.0,0.0,43429345488.0,71501339882.0
Z3040EGC,2018-01-19,ST4000DM000,0,0.0,19509.0,0.0,0.0,6297.0,25.0,0.0,0.0,43447691856.0,71629796552.0
Z3040EGC,2018-01-20,ST4000DM000,0,0.0,19533.0,0.0,0.0,6297.0,25.0,0.0,0.0,43456345856.0,71759691006.0
Z3040EGC,2018-01-21,ST4000DM000,0,0.0,19557.0,0.0,0.0,6297.0,25.0,0.0,0.0,43465097304.0,71871740336.0
Z3040EGC,2018-01-22,ST4000DM000,0,0.0,19581.0,0.0,0.0,6297.0,24.0,0.0,0.0,43471547488.0,71990313784.0
Z3040EGC,2018-01-23,ST4000DM000,0,0.0,19606.0,0.0,0.0,6297.0,25.0,0.0,0.0,43479776432.0,72117535004.0
Z3040EGC,2018-01-24,ST4000DM000,0,0.0,19637.0,0.0,0.0,6297.0,24.0,0.0,0.0,43489155568.0,72295763567.0
Z3040EGC,2018-01-25,ST4000DM000,0,0.0,19649.0,0.0,0.0,6297.0,25.0,0.0,0.0,43492985816.0,72345087478.0
Z3040EGC,2018-01-26,ST4000DM000,0,0.0,19666.0,0.0,0.0,6301.0,24.0,0.0,0.0,43498094392.0,72383098602.0
Z3040EGC,2018-01-27,ST4000DM000,0,0.0,19702.0,0.0,0.0,6301.0,24.0,0.0,0.0,43506114144.0,72510941237.0
Z3040EGC,2018-01-28,ST4000DM000,0,0.0,19726.0,0.0,0.0,6301.0,24.0,0.0,0.0,43514339248.0,72663242903.0
Z3040EGC,2018-01-29,ST4000DM000,0,0.0,19750.0,0.0,0.0,6301.0,24.0,0.0,0.0,43519567448.0,72798630893.0
Z3040EGC,2018-01-30,ST4000DM000,0,0.0,19782.0,0.0,0.0,6305.0,24.0,0.0,0.0,43530861392.0,72955565323.0
Z3040EGC,2018-01-31,ST4000DM000,0,0.0,19806.0,0.0,0.0,6305.0,24.0,0.0,0.0,43540092568.0,73035412188.0
Z3040EGC,2018-02-01,ST4000DM000,0,0.0,19831.0,0.0,0.0,6305.0,24.0,0.0,0.0,43545066024.0,73145730614.0
Z3040EGC,2018-02-02,ST4000DM000,0,0.0,19854.0,0.0,0.0,6305.0,24.0,0.0,0.0,43548891088.0,73247724624.0
