serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3040LRE,2018-01-02,ST4000DM000,0,0.0,20240.0,0.0,0.0,25607.0,29.0,0.0,0.0,22995934107.0,174370652309.0
Z3040LRE,2018-01-03,ST4000DM000,0,0.0,20264.0,0.0,0.0,25607.0,31.0,0.0,0.0,23005932718.0,174401742676.0
Z3040LRE,2018-01-04,ST4000DM000,0,0.0,20288.0,0.0,0.0,25607.0,30.0,0.0,0.0,23017214795.0,174435638267.0
Z3040LRE,2018-01-05,ST4000DM000,0,0.0,20312.0,0.0,0.0,25607.0,30.0,0.0,0.0,23025405417.0,174469536693.0
Z3040LRE,2018-01-06,ST4000DM000,0,0.0,20336.0,0.0,0.0,25607.0,25.0,0.0,0.0,23036413698.0,174505014421.0
Z3040LRE,2018-01-07,ST4000DM000,0,0.0,20360.0,0.0,0.0,25607.0,25.0,0.0,0.0,23050691902.0,174543444416.0
Z3040LRE,2018-01-08,ST4000DM000,0,0.0,20384.0,0.0,0.0,25607.0,25.0,0.0,0.0,23062435735.0,174577191453.0
Z3040LRE,2018-01-09,ST4000DM000,0,0.0,20396.0,0.0,0.0,25607.0,25.0,0.0,0.0,23069880550.0,174596813722.0
Z3040LRE,2018-01-10,ST4000DM000,0,0.0,20432.0,0.0,0.0,25607.0,25.0,0.0,0.0,23080080201.0,174648373067.0
Z3040LRE,2018-01-11,ST4000DM000,0,0.0,20458.0,0.0,0.0,25614.0,24.0,0.0,0.0,23083085035.0,174697978218.0
Z3040LRE,2018-01-12,ST4000DM000,0,0.0,20482.0,0.0,0.0,25614.0,24.0,0.0,0.0,23087447192.0,174736748187.0
Z3040LRE,2018-01-13,ST4000DM000,0,0.0,20498.0,0.0,0.0,25621.0,23.0,0.0,0.0,23089779577.0,174776632778.0
Z3040LRE,2018-01-14,ST4000DM000,0,0.0,20522.0,0.0,0.0,25626.0,24.0,0.0,0.0,23092834495.0,174826229302.0
Z3040LRE,2018-01-15,ST4000DM000,0,0.0,20546.0,0.0,0.0,25626.0,25.0,0.0,0.0,23095425193.0,174876974358.0
Z3040LRE,2018-01-16,ST4000DM000,0,0.0,20570.0,0.0,0.0,25633.0,24.0,0.0,0.0,23101268989.0,174919972415.0
Z3040LRE,2018-01-17,ST4000DM000,0,0.0,20594.0,0.0,0.0,25633.0,23.0,0.0,0.0,23107077861.0,174964074333.0
Z3040LRE,2018-01-18,ST4000DM000,0,0.0,20617.0,0.0,0.0,25633.0,24.0,0.0,0.0,23111926267.0,174998573665.0
Z3040LRE,2018-01-19,ST4000DM000,0,0.0,20641.0,0.0,0.0,25633.0,23.0,0.0,0.0,23115928470.0,175046541179.0
Z3040LRE,2018-01-20,ST4000DM000,0,0.0,20653.0,0.0,0.0,25633.0,24.0,0.0,0.0,23118717601.0,175067066932.0
Z3040LRE,2018-01-21,ST4000DM000,0,0.0,20689.0,0.0,0.0,25636.0,24.0,0.0,0.0,23125584731.0,175180711325.0
Z3040LRE,2018-01-22,ST4000DM000,0,0.0,20714.0,0.0,0.0,25641.0,24.0,0.0,0.0,23131497310.0,175228197921.0
Z3040LRE,2018-01-23,ST4000DM000,0,0.0,20737.0,0.0,0.0,25663.0,23.0,0.0,0.0,23136055234.0,175261272410.0
Z3040LRE,2018-01-24,ST4000DM000,0,0.0,20769.0,0.0,0.0,25680.0,24.0,0.0,0.0,23142141967.0,175317255498.0
Z3040LRE,2018-01-25,ST4000DM000,0,0.0,20793.0,0.0,0.0,25693.0,23.0,0.0,0.0,23149093357.0,175356151400.0
Z3040LRE,2018-01-26,ST4000DM000,0,0.0,20817.0,0.0,0.0,25723.0,23.0,0.0,0.0,23153070368.0,175398205046.0
Z3040LRE,2018-01-27,ST4000DM000,0,0.0,20840.0,0.0,0.0,26112.0,23.0,0.0,0.0,23153379187.0,179542359439.0
Z3040LRE,2018-01-28,ST4000DM000,0,0.0,20864.0,0.0,0.0,26756.0,22.0,0.0,0.0,23153555813.0,183248414760.0
Z3040LRE,2018-01-29,ST4000DM000,0,0.0,20888.0,0.0,0.0,27986.0,22.0,0.0,0.0,23153660654.0,183280374937.0
Z3040LRE,2018-01-30,ST4000DM000,0,0.0,20905.0,0.0,0.0,28541.0,22.0,0.0,0.0,23154611045.0,183307346207.0
Z3040LRE,2018-01-31,ST4000DM000,0,0.0,20929.0,0.0,0.0,28541.0,23.0,0.0,0.0,23158249146.0,183385326775.0
Z3040LRE,2018-02-01,ST4000DM000,0,0.0,20953.0,0.0,0.0,28541.0,23.0,0.0,0.0,23164196223.0,183423012403.0
Z3040LRE,2018-02-02,ST4000DM000,0,0.0,20977.0,0.0,0.0,28541.0,23.0,0.0,0.0,23170664636.0,183466514776.0
Z3040LRE,2018-02-03,ST4000DM000,0,0.0,21001.0,0.0,0.0,28541.0,23.0,0.0,0.0,23173063834.0,183523509074.0
Z3040LRE,2018-02-04,ST4000DM000,0,0.0,21033.0,0.0,0.0,28541.0,23.0,0.0,0.0,23176352055.0,183578574763.0
Z3040LRE,2018-02-05,ST4000DM000,0,0.0,21057.0,0.0,0.0,28541.0,23.0,0.0,0.0,23178963793.0,183622550949.0
Z3040LRE,2018-02-06,ST4000DM000,0,0.0,21081.0,0.0,0.0,28541.0,23.0,0.0,0.0,23181376593.0,183664365640.0
Z3040LRE,2018-02-07,ST4000DM000,0,0.0,21105.0,0.0,0.0,28541.0,23.0,0.0,0.0,23183721142.0,183719429837.0
Z3040LRE,2018-02-08,ST4000DM000,0,0.0,21129.0,0.0,0.0,28541.0,23.0,0.0,0.0,23186025629.0,183757888536.0
Z3040LRE,2018-02-09,ST4000DM000,0,0.0,21153.0,0.0,0.0,28541.0,23.0,0.0,0.0,23188422355.0,183807315673.0
Z3040LRE,2018-02-10,ST4000DM000,0,0.0,21177.0,0.0,0.0,28541.0,23.0,0.0,0.0,23190726826.0,183841999197.0
Z3040LRE,2018-02-11,ST4000DM000,0,0.0,21200.0,0.0,0.0,28541.0,27.0,0.0,0.0,23193456693.0,183897936564.0
Z3040LRE,2018-02-12,ST4000DM000,0,0.0,21225.0,0.0,0.0,28541.0,23.0,0.0,0.0,23195895942.0,183939539842.0
Z3040LRE,2018-02-13,ST4000DM000,0,0.0,21249.0,0.0,0.0,28541.0,23.0,0.0,0.0,23198119650.0,183985578836.0
Z3040LRE,2018-02-14,ST4000DM000,0,0.0,21273.0,0.0,0.0,28541.0,23.0,0.0,0.0,23200413787.0,184022692941.0
Z3040LRE,2018-02-15,ST4000DM000,0,0.0,21297.0,0.0,0.0,28541.0,24.0,0.0,0.0,23202912400.0,184063077203.0
