serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3041CL1,2018-01-02,ST4000DM000,0,0.0,20261.0,2.0,0.0,90731.0,21.0,0.0,0.0,22334714924.0,208268374405.0
Z3041CL1,2018-01-03,ST4000DM000,0,0.0,20285.0,2.0,0.0,90731.0,21.0,0.0,0.0,22342388191.0,208301443215.0
Z3041CL1,2018-01-04,ST4000DM000,0,0.0,20297.0,2.0,0.0,90731.0,22.0,0.0,0.0,22346495173.0,208315961644.0
Z3041CL1,2018-01-05,ST4000DM000,0,0.0,20333.0,2.0,0.0,90731.0,23.0,0.0,0.0,22360172943.0,208361444976.0
Z3041CL1,2018-01-06,ST4000DM000,0,0.0,20357.0,2.0,0.0,90731.0,23.0,0.0,0.0,22369562747.0,208391270995.0
Z3041CL1,2018-01-07,ST4000DM000,0,0.0,20382.0,2.0,0.0,90731.0,23.0,0.0,0.0,22379299462.0,208421717907.0
Z3041CL1,2018-01-08,ST4000DM000,0,0.0,20405.0,2.0,0.0,90731.0,23.0,0.0,0.0,22387929173.0,208451842248.0
Z3041CL1,2018-01-09,ST4000DM000,0,0.0,20429.0,2.0,0.0,90731.0,23.0,0.0,0.0,22398334683.0,208483545967.0
Z3041CL1,2018-01-10,ST4000DM000,0,0.0,20450.0,2.0,0.0,90731.0,23.0,0.0,0.0,22406416227.0,208514367154.0
Z3041CL1,2018-01-11,ST4000DM000,0,0.0,20471.0,2.0,0.0,90732.0,23.0,0.0,0.0,22410344868.0,208555875369.0
Z3041CL1,2018-01-12,ST4000DM000,0,0.0,20494.0,2.0,0.0,90732.0,22.0,0.0,0.0,22414991097.0,208596162772.0
Z3041CL1,2018-01-13,ST4000DM000,0,0.0,20521.0,2.0,0.0,90735.0,23.0,0.0,0.0,22418919143.0,208641238519.0
Z3041CL1,2018-01-14,ST4000DM000,0,0.0,20544.0,2.0,0.0,90735.0,22.0,0.0,0.0,22421161468.0,208679304072.0
Z3041CL1,2018-01-15,ST4000DM000,0,0.0,20568.0,2.0,0.0,90735.0,23.0,0.0,0.0,22423657823.0,208741669633.0
Z3041CL1,2018-01-16,ST4000DM000,0,0.0,20592.0,2.0,0.0,90736.0,22.0,0.0,0.0,22427819203.0,208778036791.0
Z3041CL1,2018-01-17,ST4000DM000,0,0.0,20616.0,2.0,0.0,90740.0,21.0,0.0,0.0,22432762160.0,208821706893.0
Z3041CL1,2018-01-18,ST4000DM000,0,0.0,20628.0,2.0,0.0,90740.0,22.0,0.0,0.0,22434866726.0,208854635616.0
Z3041CL1,2018-01-19,ST4000DM000,0,0.0,20650.0,2.0,0.0,90754.0,22.0,0.0,0.0,22438416078.0,208901997383.0
Z3041CL1,2018-01-20,ST4000DM000,0,0.0,20686.0,2.0,0.0,90754.0,22.0,0.0,0.0,22444345614.0,208968937035.0
Z3041CL1,2018-01-21,ST4000DM000,0,0.0,20699.0,2.0,0.0,90754.0,22.0,0.0,0.0,22445805088.0,208996393562.0
Z3041CL1,2018-01-22,ST4000DM000,0,0.0,20735.0,2.0,0.0,90757.0,21.0,0.0,0.0,22452083715.0,209057578107.0
Z3041CL1,2018-01-23,ST4000DM000,0,0.0,20758.0,2.0,0.0,90760.0,20.0,0.0,0.0,22456330464.0,209103416856.0
Z3041CL1,2018-01-24,ST4000DM000,0,0.0,20791.0,2.0,0.0,90770.0,21.0,0.0,0.0,22461301325.0,209156994254.0
Z3041CL1,2018-01-25,ST4000DM000,0,0.0,20814.0,2.0,0.0,90780.0,21.0,0.0,0.0,22465877574.0,209204978329.0
Z3041CL1,2018-01-26,ST4000DM000,0,0.0,20838.0,2.0,0.0,90781.0,20.0,0.0,0.0,22469764298.0,209248529611.0
Z3041CL1,2018-01-27,ST4000DM000,0,0.0,20863.0,2.0,0.0,90781.0,22.0,0.0,0.0,22472073363.0,209292879193.0
Z3041CL1,2018-01-28,ST4000DM000,0,0.0,20887.0,2.0,0.0,90781.0,22.0,0.0,0.0,22474248113.0,209326919181.0
Z3041CL1,2018-01-29,ST4000DM000,0,0.0,20910.0,2.0,0.0,90781.0,22.0,0.0,0.0,22477519170.0,209360360028.0
Z3041CL1,2018-01-30,ST4000DM000,0,0.0,20927.0,2.0,0.0,90781.0,22.0,0.0,0.0,22480707805.0,209386613688.0
Z3041CL1,2018-01-31,ST4000DM000,0,0.0,20951.0,2.0,0.0,90781.0,22.0,0.0,0.0,22485381762.0,209427066347.0
Z3041CL1,2018-02-01,ST4000DM000,0,0.0,20975.0,2.0,0.0,90781.0,25.0,0.0,0.0,22488848186.0,209466351847.0
Z3041CL1,2018-02-02,ST4000DM000,0,0.0,20999.0,2.0,0.0,90781.0,24.0,0.0,0.0,22492573888.0,209524940199.0
Z3041CL1,2018-02-03,ST4000DM000,0,0.0,21023.0,2.0,0.0,90781.0,21.0,0.0,0.0,22494910289.0,209559876633.0
Z3041CL1,2018-02-04,ST4000DM000,0,0.0,21051.0,2.0,0.0,90781.0,20.0,0.0,0.0,22497445327.0,209612771056.0
Z3041CL1,2018-02-05,ST4000DM000,0,0.0,21075.0,2.0,0.0,90781.0,20.0,0.0,0.0,22500365792.0,209658714109.0
Z3041CL1,2018-02-06,ST4000DM000,0,0.0,21099.0,2.0,0.0,90781.0,21.0,0.0,0.0,22502832930.0,209699370109.0
Z3041CL1,2018-02-07,ST4000DM000,0,0.0,21123.0,2.0,0.0,90781.0,20.0,0.0,0.0,22505337841.0,209737296871.0
Z3041CL1,2018-02-08,ST4000DM000,0,0.0,21147.0,2.0,0.0,90781.0,24.0,0.0,0.0,22507498180.0,209777888708.0
Z3041CL1,2018-02-09,ST4000DM000,0,0.0,21171.0,2.0,0.0,90784.0,21.0,0.0,0.0,22509850014.0,209817111350.0
Z3041CL1,2018-02-10,ST4000DM000,0,0.0,21196.0,2.0,0.0,90784.0,20.0,0.0,0.0,22512207497.0,209859295137.0
Z3041CL1,2018-02-11,ST4000DM000,0,0.0,21219.0,2.0,0.0,90784.0,20.0,0.0,0.0,22514442664.0,209905681823.0
Z3041CL1,2018-02-12,ST4000DM000,0,0.0,21243.0,2.0,0.0,90784.0,21.0,0.0,0.0,22516914539.0,209943728079.0
Z3041CL1,2018-02-13,ST4000DM000,0,0.0,21268.0,2.0,0.0,90784.0,20.0,0.0,0.0,22519232995.0,209986820352.0
Z3041CL1,2018-02-14,ST4000DM000,0,0.0,21291.0,2.0,0.0,90784.0,21.0,0.0,0.0,22521720895.0,210038648132.0
Z3041CL1,2018-02-15,ST4000DM000,0,0.0,21315.0,2.0,0.0,90784.0,20.0,0.0,0.0,22524079833.0,210078554074.0
Z3041CL1,2018-02-16,ST4000DM000,0,0.0,21339.0,2.0,0.0,90784.0,20.0,0.0,0.0,22526451984.0,210140702734.0
Z3041CL1,2018-02-17,ST4000DM000,0,0.0,21363.0,2.0,0.0,90784.0,20.0,0.0,0.0,22529862300.0,210183100581.0
Z3041CL1,2018-02-18,ST4000DM000,0,0.0,21387.0,2.0,0.0,90784.0,20.0,0.0,0.0,22532146039.0,210235722634.0
Z3041CL1,2018-02-19,ST4000DM000,0,0.0,21411.0,2.0,0.0,90784.0,22.0,0.0,0.0,22535299621.0,210277836445.0
Z3041CL1,2018-02-20,ST4000DM000,0,0.0,21436.0,2.0,0.0,90784.0,22.0,0.0,0.0,22537718761.0,210314301863.0
