serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304EXW4,2018-01-02,ST4000DM000,0,0.0,18941.0,0.0,0.0,15046.0,26.0,0.0,0.0,40826127840.0,78612972057.0
Z304EXW4,2018-01-03,ST4000DM000,0,0.0,18965.0,0.0,0.0,15046.0,25.0,0.0,0.0,40863222504.0,78771780649.0
Z304EXW4,2018-01-04,ST4000DM000,0,0.0,18981.0,0.0,0.0,15046.0,26.0,0.0,0.0,40886434848.0,78820042633.0
Z304EXW4,2018-01-05,ST4000DM000,0,0.0,19004.0,0.0,0.0,15048.0,26.0,0.0,0.0,40925415704.0,78899219860.0
Z304EXW4,2018-01-06,ST4000DM000,0,0.0,19028.0,0.0,0.0,15048.0,25.0,0.0,0.0,40956005736.0,79017628841.0
Z304EXW4,2018-01-07,ST4000DM000,0,0.0,19052.0,0.0,0.0,15048.0,25.0,0.0,0.0,40978789424.0,79125243841.0
Z304EXW4,2018-01-08,ST4000DM000,0,0.0,19077.0,0.0,0.0,15048.0,25.0,0.0,0.0,41011012216.0,79277584538.0
Z304EXW4,2018-01-09,ST4000DM000,0,0.0,19101.0,0.0,0.0,15048.0,25.0,0.0,0.0,41036185656.0,79385932212.0
Z304EXW4,2018-01-10,ST4000DM000,0,0.0,19129.0,0.0,0.0,15048.0,25.0,0.0,0.0,41067015648.0,79537353157.0
Z304EXW4,2018-01-11,ST4000DM000,0,0.0,19158.0,0.0,0.0,15053.0,26.0,0.0,0.0,41075567016.0,79669997944.0
Z304EXW4,2018-01-12,ST4000DM000,0,0.0,19170.0,0.0,0.0,15053.0,26.0,0.0,0.0,41080761048.0,79694168814.0
Z304EXW4,2018-01-13,ST4000DM000,0,0.0,19207.0,0.0,0.0,15053.0,26.0,0.0,0.0,41092277512.0,79878645315.0
Z304EXW4,2018-01-14,ST4000DM000,0,0.0,19231.0,0.0,0.0,15053.0,26.0,0.0,0.0,41095691952.0,79992384709.0
