serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304GHS3,2018-01-02,ST4000DM000,0,0.0,19614.0,3.0,0.0,6746.0,20.0,0.0,0.0,44338077184.0,69371114984.0
Z304GHS3,2018-01-03,ST4000DM000,0,0.0,19638.0,3.0,0.0,6746.0,20.0,0.0,0.0,44374057008.0,69516701074.0
Z304GHS3,2018-01-04,ST4000DM000,0,0.0,19666.0,3.0,0.0,6746.0,21.0,0.0,0.0,44413495400.0,69710326990.0
Z304GHS3,2018-01-05,ST4000DM000,0,0.0,19679.0,3.0,0.0,6746.0,21.0,0.0,0.0,44430415512.0,69774216472.0
Z304GHS3,2018-01-06,ST4000DM000,0,0.0,19714.0,3.0,0.0,6746.0,19.0,0.0,0.0,44483673488.0,69985040976.0
Z304GHS3,2018-01-07,ST4000DM000,0,0.0,19739.0,3.0,0.0,6746.0,20.0,0.0,0.0,44528724768.0,70128504000.0
Z304GHS3,2018-01-08,ST4000DM000,0,0.0,19762.0,3.0,0.0,6746.0,20.0,0.0,0.0,44557983608.0,70261878689.0
Z304GHS3,2018-01-09,ST4000DM000,0,0.0,19787.0,3.0,0.0,6746.0,19.0,0.0,0.0,44597453552.0,70345992331.0
Z304GHS3,2018-01-10,ST4000DM000,0,0.0,19802.0,3.0,0.0,6746.0,20.0,0.0,0.0,44624496072.0,70458740177.0
Z304GHS3,2018-01-11,ST4000DM000,0,0.0,19832.0,3.0,0.0,6750.0,21.0,0.0,0.0,44631023800.0,70620153423.0
Z304GHS3,2018-01-12,ST4000DM000,0,0.0,19856.0,3.0,0.0,6750.0,20.0,0.0,0.0,44637030760.0,70785832858.0
Z304GHS3,2018-01-13,ST4000DM000,0,0.0,19880.0,3.0,0.0,6750.0,20.0,0.0,0.0,44647127032.0,70925216814.0
Z304GHS3,2018-01-14,ST4000DM000,0,0.0,19904.0,3.0,0.0,6750.0,20.0,0.0,0.0,44651798240.0,71048829368.0
Z304GHS3,2018-01-15,ST4000DM000,0,0.0,19928.0,3.0,0.0,6750.0,20.0,0.0,0.0,44653937856.0,71193462653.0
Z304GHS3,2018-01-16,ST4000DM000,0,0.0,19952.0,3.0,0.0,6763.0,19.0,0.0,0.0,44658298688.0,71258163095.0
Z304GHS3,2018-01-17,ST4000DM000,0,0.0,19976.0,3.0,0.0,6763.0,20.0,0.0,0.0,44661377784.0,71358706710.0
Z304GHS3,2018-01-18,ST4000DM000,0,0.0,19991.0,3.0,0.0,6763.0,20.0,0.0,0.0,44662887808.0,71411272773.0
Z304GHS3,2018-01-19,ST4000DM000,0,0.0,20015.0,3.0,0.0,6766.0,19.0,0.0,0.0,44665651912.0,71485344971.0
