serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304JGHW,2018-01-02,ST4000DM000,0,0.0,19611.0,0.0,0.0,8120.0,30.0,0.0,0.0,43107630784.0,62089868033.0
Z304JGHW,2018-01-03,ST4000DM000,0,0.0,19636.0,0.0,0.0,8120.0,32.0,0.0,0.0,43151481288.0,62181091466.0
Z304JGHW,2018-01-04,ST4000DM000,0,0.0,19652.0,0.0,0.0,8120.0,30.0,0.0,0.0,43175280344.0,62271815518.0
Z304JGHW,2018-01-05,ST4000DM000,0,0.0,19676.0,0.0,0.0,8121.0,34.0,0.0,0.0,43228396304.0,62385254921.0
Z304JGHW,2018-01-06,ST4000DM000,0,0.0,19700.0,0.0,0.0,8121.0,24.0,0.0,0.0,43260900392.0,62503796218.0
Z304JGHW,2018-01-07,ST4000DM000,0,0.0,19723.0,0.0,0.0,8121.0,24.0,0.0,0.0,43295263384.0,62619026236.0
Z304JGHW,2018-01-08,ST4000DM000,0,0.0,19748.0,0.0,0.0,8121.0,24.0,0.0,0.0,43330073408.0,62713075915.0
Z304JGHW,2018-01-09,ST4000DM000,0,0.0,19772.0,0.0,0.0,8121.0,25.0,0.0,0.0,43365143280.0,62803963484.0
Z304JGHW,2018-01-10,ST4000DM000,0,0.0,19799.0,0.0,0.0,8121.0,25.0,0.0,0.0,43406652864.0,62884137362.0
Z304JGHW,2018-01-11,ST4000DM000,0,0.0,19817.0,0.0,0.0,8122.0,24.0,0.0,0.0,43417669400.0,62983711539.0
Z304JGHW,2018-01-12,ST4000DM000,0,0.0,19853.0,0.0,0.0,8126.0,24.0,0.0,0.0,43433281904.0,63120340800.0
Z304JGHW,2018-01-13,ST4000DM000,0,0.0,19877.0,0.0,0.0,8126.0,24.0,0.0,0.0,43438166328.0,63234757754.0
Z304JGHW,2018-01-14,ST4000DM000,0,0.0,19901.0,0.0,0.0,8128.0,24.0,0.0,0.0,43443927936.0,63324318017.0
Z304JGHW,2018-01-15,ST4000DM000,0,0.0,19925.0,0.0,0.0,8128.0,31.0,0.0,0.0,43445946896.0,63442001438.0
Z304JGHW,2018-01-16,ST4000DM000,0,0.0,19949.0,0.0,0.0,8128.0,26.0,0.0,0.0,43449108744.0,63555417157.0
Z304JGHW,2018-01-17,ST4000DM000,0,0.0,19973.0,0.0,0.0,8128.0,25.0,0.0,0.0,43451756968.0,63658574612.0
Z304JGHW,2018-01-18,ST4000DM000,0,0.0,19988.0,0.0,0.0,8128.0,24.0,0.0,0.0,43454651088.0,63742938861.0
Z304JGHW,2018-01-19,ST4000DM000,0,0.0,20012.0,0.0,0.0,8132.0,24.0,0.0,0.0,43461307072.0,63873833221.0
Z304JGHW,2018-01-20,ST4000DM000,0,0.0,20036.0,0.0,0.0,8132.0,25.0,0.0,0.0,43465385360.0,64005944184.0
Z304JGHW,2018-01-21,ST4000DM000,0,0.0,20060.0,0.0,0.0,8137.0,25.0,0.0,0.0,43470482208.0,64134738422.0
Z304JGHW,2018-01-22,ST4000DM000,0,0.0,20085.0,0.0,0.0,8137.0,25.0,0.0,0.0,43477384576.0,64283831429.0
Z304JGHW,2018-01-23,ST4000DM000,0,0.0,20096.0,0.0,0.0,8137.0,25.0,0.0,0.0,43479378808.0,64378867726.0
Z304JGHW,2018-01-24,ST4000DM000,0,0.0,20140.0,0.0,0.0,8137.0,25.0,0.0,0.0,43490467264.0,64697184348.0
Z304JGHW,2018-01-25,ST4000DM000,0,0.0,20157.0,0.0,0.0,8137.0,26.0,0.0,0.0,43502485664.0,64817827905.0
Z304JGHW,2018-01-26,ST4000DM000,0,0.0,20169.0,0.0,0.0,8138.0,24.0,0.0,0.0,43506370328.0,64911208808.0
Z304JGHW,2018-01-27,ST4000DM000,0,0.0,20205.0,0.0,0.0,8138.0,23.0,0.0,0.0,43515584952.0,65222697796.0
Z304JGHW,2018-01-28,ST4000DM000,0,0.0,20229.0,0.0,0.0,8140.0,23.0,0.0,0.0,43520929160.0,65390728991.0
Z304JGHW,2018-01-29,ST4000DM000,0,0.0,20253.0,0.0,0.0,8142.0,23.0,0.0,0.0,43529613000.0,65542659884.0
Z304JGHW,2018-01-30,ST4000DM000,0,0.0,20286.0,0.0,0.0,8144.0,28.0,0.0,0.0,43541055176.0,65803572810.0
Z304JGHW,2018-01-31,ST4000DM000,0,0.0,20310.0,0.0,0.0,8144.0,25.0,0.0,0.0,43550398872.0,65978999063.0
Z304JGHW,2018-02-01,ST4000DM000,0,0.0,20333.0,0.0,0.0,8144.0,24.0,0.0,0.0,43555431056.0,66171883546.0
Z304JGHW,2018-02-02,ST4000DM000,0,0.0,20357.0,0.0,0.0,8144.0,25.0,0.0,0.0,43566810248.0,66349239392.0
Z304JGHW,2018-02-03,ST4000DM000,0,0.0,20381.0,0.0,0.0,8144.0,25.0,0.0,0.0,43569905520.0,66534095749.0
Z304JGHW,2018-02-04,ST4000DM000,0,0.0,20402.0,0.0,0.0,8152.0,24.0,0.0,0.0,43572929664.0,66646501793.0
Z304JGHW,2018-02-05,ST4000DM000,0,0.0,20426.0,0.0,0.0,8152.0,24.0,0.0,0.0,43579201536.0,66818335003.0
Z304JGHW,2018-02-06,ST4000DM000,0,0.0,20449.0,0.0,0.0,8152.0,24.0,0.0,0.0,43583713032.0,66970804244.0
Z304JGHW,2018-02-07,ST4000DM000,0,0.0,20474.0,0.0,0.0,8152.0,23.0,0.0,0.0,43588020784.0,67170448365.0
Z304JGHW,2018-02-08,ST4000DM000,0,0.0,20499.0,0.0,0.0,8155.0,24.0,0.0,0.0,43591788608.0,67303161659.0
Z304JGHW,2018-02-09,ST4000DM000,0,0.0,20523.0,0.0,0.0,8155.0,26.0,0.0,0.0,43598649504.0,67480672658.0
Z304JGHW,2018-02-10,ST4000DM000,0,0.0,20547.0,0.0,0.0,8155.0,24.0,0.0,0.0,43602404680.0,67645454908.0
Z304JGHW,2018-02-11,ST4000DM000,0,0.0,20571.0,0.0,0.0,8155.0,25.0,0.0,0.0,43608316312.0,67780534764.0
Z304JGHW,2018-02-12,ST4000DM000,0,0.0,20594.0,0.0,0.0,8155.0,25.0,0.0,0.0,43609764904.0,67942690327.0
Z304JGHW,2018-02-13,ST4000DM000,0,0.0,20619.0,0.0,0.0,8155.0,25.0,0.0,0.0,43612304656.0,68108561671.0
Z304JGHW,2018-02-14,ST4000DM000,0,0.0,20643.0,0.0,0.0,8155.0,25.0,0.0,0.0,43614571128.0,68260334046.0
Z304JGHW,2018-02-15,ST4000DM000,0,0.0,20667.0,0.0,0.0,8155.0,25.0,0.0,0.0,43620183720.0,68437706328.0
Z304JGHW,2018-02-16,ST4000DM000,0,0.0,20690.0,0.0,0.0,8155.0,25.0,0.0,0.0,43626822096.0,68597526952.0
Z304JGHW,2018-02-17,ST4000DM000,0,0.0,20715.0,0.0,0.0,8155.0,25.0,0.0,0.0,43628900016.0,68770208281.0
