serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304JLA6,2018-01-02,ST4000DM000,0,0.0,18587.0,0.0,0.0,10406.0,23.0,0.0,0.0,40987658856.0,62890179896.0
Z304JLA6,2018-01-03,ST4000DM000,0,0.0,18611.0,0.0,0.0,10406.0,23.0,0.0,0.0,41025785304.0,63024503815.0
Z304JLA6,2018-01-04,ST4000DM000,0,0.0,18627.0,0.0,0.0,10406.0,23.0,0.0,0.0,41047001464.0,63066718771.0
Z304JLA6,2018-01-05,ST4000DM000,0,0.0,18652.0,0.0,0.0,10407.0,22.0,0.0,0.0,41090211680.0,63203636345.0
Z304JLA6,2018-01-06,ST4000DM000,0,0.0,18675.0,0.0,0.0,10407.0,22.0,0.0,0.0,41114754504.0,63243514607.0
Z304JLA6,2018-01-07,ST4000DM000,0,0.0,18699.0,0.0,0.0,10407.0,22.0,0.0,0.0,41146121384.0,63344241995.0
Z304JLA6,2018-01-08,ST4000DM000,0,0.0,18723.0,0.0,0.0,10407.0,22.0,0.0,0.0,41173689784.0,63468463929.0
Z304JLA6,2018-01-09,ST4000DM000,0,0.0,18748.0,0.0,0.0,10407.0,22.0,0.0,0.0,41196207560.0,63639824934.0
Z304JLA6,2018-01-10,ST4000DM000,0,0.0,18775.0,0.0,0.0,10407.0,23.0,0.0,0.0,41215551656.0,63786941079.0
Z304JLA6,2018-01-11,ST4000DM000,0,0.0,18793.0,0.0,0.0,10409.0,23.0,0.0,0.0,41223985064.0,63885160602.0
Z304JLA6,2018-01-12,ST4000DM000,0,0.0,18829.0,0.0,0.0,10412.0,22.0,0.0,0.0,41238540960.0,64026210737.0
Z304JLA6,2018-01-13,ST4000DM000,0,0.0,18853.0,0.0,0.0,10413.0,23.0,0.0,0.0,41244855104.0,64109885564.0
Z304JLA6,2018-01-14,ST4000DM000,0,0.0,18877.0,0.0,0.0,10413.0,23.0,0.0,0.0,41248402328.0,64219111530.0
Z304JLA6,2018-01-15,ST4000DM000,0,0.0,18901.0,0.0,0.0,10413.0,24.0,0.0,0.0,41251371576.0,64311250519.0
