serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304KBQD,2018-01-02,ST4000DM000,0,0.0,18940.0,3.0,0.0,14217.0,27.0,0.0,0.0,39774415224.0,65516999062.0
Z304KBQD,2018-01-03,ST4000DM000,0,0.0,18952.0,3.0,0.0,14217.0,27.0,0.0,0.0,39797577168.0,65603769390.0
Z304KBQD,2018-01-04,ST4000DM000,0,0.0,18980.0,3.0,0.0,14217.0,27.0,0.0,0.0,39845899736.0,65796280156.0
Z304KBQD,2018-01-05,ST4000DM000,0,0.0,19003.0,3.0,0.0,14217.0,27.0,0.0,0.0,39873134584.0,65946531331.0
Z304KBQD,2018-01-06,ST4000DM000,0,0.0,19016.0,3.0,0.0,14217.0,27.0,0.0,0.0,39887640440.0,66030583168.0
Z304KBQD,2018-01-07,ST4000DM000,0,0.0,19051.0,3.0,0.0,14217.0,27.0,0.0,0.0,39930665728.0,66186793421.0
Z304KBQD,2018-01-08,ST4000DM000,0,0.0,19076.0,3.0,0.0,14217.0,27.0,0.0,0.0,39950934440.0,66330451558.0
Z304KBQD,2018-01-09,ST4000DM000,0,0.0,19100.0,3.0,0.0,14217.0,23.0,0.0,0.0,39971811088.0,66405135137.0
Z304KBQD,2018-01-10,ST4000DM000,0,0.0,19127.0,3.0,0.0,14217.0,24.0,0.0,0.0,39985957336.0,66522796141.0
Z304KBQD,2018-01-11,ST4000DM000,0,0.0,19158.0,3.0,0.0,14223.0,25.0,0.0,0.0,39996109352.0,66759770090.0
Z304KBQD,2018-01-12,ST4000DM000,0,0.0,19182.0,3.0,0.0,14223.0,24.0,0.0,0.0,40008504240.0,66928089929.0
Z304KBQD,2018-01-13,ST4000DM000,0,0.0,19206.0,3.0,0.0,14223.0,24.0,0.0,0.0,40017552312.0,67119290772.0
Z304KBQD,2018-01-14,ST4000DM000,0,0.0,19230.0,3.0,0.0,14223.0,24.0,0.0,0.0,40020061184.0,67234394778.0
Z304KBQD,2018-01-15,ST4000DM000,0,0.0,19253.0,3.0,0.0,14223.0,24.0,0.0,0.0,40028748056.0,67372232414.0
Z304KBQD,2018-01-16,ST4000DM000,0,0.0,19277.0,3.0,0.0,14223.0,25.0,0.0,0.0,40041961408.0,67545126970.0
