serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304KCEB,2018-01-02,ST4000DM000,0,0.0,18633.0,0.0,0.0,5243.0,27.0,0.0,0.0,41099776096.0,59823475850.0
Z304KCEB,2018-01-03,ST4000DM000,0,0.0,18657.0,0.0,0.0,5243.0,26.0,0.0,0.0,41110523616.0,59975263911.0
Z304KCEB,2018-01-04,ST4000DM000,0,0.0,18673.0,0.0,0.0,5243.0,26.0,0.0,0.0,41115919512.0,60067239161.0
Z304KCEB,2018-01-05,ST4000DM000,0,0.0,18698.0,0.0,0.0,5246.0,26.0,0.0,0.0,41127524944.0,60229936063.0
Z304KCEB,2018-01-06,ST4000DM000,0,0.0,18721.0,0.0,0.0,5246.0,24.0,0.0,0.0,41138359768.0,60405043940.0
Z304KCEB,2018-01-07,ST4000DM000,0,0.0,18745.0,0.0,0.0,5246.0,24.0,0.0,0.0,41153097416.0,60598104010.0
Z304KCEB,2018-01-08,ST4000DM000,0,0.0,18769.0,0.0,0.0,5246.0,24.0,0.0,0.0,41161177376.0,60738665863.0
Z304KCEB,2018-01-09,ST4000DM000,0,0.0,18793.0,0.0,0.0,5246.0,24.0,0.0,0.0,41176418120.0,60927823076.0
Z304KCEB,2018-01-10,ST4000DM000,0,0.0,18805.0,0.0,0.0,5246.0,24.0,0.0,0.0,41182765440.0,61001507464.0
Z304KCEB,2018-01-11,ST4000DM000,0,0.0,18841.0,0.0,0.0,5246.0,23.0,0.0,0.0,41206018952.0,61225639791.0
Z304KCEB,2018-01-12,ST4000DM000,0,0.0,18865.0,0.0,0.0,5249.0,24.0,0.0,0.0,41218446000.0,61356397396.0
Z304KCEB,2018-01-13,ST4000DM000,0,0.0,18889.0,0.0,0.0,5249.0,24.0,0.0,0.0,41231126944.0,61520766282.0
Z304KCEB,2018-01-14,ST4000DM000,0,0.0,18913.0,0.0,0.0,5249.0,24.0,0.0,0.0,41245705504.0,61713874500.0
Z304KCEB,2018-01-15,ST4000DM000,0,0.0,18937.0,0.0,0.0,5249.0,25.0,0.0,0.0,41266729416.0,61867127622.0
Z304KCEB,2018-01-16,ST4000DM000,0,0.0,18961.0,0.0,0.0,5249.0,24.0,0.0,0.0,41289477288.0,62011879245.0
