serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304SYGW,2018-01-02,ST4000DM000,0,0.0,17974.0,4.0,0.0,32225.0,35.0,0.0,0.0,39666914728.0,57834991606.0
Z304SYGW,2018-01-03,ST4000DM000,0,0.0,17998.0,4.0,0.0,32225.0,34.0,0.0,0.0,39717239624.0,57947044892.0
Z304SYGW,2018-01-04,ST4000DM000,0,0.0,18026.0,4.0,0.0,32225.0,33.0,0.0,0.0,39756823560.0,58114360163.0
Z304SYGW,2018-01-05,ST4000DM000,0,0.0,18051.0,4.0,0.0,32225.0,34.0,0.0,0.0,39776138856.0,58265625499.0
Z304SYGW,2018-01-06,ST4000DM000,0,0.0,18062.0,4.0,0.0,32225.0,23.0,0.0,0.0,39783744584.0,58353757310.0
Z304SYGW,2018-01-07,ST4000DM000,0,0.0,18098.0,4.0,0.0,32225.0,24.0,0.0,0.0,39806747736.0,58584810777.0
Z304SYGW,2018-01-08,ST4000DM000,0,0.0,18122.0,4.0,0.0,32225.0,23.0,0.0,0.0,39827056096.0,58723893733.0
Z304SYGW,2018-01-09,ST4000DM000,0,0.0,18146.0,4.0,0.0,32225.0,24.0,0.0,0.0,39837514728.0,58904448787.0
Z304SYGW,2018-01-10,ST4000DM000,0,0.0,18162.0,4.0,0.0,32225.0,24.0,0.0,0.0,39846002800.0,58996400571.0
Z304SYGW,2018-01-11,ST4000DM000,0,0.0,18191.0,4.0,0.0,32230.0,24.0,0.0,0.0,39855762424.0,59211782384.0
Z304SYGW,2018-01-12,ST4000DM000,0,0.0,18216.0,4.0,0.0,32230.0,25.0,0.0,0.0,39864181016.0,59379343476.0
Z304SYGW,2018-01-13,ST4000DM000,0,0.0,18240.0,4.0,0.0,32230.0,24.0,0.0,0.0,39872565168.0,59567994693.0
Z304SYGW,2018-01-14,ST4000DM000,0,0.0,18264.0,4.0,0.0,32230.0,24.0,0.0,0.0,39879453960.0,59752992912.0
Z304SYGW,2018-01-15,ST4000DM000,0,0.0,18287.0,4.0,0.0,32230.0,24.0,0.0,0.0,39887127776.0,59934308139.0
Z304SYGW,2018-01-16,ST4000DM000,0,0.0,18311.0,4.0,0.0,32230.0,25.0,0.0,0.0,39892724184.0,60121739071.0
Z304SYGW,2018-01-17,ST4000DM000,0,0.0,18336.0,4.0,0.0,32230.0,23.0,0.0,0.0,39902453560.0,60281045941.0
Z304SYGW,2018-01-18,ST4000DM000,0,0.0,18351.0,4.0,0.0,32230.0,23.0,0.0,0.0,39906553776.0,60397332408.0
Z304SYGW,2018-01-19,ST4000DM000,0,0.0,18375.0,4.0,0.0,32233.0,24.0,0.0,0.0,39916355608.0,60551448780.0
Z304SYGW,2018-01-20,ST4000DM000,0,0.0,18399.0,4.0,0.0,32233.0,23.0,0.0,0.0,39924010856.0,60747055595.0
Z304SYGW,2018-01-21,ST4000DM000,0,0.0,18423.0,4.0,0.0,32233.0,24.0,0.0,0.0,39933709448.0,60940446901.0
Z304SYGW,2018-01-22,ST4000DM000,0,0.0,18447.0,4.0,0.0,32233.0,23.0,0.0,0.0,39943868600.0,61090720980.0
Z304SYGW,2018-01-23,ST4000DM000,0,0.0,18471.0,4.0,0.0,32233.0,23.0,0.0,0.0,39953855520.0,61314006011.0
Z304SYGW,2018-01-24,ST4000DM000,0,0.0,18502.0,4.0,0.0,32233.0,23.0,0.0,0.0,39965446856.0,61538972233.0
Z304SYGW,2018-01-25,ST4000DM000,0,0.0,18519.0,4.0,0.0,32233.0,23.0,0.0,0.0,39976276568.0,61679794208.0
Z304SYGW,2018-01-26,ST4000DM000,0,0.0,18543.0,4.0,0.0,32236.0,23.0,0.0,0.0,39983497976.0,61831410364.0
Z304SYGW,2018-01-27,ST4000DM000,0,0.0,18567.0,4.0,0.0,32236.0,23.0,0.0,0.0,39989951160.0,62023922431.0
Z304SYGW,2018-01-28,ST4000DM000,0,0.0,18592.0,4.0,0.0,32236.0,23.0,0.0,0.0,39995922144.0,62213751281.0
Z304SYGW,2018-01-29,ST4000DM000,0,0.0,18615.0,4.0,0.0,32236.0,23.0,0.0,0.0,40005503432.0,62383078952.0
Z304SYGW,2018-01-30,ST4000DM000,0,0.0,18640.0,4.0,0.0,32236.0,23.0,0.0,0.0,40012557040.0,62499222623.0
Z304SYGW,2018-01-31,ST4000DM000,0,0.0,18664.0,4.0,0.0,32239.0,25.0,0.0,0.0,40022203960.0,62607446695.0
Z304SYGW,2018-02-01,ST4000DM000,0,0.0,18688.0,4.0,0.0,32239.0,23.0,0.0,0.0,40025995872.0,62740545113.0
Z304SYGW,2018-02-02,ST4000DM000,0,0.0,18712.0,4.0,0.0,32239.0,23.0,0.0,0.0,40031843880.0,62883780364.0
Z304SYGW,2018-02-03,ST4000DM000,0,0.0,18736.0,4.0,0.0,32239.0,23.0,0.0,0.0,40035434048.0,63032300290.0
Z304SYGW,2018-02-04,ST4000DM000,0,0.0,18764.0,4.0,0.0,32239.0,23.0,0.0,0.0,40044072008.0,63199361607.0
Z304SYGW,2018-02-05,ST4000DM000,0,0.0,18788.0,4.0,0.0,32239.0,23.0,0.0,0.0,40050380024.0,63392361460.0
Z304SYGW,2018-02-06,ST4000DM000,0,0.0,18812.0,4.0,0.0,32239.0,23.0,0.0,0.0,40055360624.0,63528855295.0
Z304SYGW,2018-02-07,ST4000DM000,0,0.0,18836.0,4.0,0.0,32239.0,23.0,0.0,0.0,40061656992.0,63660445038.0
Z304SYGW,2018-02-08,ST4000DM000,0,0.0,18858.0,4.0,0.0,32239.0,22.0,0.0,0.0,40066411576.0,63753574879.0
Z304SYGW,2018-02-09,ST4000DM000,0,0.0,18882.0,4.0,0.0,32242.0,23.0,0.0,0.0,40069032584.0,63864879632.0
Z304SYGW,2018-02-10,ST4000DM000,0,0.0,18907.0,4.0,0.0,32242.0,32.0,0.0,0.0,40072152856.0,64009504619.0
Z304SYGW,2018-02-11,ST4000DM000,0,0.0,18930.0,4.0,0.0,32242.0,23.0,0.0,0.0,40073672296.0,64059029756.0
Z304SYGW,2018-02-12,ST4000DM000,0,0.0,18955.0,4.0,0.0,32242.0,24.0,0.0,0.0,40078467736.0,64186188176.0
Z304SYGW,2018-02-13,ST4000DM000,0,0.0,18978.0,4.0,0.0,32242.0,24.0,0.0,0.0,40080880152.0,64363810666.0
Z304SYGW,2018-02-14,ST4000DM000,0,0.0,19003.0,4.0,0.0,32243.0,23.0,0.0,0.0,40085248880.0,64471430088.0
Z304SYGW,2018-02-15,ST4000DM000,0,0.0,19027.0,4.0,0.0,32243.0,23.0,0.0,0.0,40087613256.0,64560781872.0
Z304SYGW,2018-02-16,ST4000DM000,0,0.0,19051.0,4.0,0.0,32243.0,24.0,0.0,0.0,40089492944.0,64674352918.0
Z304SYGW,2018-02-17,ST4000DM000,0,0.0,19075.0,4.0,0.0,32243.0,23.0,0.0,0.0,40091551496.0,64775682146.0
Z304SYGW,2018-02-18,ST4000DM000,0,0.0,19098.0,4.0,0.0,32243.0,23.0,0.0,0.0,40093519704.0,64883524678.0
Z304SYGW,2018-02-19,ST4000DM000,0,0.0,19122.0,4.0,0.0,32243.0,23.0,0.0,0.0,40097880248.0,65010024648.0
Z304SYGW,2018-02-20,ST4000DM000,0,0.0,19146.0,4.0,0.0,32243.0,24.0,0.0,0.0,40100127272.0,65120473699.0
Z304SYGW,2018-02-21,ST4000DM000,0,0.0,19170.0,4.0,0.0,32243.0,24.0,0.0,0.0,40107969480.0,65237032617.0
Z304SYGW,2018-02-22,ST4000DM000,0,0.0,19197.0,4.0,0.0,32246.0,24.0,0.0,0.0,40115853408.0,65365941797.0
Z304SYGW,2018-02-23,ST4000DM000,0,0.0,19220.0,4.0,0.0,32246.0,25.0,0.0,0.0,40117777024.0,65489421920.0
Z304SYGW,2018-02-24,ST4000DM000,0,0.0,19244.0,4.0,0.0,32246.0,23.0,0.0,0.0,40119631768.0,65636982544.0
Z304SYGW,2018-02-25,ST4000DM000,0,0.0,19269.0,4.0,0.0,32246.0,23.0,0.0,0.0,40121821160.0,65807944227.0
Z304SYGW,2018-02-26,ST4000DM000,0,0.0,19292.0,4.0,0.0,32246.0,24.0,0.0,0.0,40126416160.0,65926423016.0
Z304SYGW,2018-02-27,ST4000DM000,0,0.0,19317.0,4.0,0.0,32246.0,24.0,0.0,0.0,40129367528.0,66034739665.0
Z304SYGW,2018-02-28,ST4000DM000,0,0.0,19341.0,4.0,0.0,32246.0,23.0,0.0,0.0,40135796560.0,66114510418.0
Z304SYGW,2018-03-01,ST4000DM000,0,0.0,19367.0,4.0,0.0,32250.0,23.0,0.0,0.0,40138601176.0,66268823570.0
Z304SYGW,2018-03-02,ST4000DM000,0,0.0,19391.0,4.0,0.0,32250.0,24.0,0.0,0.0,40140806680.0,66312115014.0
Z304SYGW,2018-03-03,ST4000DM000,0,0.0,19415.0,4.0,0.0,32250.0,24.0,0.0,0.0,40149159744.0,66389131916.0
Z304SYGW,2018-03-04,ST4000DM000,0,0.0,19439.0,4.0,0.0,32250.0,24.0,0.0,0.0,40160039840.0,66469223416.0
Z304SYGW,2018-03-05,ST4000DM000,0,0.0,19463.0,4.0,0.0,32250.0,23.0,0.0,0.0,40176740416.0,66496575689.0
Z304SYGW,2018-03-06,ST4000DM000,0,0.0,19488.0,4.0,0.0,32253.0,23.0,0.0,0.0,40184791152.0,66572890534.0
Z304SYGW,2018-03-07,ST4000DM000,0,0.0,19512.0,4.0,0.0,32253.0,23.0,0.0,0.0,40194043984.0,66689444148.0
Z304SYGW,2018-03-08,ST4000DM000,0,0.0,19534.0,4.0,0.0,32256.0,23.0,0.0,0.0,40201042824.0,66793951628.0
Z304SYGW,2018-03-09,ST4000DM000,0,0.0,19557.0,4.0,0.0,32256.0,23.0,0.0,0.0,40211720584.0,66950274087.0
Z304SYGW,2018-03-10,ST4000DM000,0,0.0,19582.0,4.0,0.0,32256.0,23.0,0.0,0.0,40225170968.0,67098220425.0
Z304SYGW,2018-03-11,ST4000DM000,0,0.0,19605.0,4.0,0.0,32256.0,23.0,0.0,0.0,40237268112.0,67222481256.0
Z304SYGW,2018-03-12,ST4000DM000,0,0.0,19629.0,4.0,0.0,32256.0,24.0,0.0,0.0,40256032696.0,67372877651.0
Z304SYGW,2018-03-13,ST4000DM000,0,0.0,19654.0,4.0,0.0,32256.0,23.0,0.0,0.0,40265237416.0,67560571386.0
Z304SYGW,2018-03-14,ST4000DM000,0,0.0,19678.0,4.0,0.0,32256.0,23.0,0.0,0.0,40287145544.0,67696492589.0
Z304SYGW,2018-03-15,ST4000DM000,0,0.0,19702.0,4.0,0.0,32257.0,23.0,0.0,0.0,40300774376.0,67865670353.0
Z304SYGW,2018-03-16,ST4000DM000,0,0.0,19726.0,4.0,0.0,32257.0,23.0,0.0,0.0,40317518696.0,68062026962.0
Z304SYGW,2018-03-17,ST4000DM000,0,0.0,19750.0,4.0,0.0,32257.0,24.0,0.0,0.0,40330874376.0,68237045254.0
Z304SYGW,2018-03-18,ST4000DM000,0,0.0,19774.0,4.0,0.0,32257.0,23.0,0.0,0.0,40350033728.0,68424949014.0
Z304SYGW,2018-03-19,ST4000DM000,0,0.0,19798.0,4.0,0.0,32257.0,23.0,0.0,0.0,40363993872.0,68612960226.0
Z304SYGW,2018-03-20,ST4000DM000,0,0.0,19822.0,4.0,0.0,32257.0,22.0,0.0,0.0,40375482656.0,68784785048.0
Z304SYGW,2018-03-21,ST4000DM000,0,0.0,19846.0,4.0,0.0,32257.0,23.0,0.0,0.0,40389660824.0,68942365945.0
Z304SYGW,2018-03-22,ST4000DM000,0,0.0,19870.0,4.0,0.0,32257.0,24.0,0.0,0.0,40405170192.0,69136009861.0
Z304SYGW,2018-03-23,ST4000DM000,0,0.0,19894.0,4.0,0.0,32257.0,23.0,0.0,0.0,40421022032.0,69278970570.0
Z304SYGW,2018-03-24,ST4000DM000,0,0.0,19918.0,4.0,0.0,32257.0,23.0,0.0,0.0,40443259024.0,69496695583.0
Z304SYGW,2018-03-25,ST4000DM000,0,0.0,19942.0,4.0,0.0,32257.0,23.0,0.0,0.0,40462289832.0,69721268085.0
Z304SYGW,2018-03-26,ST4000DM000,0,0.0,19966.0,4.0,0.0,32257.0,23.0,0.0,0.0,40473525824.0,69905241607.0
Z304SYGW,2018-03-27,ST4000DM000,0,0.0,19990.0,4.0,0.0,32257.0,23.0,0.0,0.0,40486159216.0,70108352250.0
Z304SYGW,2018-03-28,ST4000DM000,0,0.0,20014.0,4.0,0.0,32257.0,23.0,0.0,0.0,40504332536.0,70253113062.0
Z304SYGW,2018-03-29,ST4000DM000,0,0.0,20038.0,4.0,0.0,32259.0,22.0,0.0,0.0,40516376920.0,70389783453.0
Z304SYGW,2018-03-30,ST4000DM000,0,0.0,20062.0,4.0,0.0,32259.0,22.0,0.0,0.0,40526609664.0,70538121248.0
Z304SYGW,2018-03-31,ST4000DM000,0,0.0,20086.0,4.0,0.0,32259.0,23.0,0.0,0.0,40538167296.0,70662485553.0
Z304SYGW,2018-04-01,ST4000DM000,0,0.0,20110.0,4.0,0.0,32259.0,23.0,0.0,0.0,40572084128.0,70799250097.0
Z304SYGW,2018-04-02,ST4000DM000,0,0.0,20134.0,4.0,0.0,32259.0,23.0,0.0,0.0,40592281768.0,70936245897.0
Z304SYGW,2018-04-03,ST4000DM000,0,0.0,20158.0,4.0,0.0,32259.0,23.0,0.0,0.0,40604809160.0,71058386103.0
Z304SYGW,2018-04-04,ST4000DM000,0,0.0,20182.0,4.0,0.0,32259.0,23.0,0.0,0.0,40625132944.0,71186678036.0
Z304SYGW,2018-04-05,ST4000DM000,0,0.0,20206.0,4.0,0.0,32259.0,22.0,0.0,0.0,40638607184.0,71314919399.0
Z304SYGW,2018-04-06,ST4000DM000,0,0.0,20230.0,4.0,0.0,32259.0,22.0,0.0,0.0,40660834056.0,71484553398.0
Z304SYGW,2018-04-07,ST4000DM000,0,0.0,20254.0,4.0,0.0,32259.0,22.0,0.0,0.0,40696335752.0,71622156210.0
Z304SYGW,2018-04-08,ST4000DM000,0,0.0,20278.0,4.0,0.0,32259.0,22.0,0.0,0.0,40716350456.0,71731980464.0
Z304SYGW,2018-04-09,ST4000DM000,0,0.0,20302.0,4.0,0.0,32259.0,22.0,0.0,0.0,40739550536.0,71840247767.0
Z304SYGW,2018-04-10,ST4000DM000,0,0.0,20326.0,4.0,0.0,32259.0,22.0,0.0,0.0,40755506904.0,71985346271.0
Z304SYGW,2018-04-11,ST4000DM000,0,0.0,20350.0,4.0,0.0,32259.0,24.0,0.0,0.0,40775063560.0,72021283730.0
Z304SYGW,2018-04-12,ST4000DM000,0,0.0,20373.0,4.0,0.0,32262.0,24.0,0.0,0.0,40796649768.0,72166113880.0
Z304SYGW,2018-04-13,ST4000DM000,0,0.0,20398.0,4.0,0.0,32262.0,24.0,0.0,0.0,40831975720.0,72326689613.0
Z304SYGW,2018-04-14,ST4000DM000,0,0.0,20422.0,4.0,0.0,32262.0,24.0,0.0,0.0,40848309480.0,72457277475.0
Z304SYGW,2018-04-15,ST4000DM000,0,0.0,20445.0,4.0,0.0,32262.0,24.0,0.0,0.0,40861626048.0,72599620235.0
Z304SYGW,2018-04-16,ST4000DM000,0,0.0,20469.0,4.0,0.0,32262.0,24.0,0.0,0.0,40877832680.0,72691202648.0
Z304SYGW,2018-04-17,ST4000DM000,0,0.0,20493.0,4.0,0.0,32262.0,24.0,0.0,0.0,40897050440.0,72805657681.0
Z304SYGW,2018-04-18,ST4000DM000,0,0.0,20517.0,4.0,0.0,32262.0,24.0,0.0,0.0,40917003688.0,72889750996.0
Z304SYGW,2018-04-19,ST4000DM000,0,0.0,20542.0,4.0,0.0,32262.0,24.0,0.0,0.0,40931667064.0,73007292104.0
Z304SYGW,2018-04-20,ST4000DM000,0,0.0,20566.0,4.0,0.0,32262.0,24.0,0.0,0.0,40947081336.0,73098441362.0
Z304SYGW,2018-04-21,ST4000DM000,0,0.0,20589.0,4.0,0.0,32262.0,22.0,0.0,0.0,40970192360.0,73207336085.0
Z304SYGW,2018-04-22,ST4000DM000,0,0.0,20614.0,4.0,0.0,32262.0,21.0,0.0,0.0,40994119560.0,73352184841.0
Z304SYGW,2018-04-23,ST4000DM000,0,0.0,20638.0,4.0,0.0,32262.0,21.0,0.0,0.0,41023023416.0,73449936586.0
Z304SYGW,2018-04-24,ST4000DM000,0,0.0,20662.0,4.0,0.0,32262.0,22.0,0.0,0.0,41042689776.0,73617667129.0
Z304SYGW,2018-04-25,ST4000DM000,0,0.0,20686.0,4.0,0.0,32262.0,23.0,0.0,0.0,41063937576.0,73738252031.0
Z304SYGW,2018-04-26,ST4000DM000,0,0.0,20711.0,4.0,0.0,32264.0,23.0,0.0,0.0,41081027528.0,73890237717.0
Z304SYGW,2018-04-27,ST4000DM000,0,0.0,20736.0,4.0,0.0,32264.0,23.0,0.0,0.0,41093840872.0,73994327683.0
Z304SYGW,2018-04-28,ST4000DM000,0,0.0,20759.0,4.0,0.0,32264.0,22.0,0.0,0.0,41110485512.0,74090141269.0
Z304SYGW,2018-04-29,ST4000DM000,0,0.0,20783.0,4.0,0.0,32264.0,23.0,0.0,0.0,41128441280.0,74221828898.0
Z304SYGW,2018-04-30,ST4000DM000,0,0.0,20807.0,4.0,0.0,32264.0,23.0,0.0,0.0,41144662592.0,74333272968.0
Z304SYGW,2018-05-01,ST4000DM000,0,0.0,20831.0,4.0,0.0,32264.0,23.0,0.0,0.0,41159708032.0,74417666033.0
Z304SYGW,2018-05-02,ST4000DM000,0,0.0,20855.0,4.0,0.0,32264.0,21.0,0.0,0.0,41178769216.0,74475741833.0
Z304SYGW,2018-05-03,ST4000DM000,0,0.0,20877.0,4.0,0.0,32268.0,23.0,0.0,0.0,41197211184.0,74563956408.0
Z304SYGW,2018-05-04,ST4000DM000,0,0.0,20901.0,4.0,0.0,32268.0,23.0,0.0,0.0,41210465632.0,74631635352.0
Z304SYGW,2018-05-05,ST4000DM000,0,0.0,20925.0,4.0,0.0,32268.0,23.0,0.0,0.0,41225443816.0,74656652829.0
Z304SYGW,2018-05-06,ST4000DM000,0,0.0,20949.0,4.0,0.0,32268.0,22.0,0.0,0.0,41262222072.0,74714297525.0
Z304SYGW,2018-05-07,ST4000DM000,0,0.0,20974.0,4.0,0.0,32268.0,22.0,0.0,0.0,41295669720.0,74851148167.0
Z304SYGW,2018-05-08,ST4000DM000,0,0.0,20998.0,4.0,0.0,32268.0,23.0,0.0,0.0,41322219168.0,74992704339.0
Z304SYGW,2018-05-09,ST4000DM000,0,0.0,21022.0,4.0,0.0,32268.0,22.0,0.0,0.0,41343037456.0,75100428656.0
Z304SYGW,2018-05-10,ST4000DM000,0,0.0,21046.0,4.0,0.0,32272.0,22.0,0.0,0.0,41361688336.0,75260636436.0
Z304SYGW,2018-05-11,ST4000DM000,0,0.0,21070.0,4.0,0.0,32272.0,22.0,0.0,0.0,41374013784.0,75350640418.0
Z304SYGW,2018-05-12,ST4000DM000,0,0.0,21094.0,4.0,0.0,32272.0,22.0,0.0,0.0,41391776792.0,75466246163.0
Z304SYGW,2018-05-13,ST4000DM000,0,0.0,21118.0,4.0,0.0,32272.0,22.0,0.0,0.0,41411441176.0,75609856730.0
Z304SYGW,2018-05-14,ST4000DM000,0,0.0,21142.0,4.0,0.0,32272.0,22.0,0.0,0.0,41434745880.0,75767568992.0
Z304SYGW,2018-05-15,ST4000DM000,0,0.0,21166.0,4.0,0.0,32272.0,22.0,0.0,0.0,41458340816.0,75918563359.0
Z304SYGW,2018-05-16,ST4000DM000,0,0.0,21190.0,4.0,0.0,32272.0,23.0,0.0,0.0,41477781760.0,76002092165.0
Z304SYGW,2018-05-17,ST4000DM000,0,0.0,21212.0,4.0,0.0,32272.0,23.0,0.0,0.0,41490835984.0,76150432923.0
Z304SYGW,2018-05-18,ST4000DM000,0,0.0,21236.0,4.0,0.0,32275.0,22.0,0.0,0.0,41502882944.0,76210660977.0
Z304SYGW,2018-05-19,ST4000DM000,0,0.0,21260.0,4.0,0.0,32275.0,22.0,0.0,0.0,41515485384.0,76376362197.0
Z304SYGW,2018-05-20,ST4000DM000,0,0.0,21284.0,4.0,0.0,32275.0,22.0,0.0,0.0,41525460192.0,76541921696.0
Z304SYGW,2018-05-21,ST4000DM000,0,0.0,21308.0,4.0,0.0,32275.0,22.0,0.0,0.0,41539983712.0,76745925637.0
Z304SYGW,2018-05-22,ST4000DM000,0,0.0,21332.0,4.0,0.0,32275.0,22.0,0.0,0.0,41572072248.0,76920569563.0
Z304SYGW,2018-05-23,ST4000DM000,0,0.0,21357.0,5.0,0.0,32275.0,22.0,0.0,0.0,41588179768.0,77076228696.0
Z304SYGW,2018-05-24,ST4000DM000,0,0.0,21380.0,5.0,0.0,32275.0,22.0,0.0,0.0,41603352400.0,77252193916.0
Z304SYGW,2018-05-25,ST4000DM000,0,0.0,21402.0,5.0,0.0,32279.0,22.0,0.0,0.0,41616216024.0,77400278282.0
Z304SYGW,2018-05-26,ST4000DM000,0,0.0,21427.0,5.0,0.0,32279.0,22.0,0.0,0.0,41633407328.0,77557567611.0
Z304SYGW,2018-05-27,ST4000DM000,0,0.0,21451.0,5.0,0.0,32279.0,22.0,0.0,0.0,41651042112.0,77746234435.0
Z304SYGW,2018-05-28,ST4000DM000,0,0.0,21475.0,5.0,0.0,32279.0,22.0,0.0,0.0,41672839384.0,77930394563.0
Z304SYGW,2018-05-29,ST4000DM000,0,0.0,21498.0,5.0,0.0,32279.0,22.0,0.0,0.0,41690873800.0,78105795045.0
Z304SYGW,2018-05-30,ST4000DM000,0,0.0,21523.0,5.0,0.0,32279.0,22.0,0.0,0.0,41715169576.0,78275363875.0
Z304SYGW,2018-05-31,ST4000DM000,0,0.0,21550.0,5.0,0.0,32281.0,22.0,0.0,0.0,41745825480.0,78476354632.0
Z304SYGW,2018-06-01,ST4000DM000,0,0.0,21574.0,5.0,0.0,32281.0,22.0,0.0,0.0,41762632800.0,78616345580.0
Z304SYGW,2018-06-02,ST4000DM000,0,0.0,21598.0,5.0,0.0,32281.0,22.0,0.0,0.0,41781975368.0,78827560522.0
Z304SYGW,2018-06-03,ST4000DM000,0,0.0,21622.0,5.0,0.0,32281.0,22.0,0.0,0.0,41804571928.0,78982322748.0
Z304SYGW,2018-06-04,ST4000DM000,0,0.0,21646.0,5.0,0.0,32281.0,22.0,0.0,0.0,41825547136.0,79123738672.0
Z304SYGW,2018-06-05,ST4000DM000,0,0.0,21670.0,5.0,0.0,32281.0,22.0,0.0,0.0,41845593152.0,79240793101.0
Z304SYGW,2018-06-06,ST4000DM000,0,0.0,21695.0,5.0,0.0,32281.0,22.0,0.0,0.0,41861242728.0,79361279121.0
Z304SYGW,2018-06-07,ST4000DM000,0,0.0,21718.0,5.0,0.0,32281.0,22.0,0.0,0.0,41877524832.0,79485776228.0
Z304SYGW,2018-06-08,ST4000DM000,0,0.0,21742.0,5.0,0.0,32284.0,22.0,0.0,0.0,41889202256.0,79621657432.0
Z304SYGW,2018-06-09,ST4000DM000,0,0.0,21766.0,5.0,0.0,32284.0,22.0,0.0,0.0,41908345048.0,79771762980.0
Z304SYGW,2018-06-10,ST4000DM000,0,0.0,21790.0,5.0,0.0,32284.0,22.0,0.0,0.0,41921691848.0,79931371894.0
Z304SYGW,2018-06-11,ST4000DM000,0,0.0,21814.0,5.0,0.0,32284.0,22.0,0.0,0.0,41939259672.0,80067086738.0
Z304SYGW,2018-06-12,ST4000DM000,0,0.0,21838.0,5.0,0.0,32284.0,22.0,0.0,0.0,41950780544.0,80212972298.0
Z304SYGW,2018-06-13,ST4000DM000,0,0.0,21862.0,5.0,0.0,32285.0,21.0,0.0,0.0,41962589384.0,80297532232.0
Z304SYGW,2018-06-14,ST4000DM000,0,0.0,21885.0,5.0,0.0,32298.0,23.0,0.0,0.0,41990691952.0,80424125221.0
Z304SYGW,2018-06-15,ST4000DM000,0,0.0,21909.0,5.0,0.0,32298.0,23.0,0.0,0.0,42007474304.0,80596146397.0
Z304SYGW,2018-06-16,ST4000DM000,0,0.0,21933.0,5.0,0.0,32298.0,23.0,0.0,0.0,42023264448.0,80751633840.0
Z304SYGW,2018-06-17,ST4000DM000,0,0.0,21957.0,5.0,0.0,32298.0,22.0,0.0,0.0,42037761648.0,80946387882.0
Z304SYGW,2018-06-18,ST4000DM000,0,0.0,21981.0,5.0,0.0,32298.0,22.0,0.0,0.0,42053220096.0,81124958489.0
