serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z304X7TV,2018-01-02,ST4000DM000,0,8.0,16443.0,9.0,1.0,2934.0,27.0,0.0,0.0,39791285024.0,63535838802.0
Z304X7TV,2018-01-03,ST4000DM000,0,8.0,16468.0,9.0,1.0,2934.0,27.0,0.0,0.0,39807335224.0,63753540315.0
Z304X7TV,2018-01-04,ST4000DM000,0,8.0,16479.0,9.0,1.0,2934.0,27.0,0.0,0.0,39819049232.0,63842009940.0
Z304X7TV,2018-01-05,ST4000DM000,0,8.0,16496.0,9.0,1.0,2936.0,27.0,0.0,0.0,39823830832.0,63949172858.0
Z304X7TV,2018-01-06,ST4000DM000,0,8.0,16531.0,9.0,1.0,2936.0,25.0,0.0,0.0,39848101056.0,64203880411.0
Z304X7TV,2018-01-07,ST4000DM000,0,8.0,16555.0,9.0,1.0,2936.0,25.0,0.0,0.0,39853526320.0,64370385250.0
Z304X7TV,2018-01-08,ST4000DM000,0,8.0,16579.0,9.0,1.0,2936.0,25.0,0.0,0.0,39856167880.0,64548236771.0
Z304X7TV,2018-01-09,ST4000DM000,0,8.0,16603.0,9.0,1.0,2936.0,25.0,0.0,0.0,39862149960.0,64718183845.0
Z304X7TV,2018-01-10,ST4000DM000,0,8.0,16627.0,9.0,1.0,2936.0,25.0,0.0,0.0,39865715960.0,64888026263.0
Z304X7TV,2018-01-11,ST4000DM000,0,8.0,16661.0,9.0,1.0,2938.0,26.0,0.0,0.0,39868659320.0,65142575813.0
Z304X7TV,2018-01-12,ST4000DM000,0,8.0,16685.0,9.0,1.0,2938.0,25.0,0.0,0.0,39872489232.0,65308316985.0
Z304X7TV,2018-01-13,ST4000DM000,0,8.0,16709.0,9.0,1.0,2938.0,26.0,0.0,0.0,39877018376.0,65513155711.0
Z304X7TV,2018-01-14,ST4000DM000,0,8.0,16734.0,9.0,1.0,2938.0,25.0,0.0,0.0,39879868296.0,65699150831.0
Z304X7TV,2018-01-15,ST4000DM000,0,8.0,16757.0,9.0,1.0,2938.0,26.0,0.0,0.0,39886154288.0,65852763793.0
Z304X7TV,2018-01-16,ST4000DM000,0,8.0,16781.0,9.0,1.0,2938.0,26.0,0.0,0.0,39889752368.0,66026954251.0
Z304X7TV,2018-01-17,ST4000DM000,0,8.0,16805.0,9.0,1.0,2938.0,24.0,0.0,0.0,39895855856.0,66191703277.0
Z304X7TV,2018-01-18,ST4000DM000,0,8.0,16820.0,9.0,1.0,2938.0,24.0,0.0,0.0,39905956720.0,66313283510.0
Z304X7TV,2018-01-19,ST4000DM000,0,8.0,16844.0,9.0,1.0,2940.0,24.0,0.0,0.0,39921336944.0,66480646190.0
Z304X7TV,2018-01-20,ST4000DM000,0,8.0,16868.0,9.0,1.0,2940.0,24.0,0.0,0.0,39935380000.0,66630964551.0
Z304X7TV,2018-01-21,ST4000DM000,0,8.0,16893.0,9.0,1.0,2940.0,25.0,0.0,0.0,39946210440.0,66817420794.0
Z304X7TV,2018-01-22,ST4000DM000,0,8.0,16916.0,9.0,1.0,2940.0,25.0,0.0,0.0,39960769496.0,66939537690.0
Z304X7TV,2018-01-23,ST4000DM000,0,8.0,16940.0,9.0,1.0,2940.0,25.0,0.0,0.0,39970384176.0,67057816034.0
Z304X7TV,2018-01-24,ST4000DM000,0,8.0,16973.0,9.0,1.0,2940.0,24.0,0.0,0.0,40002392832.0,67258856354.0
Z304X7TV,2018-01-25,ST4000DM000,0,8.0,16989.0,9.0,1.0,2940.0,24.0,0.0,0.0,40012204240.0,67385297993.0
Z304X7TV,2018-01-26,ST4000DM000,0,8.0,17013.0,9.0,1.0,2942.0,24.0,0.0,0.0,40021284336.0,67532459334.0
Z304X7TV,2018-01-27,ST4000DM000,0,8.0,17036.0,9.0,1.0,2942.0,23.0,0.0,0.0,40035743336.0,67703974372.0
Z304X7TV,2018-01-28,ST4000DM000,0,8.0,17060.0,9.0,1.0,2942.0,23.0,0.0,0.0,40044259096.0,67840868370.0
Z304X7TV,2018-01-29,ST4000DM000,0,8.0,17085.0,9.0,1.0,2942.0,23.0,0.0,0.0,40051094640.0,67981530994.0
Z304X7TV,2018-01-30,ST4000DM000,0,8.0,17117.0,9.0,1.0,2945.0,23.0,0.0,0.0,40071253944.0,68152594926.0
Z304X7TV,2018-01-31,ST4000DM000,0,8.0,17141.0,9.0,1.0,2945.0,24.0,0.0,0.0,40089690584.0,68324332279.0
Z304X7TV,2018-02-01,ST4000DM000,0,8.0,17165.0,9.0,1.0,2945.0,24.0,0.0,0.0,40103053136.0,68492257320.0
Z304X7TV,2018-02-02,ST4000DM000,0,8.0,17189.0,9.0,1.0,2945.0,23.0,0.0,0.0,40123453696.0,68687495941.0
Z304X7TV,2018-02-03,ST4000DM000,0,8.0,17213.0,9.0,1.0,2945.0,23.0,0.0,0.0,40140344200.0,68852181109.0
Z304X7TV,2018-02-04,ST4000DM000,0,8.0,17233.0,9.0,1.0,2945.0,23.0,0.0,0.0,40156817968.0,68981223369.0
Z304X7TV,2018-02-05,ST4000DM000,0,8.0,17257.0,9.0,1.0,2945.0,24.0,0.0,0.0,40172488288.0,69176831934.0
Z304X7TV,2018-02-06,ST4000DM000,0,8.0,17281.0,9.0,1.0,2945.0,23.0,0.0,0.0,40194112848.0,69307798224.0
Z304X7TV,2018-02-07,ST4000DM000,0,8.0,17305.0,9.0,1.0,2945.0,23.0,0.0,0.0,40205642000.0,69474132237.0
Z304X7TV,2018-02-08,ST4000DM000,0,8.0,17331.0,9.0,1.0,2947.0,23.0,0.0,0.0,40215144672.0,69644995193.0
Z304X7TV,2018-02-09,ST4000DM000,0,8.0,17355.0,9.0,1.0,2947.0,24.0,0.0,0.0,40226178704.0,74124510898.0
Z304X7TV,2018-02-10,ST4000DM000,0,8.0,17379.0,9.0,1.0,2947.0,24.0,0.0,0.0,40239531192.0,74278083007.0
Z304X7TV,2018-02-11,ST4000DM000,0,8.0,17403.0,9.0,1.0,2947.0,27.0,0.0,0.0,40255438208.0,74455817001.0
Z304X7TV,2018-02-12,ST4000DM000,0,8.0,17427.0,9.0,1.0,2947.0,24.0,0.0,0.0,40268886104.0,74629322415.0
Z304X7TV,2018-02-13,ST4000DM000,0,8.0,17451.0,9.0,1.0,2947.0,24.0,0.0,0.0,40287945488.0,74796850650.0
Z304X7TV,2018-02-14,ST4000DM000,0,8.0,17474.0,9.0,1.0,2947.0,24.0,0.0,0.0,40299539992.0,74955389433.0
Z304X7TV,2018-02-15,ST4000DM000,0,8.0,17498.0,9.0,1.0,2947.0,24.0,0.0,0.0,40313850408.0,75146282762.0
Z304X7TV,2018-02-16,ST4000DM000,0,8.0,17523.0,9.0,1.0,2947.0,24.0,0.0,0.0,40325470136.0,75315168701.0
Z304X7TV,2018-02-17,ST4000DM000,0,8.0,17547.0,9.0,1.0,2947.0,25.0,0.0,0.0,40338209072.0,76225729447.0
Z304X7TV,2018-02-18,ST4000DM000,0,8.0,17570.0,9.0,1.0,2947.0,24.0,0.0,0.0,40347566896.0,77369456328.0
Z304X7TV,2018-02-19,ST4000DM000,0,8.0,17595.0,9.0,1.0,2947.0,25.0,0.0,0.0,40353855456.0,78241138685.0
Z304X7TV,2018-02-20,ST4000DM000,0,8.0,17618.0,9.0,1.0,2947.0,25.0,0.0,0.0,40360963736.0,78904609717.0
Z304X7TV,2018-02-21,ST4000DM000,0,8.0,17642.0,9.0,1.0,2947.0,24.0,0.0,0.0,40369447104.0,79665540339.0
Z304X7TV,2018-02-22,ST4000DM000,0,8.0,17666.0,9.0,1.0,2950.0,24.0,0.0,0.0,40375088240.0,80366852904.0
Z304X7TV,2018-02-23,ST4000DM000,0,8.0,17690.0,9.0,1.0,2950.0,25.0,0.0,0.0,40380937904.0,81150397168.0
Z304X7TV,2018-02-24,ST4000DM000,0,8.0,17713.0,9.0,1.0,2950.0,25.0,0.0,0.0,40386304160.0,81841487496.0
Z304X7TV,2018-02-25,ST4000DM000,0,8.0,17738.0,9.0,1.0,2950.0,24.0,0.0,0.0,40399728056.0,82414593897.0
