serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3051MZ7,2018-01-02,ST4000DM000,0,0.0,18108.0,0.0,1.0,32265.0,19.0,8.0,8.0,38827839384.0,71646185812.0
Z3051MZ7,2018-01-03,ST4000DM000,0,0.0,18132.0,0.0,1.0,32265.0,20.0,8.0,8.0,38857690088.0,71810744037.0
Z3051MZ7,2018-01-04,ST4000DM000,0,0.0,18149.0,0.0,1.0,32265.0,21.0,8.0,8.0,38888947608.0,71907874890.0
Z3051MZ7,2018-01-05,ST4000DM000,0,0.0,18173.0,0.0,1.0,32265.0,21.0,8.0,8.0,38919116096.0,72063871532.0
Z3051MZ7,2018-01-06,ST4000DM000,0,0.0,18204.0,0.0,1.0,32268.0,20.0,8.0,8.0,38945193424.0,72222056314.0
Z3051MZ7,2018-01-07,ST4000DM000,0,0.0,18227.0,0.0,1.0,32268.0,20.0,8.0,8.0,38961036768.0,72364112821.0
Z3051MZ7,2018-01-08,ST4000DM000,0,0.0,18240.0,0.0,1.0,32268.0,20.0,8.0,8.0,38968164200.0,72460985201.0
Z3051MZ7,2018-01-09,ST4000DM000,0,0.0,18275.0,0.0,1.0,32268.0,19.0,8.0,8.0,39000370368.0,72699270168.0
Z3051MZ7,2018-01-10,ST4000DM000,0,0.0,18295.0,0.0,1.0,32268.0,19.0,8.0,8.0,39008489952.0,72804515812.0
Z3051MZ7,2018-01-11,ST4000DM000,0,0.0,18326.0,0.0,1.0,32273.0,20.0,8.0,8.0,39014048832.0,73014287382.0
Z3051MZ7,2018-01-12,ST4000DM000,0,0.0,18350.0,0.0,1.0,32273.0,21.0,8.0,8.0,39025991792.0,73218700984.0
Z3051MZ7,2018-01-13,ST4000DM000,0,0.0,18374.0,0.0,1.0,32273.0,19.0,8.0,8.0,39030940736.0,73378038766.0
Z3051MZ7,2018-01-14,ST4000DM000,0,0.0,18398.0,0.0,1.0,32273.0,19.0,8.0,8.0,39039282904.0,73536706562.0
Z3051MZ7,2018-01-15,ST4000DM000,0,0.0,18422.0,0.0,1.0,32273.0,21.0,8.0,8.0,39043775136.0,73709835958.0
Z3051MZ7,2018-01-16,ST4000DM000,0,0.0,18446.0,0.0,1.0,32273.0,19.0,8.0,8.0,39049147080.0,73905284873.0
Z3051MZ7,2018-01-17,ST4000DM000,0,0.0,18470.0,0.0,1.0,32273.0,19.0,8.0,8.0,39055903336.0,74081434872.0
Z3051MZ7,2018-01-18,ST4000DM000,0,0.0,18482.0,0.0,1.0,32273.0,19.0,8.0,8.0,39059375584.0,74163249225.0
Z3051MZ7,2018-01-19,ST4000DM000,0,0.0,18509.0,0.0,1.0,32277.0,20.0,8.0,8.0,39093646104.0,74394735520.0
Z3051MZ7,2018-01-20,ST4000DM000,0,0.0,18533.0,0.0,1.0,32277.0,19.0,8.0,8.0,39113902952.0,74580820670.0
Z3051MZ7,2018-01-21,ST4000DM000,0,0.0,18557.0,0.0,1.0,32277.0,19.0,8.0,8.0,39138018640.0,74761181486.0
Z3051MZ7,2018-01-22,ST4000DM000,0,0.0,18581.0,0.0,1.0,32277.0,19.0,8.0,8.0,39163733184.0,74917793013.0
Z3051MZ7,2018-01-23,ST4000DM000,0,0.0,18605.0,0.0,1.0,32277.0,20.0,8.0,8.0,39183593824.0,75114456740.0
Z3051MZ7,2018-01-24,ST4000DM000,0,0.0,18637.0,0.0,1.0,32277.0,20.0,8.0,8.0,39214056224.0,75338868273.0
Z3051MZ7,2018-01-25,ST4000DM000,0,0.0,18653.0,0.0,1.0,32277.0,19.0,8.0,8.0,39230261608.0,75450013960.0
Z3051MZ7,2018-01-26,ST4000DM000,0,0.0,18677.0,0.0,1.0,32280.0,19.0,8.0,8.0,39235832488.0,75602594444.0
Z3051MZ7,2018-01-27,ST4000DM000,0,0.0,18701.0,0.0,1.0,32280.0,19.0,8.0,8.0,39239152128.0,75751938587.0
Z3051MZ7,2018-01-28,ST4000DM000,0,0.0,18725.0,0.0,1.0,32280.0,19.0,8.0,8.0,39245048808.0,75906019677.0
Z3051MZ7,2018-01-29,ST4000DM000,0,0.0,18749.0,0.0,1.0,32282.0,19.0,8.0,8.0,39250446720.0,76045118647.0
