serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305495P,2018-01-02,ST4000DM000,0,0.0,16448.0,0.0,0.0,3214.0,27.0,0.0,0.0,40478396720.0,81919471660.0
Z305495P,2018-01-03,ST4000DM000,0,0.0,16472.0,0.0,0.0,3214.0,27.0,0.0,0.0,40487974472.0,82058553289.0
Z305495P,2018-01-04,ST4000DM000,0,0.0,16484.0,0.0,0.0,3214.0,27.0,0.0,0.0,40493996680.0,82139479680.0
Z305495P,2018-01-05,ST4000DM000,0,0.0,16512.0,0.0,0.0,3216.0,27.0,0.0,0.0,40514394448.0,82322821243.0
Z305495P,2018-01-06,ST4000DM000,0,0.0,16536.0,0.0,0.0,3216.0,27.0,0.0,0.0,40541895264.0,82489199349.0
Z305495P,2018-01-07,ST4000DM000,0,0.0,16560.0,0.0,0.0,3216.0,27.0,0.0,0.0,40563115416.0,82648870060.0
Z305495P,2018-01-08,ST4000DM000,0,0.0,16584.0,0.0,0.0,3216.0,27.0,0.0,0.0,40573490136.0,82802974812.0
Z305495P,2018-01-09,ST4000DM000,0,0.0,16608.0,0.0,0.0,3216.0,27.0,0.0,0.0,40578238312.0,82992514476.0
Z305495P,2018-01-10,ST4000DM000,0,0.0,16632.0,0.0,0.0,3216.0,27.0,0.0,0.0,40583318272.0,83185596954.0
Z305495P,2018-01-11,ST4000DM000,0,0.0,16654.0,0.0,0.0,3216.0,27.0,0.0,0.0,40585661016.0,83334084376.0
Z305495P,2018-01-12,ST4000DM000,0,0.0,16678.0,0.0,0.0,3219.0,27.0,0.0,0.0,40588921704.0,83517798357.0
Z305495P,2018-01-13,ST4000DM000,0,0.0,16702.0,0.0,0.0,3219.0,27.0,0.0,0.0,40593483368.0,83722880830.0
Z305495P,2018-01-14,ST4000DM000,0,0.0,16726.0,0.0,0.0,3219.0,27.0,0.0,0.0,40596141304.0,83886925626.0
Z305495P,2018-01-15,ST4000DM000,0,0.0,16750.0,0.0,0.0,3219.0,27.0,0.0,0.0,40603773576.0,84062399725.0
Z305495P,2018-01-16,ST4000DM000,0,0.0,16774.0,0.0,0.0,3219.0,28.0,0.0,0.0,40607491856.0,84225870177.0
Z305495P,2018-01-17,ST4000DM000,0,0.0,16798.0,0.0,0.0,3219.0,26.0,0.0,0.0,40612951584.0,84240480332.0
Z305495P,2018-01-18,ST4000DM000,0,0.0,16825.0,0.0,0.0,3219.0,26.0,0.0,0.0,40630090600.0,84253996889.0
Z305495P,2018-01-19,ST4000DM000,0,0.0,16849.0,0.0,0.0,3221.0,26.0,0.0,0.0,40657067432.0,84292402476.0
Z305495P,2018-01-20,ST4000DM000,0,0.0,16873.0,0.0,0.0,3221.0,27.0,0.0,0.0,40673690592.0,84505959388.0
Z305495P,2018-01-21,ST4000DM000,0,0.0,16897.0,0.0,0.0,3221.0,27.0,0.0,0.0,40682870496.0,84677259506.0
Z305495P,2018-01-22,ST4000DM000,0,0.0,16921.0,0.0,0.0,3221.0,27.0,0.0,0.0,40696622784.0,84843638420.0
Z305495P,2018-01-23,ST4000DM000,0,0.0,16945.0,0.0,0.0,3221.0,26.0,0.0,0.0,40708822120.0,85014325341.0
Z305495P,2018-01-24,ST4000DM000,0,0.0,16977.0,0.0,0.0,3221.0,27.0,0.0,0.0,40732670944.0,85220080749.0
Z305495P,2018-01-25,ST4000DM000,0,0.0,16993.0,0.0,0.0,3221.0,26.0,0.0,0.0,40747161936.0,85330141148.0
Z305495P,2018-01-26,ST4000DM000,0,0.0,17017.0,0.0,0.0,3223.0,27.0,0.0,0.0,40766156256.0,85515080345.0
Z305495P,2018-01-27,ST4000DM000,0,0.0,17041.0,0.0,0.0,3223.0,27.0,0.0,0.0,40782232600.0,85692303320.0
Z305495P,2018-01-28,ST4000DM000,0,0.0,17065.0,0.0,0.0,3223.0,27.0,0.0,0.0,40797516656.0,85868341424.0
Z305495P,2018-01-29,ST4000DM000,0,0.0,17089.0,0.0,0.0,3223.0,26.0,0.0,0.0,40816278712.0,86004439646.0
Z305495P,2018-01-30,ST4000DM000,0,0.0,17110.0,0.0,0.0,3223.0,27.0,0.0,0.0,40833091216.0,86168242713.0
Z305495P,2018-01-31,ST4000DM000,0,0.0,17134.0,0.0,0.0,3225.0,27.0,0.0,0.0,40853061880.0,86352101846.0
Z305495P,2018-02-01,ST4000DM000,0,0.0,17158.0,0.0,0.0,3225.0,27.0,0.0,0.0,40866216072.0,86520253627.0
Z305495P,2018-02-02,ST4000DM000,0,0.0,17182.0,0.0,0.0,3225.0,27.0,0.0,0.0,40890907336.0,86685443106.0
Z305495P,2018-02-03,ST4000DM000,0,0.0,17205.0,0.0,0.0,3225.0,27.0,0.0,0.0,40908048160.0,86804023746.0
Z305495P,2018-02-04,ST4000DM000,0,0.0,17238.0,0.0,0.0,3225.0,27.0,0.0,0.0,40928875736.0,87065096742.0
Z305495P,2018-02-05,ST4000DM000,0,0.0,17261.0,0.0,0.0,3225.0,27.0,0.0,0.0,40944567064.0,87202156401.0
Z305495P,2018-02-06,ST4000DM000,0,0.0,17286.0,0.0,0.0,3225.0,27.0,0.0,0.0,40961924032.0,87374242601.0
Z305495P,2018-02-07,ST4000DM000,0,0.0,17310.0,0.0,0.0,3225.0,27.0,0.0,0.0,40974063568.0,87549051414.0
Z305495P,2018-02-08,ST4000DM000,0,0.0,17336.0,0.0,0.0,3228.0,27.0,0.0,0.0,40992245304.0,87726219353.0
Z305495P,2018-02-09,ST4000DM000,0,0.0,17360.0,0.0,0.0,3228.0,27.0,0.0,0.0,41004845224.0,87889180729.0
Z305495P,2018-02-10,ST4000DM000,0,0.0,17384.0,0.0,0.0,3228.0,27.0,0.0,0.0,41017936720.0,88051747391.0
Z305495P,2018-02-11,ST4000DM000,0,0.0,17408.0,0.0,0.0,3228.0,32.0,0.0,0.0,41044295704.0,88209415180.0
Z305495P,2018-02-12,ST4000DM000,0,0.0,17432.0,0.0,0.0,3228.0,28.0,0.0,0.0,41058389416.0,88369509515.0
Z305495P,2018-02-13,ST4000DM000,0,0.0,17456.0,0.0,0.0,3228.0,28.0,0.0,0.0,41085466104.0,88520595217.0
Z305495P,2018-02-14,ST4000DM000,0,0.0,17480.0,0.0,0.0,3228.0,28.0,0.0,0.0,41101293128.0,88688122324.0
Z305495P,2018-02-15,ST4000DM000,0,0.0,17504.0,0.0,0.0,3228.0,28.0,0.0,0.0,41117987424.0,88795387123.0
Z305495P,2018-02-16,ST4000DM000,0,0.0,17528.0,0.0,0.0,3228.0,28.0,0.0,0.0,41136291176.0,88973477420.0
Z305495P,2018-02-17,ST4000DM000,0,0.0,17552.0,0.0,0.0,3228.0,27.0,0.0,0.0,41149658368.0,89151697244.0
Z305495P,2018-02-18,ST4000DM000,0,0.0,17576.0,0.0,0.0,3228.0,27.0,0.0,0.0,41164569168.0,89275926438.0
Z305495P,2018-02-19,ST4000DM000,0,0.0,17600.0,0.0,0.0,3228.0,27.0,0.0,0.0,41175990536.0,89383828054.0
Z305495P,2018-02-20,ST4000DM000,0,0.0,17624.0,0.0,0.0,3228.0,28.0,0.0,0.0,41189714896.0,89536357294.0
Z305495P,2018-02-21,ST4000DM000,0,0.0,17648.0,0.0,0.0,3228.0,27.0,0.0,0.0,41211685696.0,89680229393.0
Z305495P,2018-02-22,ST4000DM000,0,0.0,17671.0,0.0,0.0,3229.0,29.0,0.0,0.0,41229757488.0,89826124677.0
Z305495P,2018-02-23,ST4000DM000,0,0.0,17695.0,0.0,0.0,3229.0,30.0,0.0,0.0,41255548392.0,89970841836.0
