serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z30581N5,2018-01-02,ST4000DM000,0,0.0,17260.0,0.0,0.0,8885.0,24.0,0.0,0.0,40468833160.0,70974050590.0
Z30581N5,2018-01-03,ST4000DM000,0,0.0,17285.0,0.0,0.0,8885.0,26.0,0.0,0.0,40497708536.0,71133291982.0
Z30581N5,2018-01-04,ST4000DM000,0,0.0,17301.0,0.0,0.0,8885.0,26.0,0.0,0.0,40511731840.0,71244052004.0
Z30581N5,2018-01-05,ST4000DM000,0,0.0,17312.0,0.0,0.0,8885.0,28.0,0.0,0.0,40522600016.0,71310029615.0
Z30581N5,2018-01-06,ST4000DM000,0,0.0,17349.0,0.0,0.0,8885.0,22.0,0.0,0.0,40560983096.0,71457543296.0
Z30581N5,2018-01-07,ST4000DM000,0,0.0,17373.0,0.0,0.0,8885.0,22.0,0.0,0.0,40592928392.0,71583553224.0
Z30581N5,2018-01-08,ST4000DM000,0,0.0,17396.0,0.0,0.0,8885.0,23.0,0.0,0.0,40619329768.0,71703940641.0
Z30581N5,2018-01-09,ST4000DM000,0,0.0,17421.0,0.0,0.0,8885.0,22.0,0.0,0.0,40641664016.0,71812010535.0
Z30581N5,2018-01-10,ST4000DM000,0,0.0,17448.0,0.0,0.0,8885.0,23.0,0.0,0.0,40670700576.0,71943080561.0
Z30581N5,2018-01-11,ST4000DM000,0,0.0,17466.0,0.0,0.0,8886.0,23.0,0.0,0.0,40674319040.0,72014396684.0
Z30581N5,2018-01-12,ST4000DM000,0,0.0,17490.0,0.0,0.0,8887.0,22.0,0.0,0.0,40685015760.0,72137069717.0
Z30581N5,2018-01-13,ST4000DM000,0,0.0,17527.0,0.0,0.0,8887.0,22.0,0.0,0.0,40699286392.0,72336952946.0
Z30581N5,2018-01-14,ST4000DM000,0,0.0,17550.0,0.0,0.0,8887.0,22.0,0.0,0.0,40702921832.0,72414506308.0
Z30581N5,2018-01-15,ST4000DM000,0,0.0,17574.0,0.0,0.0,8887.0,23.0,0.0,0.0,40708060080.0,72563109980.0
Z30581N5,2018-01-16,ST4000DM000,0,0.0,17598.0,0.0,0.0,8887.0,22.0,0.0,0.0,40714356152.0,72722416071.0
Z30581N5,2018-01-17,ST4000DM000,0,0.0,17622.0,0.0,0.0,8887.0,22.0,0.0,0.0,40723353640.0,72802675309.0
Z30581N5,2018-01-18,ST4000DM000,0,0.0,17637.0,0.0,0.0,8887.0,22.0,0.0,0.0,40728143920.0,72838060253.0
Z30581N5,2018-01-19,ST4000DM000,0,0.0,17661.0,0.0,0.0,8891.0,22.0,0.0,0.0,40741592632.0,72956276280.0
Z30581N5,2018-01-21,ST4000DM000,0,0.0,17710.0,0.0,0.0,8891.0,22.0,0.0,0.0,40763402016.0,73256189301.0
Z30581N5,2018-01-22,ST4000DM000,0,0.0,17733.0,0.0,0.0,8891.0,21.0,0.0,0.0,40772884344.0,73406462220.0
Z30581N5,2018-01-23,ST4000DM000,0,0.0,17758.0,0.0,0.0,8891.0,22.0,8.0,8.0,40786020480.0,73541165920.0
Z30581N5,2018-01-24,ST4000DM000,0,0.0,17789.0,0.0,0.0,8891.0,22.0,8.0,8.0,40804445616.0,73695964704.0
Z30581N5,2018-01-25,ST4000DM000,0,0.0,17806.0,0.0,0.0,8891.0,22.0,8.0,8.0,40814544288.0,73801929558.0
