serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z3059XNZ,2018-01-02,ST4000DM000,0,0.0,18123.0,0.0,0.0,34174.0,27.0,0.0,0.0,39625813840.0,57894244737.0
Z3059XNZ,2018-01-03,ST4000DM000,0,0.0,18147.0,0.0,0.0,34174.0,27.0,0.0,0.0,39649941448.0,57990070492.0
Z3059XNZ,2018-01-04,ST4000DM000,0,0.0,18163.0,0.0,0.0,34174.0,26.0,0.0,0.0,39667054064.0,58083916404.0
Z3059XNZ,2018-01-05,ST4000DM000,0,0.0,18187.0,0.0,0.0,34176.0,26.0,0.0,0.0,39694511296.0,58201244422.0
Z3059XNZ,2018-01-06,ST4000DM000,0,0.0,18211.0,0.0,0.0,34176.0,23.0,0.0,0.0,39710449576.0,58317707063.0
Z3059XNZ,2018-01-07,ST4000DM000,0,0.0,18224.0,0.0,0.0,34176.0,23.0,0.0,0.0,39727528360.0,58373675851.0
Z3059XNZ,2018-01-08,ST4000DM000,0,0.0,18259.0,0.0,0.0,34176.0,23.0,0.0,0.0,39772877120.0,58577371959.0
Z3059XNZ,2018-01-09,ST4000DM000,0,0.0,18284.0,0.0,0.0,34176.0,23.0,0.0,0.0,39786053064.0,58727834986.0
Z3059XNZ,2018-01-10,ST4000DM000,0,0.0,18311.0,0.0,0.0,34176.0,23.0,0.0,0.0,39795441352.0,58876421899.0
Z3059XNZ,2018-01-11,ST4000DM000,0,0.0,18341.0,0.0,0.0,34183.0,23.0,0.0,0.0,39800453704.0,58985323329.0
Z3059XNZ,2018-01-12,ST4000DM000,0,0.0,18365.0,0.0,0.0,34183.0,24.0,0.0,0.0,39808429360.0,59096657187.0
Z3059XNZ,2018-01-13,ST4000DM000,0,0.0,18389.0,0.0,0.0,34183.0,24.0,0.0,0.0,39813127296.0,59221910639.0
Z3059XNZ,2018-01-14,ST4000DM000,0,0.0,18413.0,0.0,0.0,34183.0,23.0,0.0,0.0,39817491384.0,59318894556.0
Z3059XNZ,2018-01-15,ST4000DM000,0,0.0,18437.0,0.0,0.0,34183.0,25.0,0.0,0.0,39824188288.0,59465262867.0
Z3059XNZ,2018-01-16,ST4000DM000,0,0.0,18461.0,0.0,0.0,34183.0,24.0,0.0,0.0,39833644544.0,59566889406.0
Z3059XNZ,2018-01-17,ST4000DM000,0,0.0,18485.0,0.0,0.0,34183.0,23.0,0.0,0.0,39840497808.0,59677050637.0
Z3059XNZ,2018-01-18,ST4000DM000,0,0.0,18500.0,0.0,0.0,34183.0,23.0,0.0,0.0,39845510264.0,59731837759.0
Z3059XNZ,2018-01-19,ST4000DM000,0,0.0,18524.0,0.0,0.0,34186.0,23.0,0.0,0.0,39857022432.0,59830664601.0
Z3059XNZ,2018-01-20,ST4000DM000,0,0.0,18548.0,0.0,0.0,34186.0,23.0,0.0,0.0,39863146672.0,59955111259.0
Z3059XNZ,2018-01-21,ST4000DM000,0,0.0,18572.0,0.0,0.0,34186.0,23.0,0.0,0.0,39870153656.0,60055649021.0
Z3059XNZ,2018-01-22,ST4000DM000,0,0.0,18596.0,0.0,0.0,34186.0,22.0,0.0,0.0,39875456600.0,60192175671.0
Z3059XNZ,2018-01-23,ST4000DM000,0,0.0,18620.0,0.0,0.0,34186.0,22.0,0.0,0.0,39884477568.0,60290756981.0
Z3059XNZ,2018-01-24,ST4000DM000,0,0.0,18652.0,0.0,0.0,34186.0,22.0,0.0,0.0,39896336976.0,60373433015.0
Z3059XNZ,2018-01-25,ST4000DM000,0,0.0,18668.0,0.0,0.0,34186.0,22.0,0.0,0.0,39901117144.0,60402420473.0
Z3059XNZ,2018-01-26,ST4000DM000,0,0.0,18693.0,0.0,0.0,34189.0,23.0,0.0,0.0,39910375496.0,60471949055.0
Z3059XNZ,2018-01-27,ST4000DM000,0,0.0,18717.0,0.0,0.0,34189.0,22.0,0.0,0.0,39914773112.0,60570206196.0
Z3059XNZ,2018-01-28,ST4000DM000,0,0.0,18740.0,0.0,0.0,34189.0,22.0,0.0,0.0,39920339480.0,60701285427.0
Z3059XNZ,2018-01-29,ST4000DM000,0,0.0,18764.0,0.0,0.0,34189.0,22.0,0.0,0.0,39925999920.0,60830327987.0
Z3059XNZ,2018-01-30,ST4000DM000,0,0.0,18797.0,0.0,0.0,34191.0,22.0,0.0,0.0,39938244736.0,61010491263.0
Z3059XNZ,2018-01-31,ST4000DM000,0,0.0,18821.0,0.0,0.0,34191.0,23.0,0.0,0.0,39942869144.0,61132838608.0
Z3059XNZ,2018-02-01,ST4000DM000,0,0.0,18845.0,0.0,0.0,34191.0,23.0,0.0,0.0,39950307976.0,61260713978.0
Z3059XNZ,2018-02-02,ST4000DM000,0,0.0,18869.0,0.0,0.0,34191.0,23.0,0.0,0.0,39957532736.0,61408937810.0
Z3059XNZ,2018-02-03,ST4000DM000,0,0.0,18893.0,0.0,0.0,34191.0,23.0,0.0,0.0,39961142152.0,61579431197.0
Z3059XNZ,2018-02-04,ST4000DM000,0,0.0,18913.0,0.0,0.0,34191.0,23.0,0.0,0.0,39964192800.0,61713363395.0
Z3059XNZ,2018-02-05,ST4000DM000,0,0.0,18937.0,0.0,0.0,34191.0,23.0,0.0,0.0,39967914200.0,61886277467.0
Z3059XNZ,2018-02-06,ST4000DM000,0,0.0,18961.0,0.0,0.0,34191.0,23.0,0.0,0.0,39975179456.0,62075622055.0
Z3059XNZ,2018-02-07,ST4000DM000,0,0.0,18985.0,0.0,0.0,34191.0,22.0,0.0,0.0,39979696448.0,62242026007.0
Z3059XNZ,2018-02-08,ST4000DM000,0,0.0,19010.0,0.0,0.0,34196.0,22.0,0.0,0.0,39987216936.0,62401370189.0
Z3059XNZ,2018-02-09,ST4000DM000,0,0.0,19034.0,0.0,0.0,34202.0,23.0,0.0,0.0,39992957456.0,62548537855.0
Z3059XNZ,2018-02-10,ST4000DM000,0,0.0,19058.0,0.0,0.0,34202.0,22.0,0.0,0.0,39996581144.0,62731002857.0
Z3059XNZ,2018-02-11,ST4000DM000,0,0.0,19083.0,0.0,0.0,34202.0,23.0,0.0,0.0,39999322048.0,62902217201.0
Z3059XNZ,2018-02-12,ST4000DM000,0,0.0,19107.0,0.0,0.0,34202.0,23.0,0.0,0.0,40002810208.0,63065576905.0
Z3059XNZ,2018-02-13,ST4000DM000,0,0.0,19130.0,0.0,0.0,34202.0,23.0,0.0,0.0,40008004088.0,63250601629.0
Z3059XNZ,2018-02-14,ST4000DM000,0,0.0,19154.0,0.0,0.0,34202.0,23.0,0.0,0.0,40010345288.0,63411805484.0
Z3059XNZ,2018-02-15,ST4000DM000,0,0.0,19178.0,0.0,0.0,34202.0,22.0,0.0,0.0,40013295432.0,63590822694.0
Z3059XNZ,2018-02-16,ST4000DM000,0,0.0,19202.0,0.0,0.0,34204.0,23.0,0.0,0.0,40017554232.0,63734650322.0
Z3059XNZ,2018-02-17,ST4000DM000,0,0.0,19226.0,0.0,0.0,34204.0,23.0,0.0,0.0,40019784944.0,63843384114.0
Z3059XNZ,2018-02-18,ST4000DM000,0,0.0,19250.0,0.0,0.0,34204.0,23.0,0.0,0.0,40023311744.0,64018916583.0
Z3059XNZ,2018-02-19,ST4000DM000,0,0.0,19274.0,0.0,0.0,34204.0,23.0,0.0,0.0,40029080200.0,64170700806.0
