serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305APKA,2018-01-02,ST4000DM000,0,0.0,18262.0,0.0,0.0,138403.0,20.0,0.0,0.0,24303493368.0,72324190749.0
Z305APKA,2018-01-03,ST4000DM000,0,0.0,18286.0,0.0,0.0,138403.0,19.0,0.0,0.0,24307077056.0,72512294352.0
Z305APKA,2018-01-04,ST4000DM000,0,0.0,18298.0,0.0,0.0,138403.0,19.0,0.0,0.0,24309588168.0,72630406152.0
Z305APKA,2018-01-05,ST4000DM000,0,0.0,18327.0,0.0,0.0,138406.0,19.0,0.0,0.0,24324726992.0,72852949685.0
Z305APKA,2018-01-06,ST4000DM000,0,0.0,18351.0,0.0,0.0,138406.0,18.0,0.0,0.0,24346185928.0,73020199810.0
Z305APKA,2018-01-07,ST4000DM000,0,0.0,18374.0,0.0,0.0,138406.0,19.0,0.0,0.0,24366070000.0,73168186439.0
Z305APKA,2018-01-08,ST4000DM000,0,0.0,18398.0,0.0,0.0,138406.0,19.0,0.0,0.0,24381211784.0,73366593190.0
Z305APKA,2018-01-09,ST4000DM000,0,0.0,18422.0,0.0,0.0,138406.0,19.0,0.0,0.0,24387354816.0,73563309937.0
Z305APKA,2018-01-10,ST4000DM000,0,0.0,18446.0,0.0,0.0,138406.0,18.0,0.0,0.0,24391278528.0,73713929370.0
Z305APKA,2018-01-11,ST4000DM000,0,0.0,18480.0,0.0,0.0,138409.0,19.0,0.0,0.0,24411203696.0,74020071698.0
Z305APKA,2018-01-12,ST4000DM000,0,0.0,18504.0,0.0,0.0,138409.0,19.0,0.0,0.0,24423986896.0,74187229097.0
Z305APKA,2018-01-13,ST4000DM000,0,0.0,18528.0,0.0,0.0,138410.0,20.0,0.0,0.0,24439043392.0,74309410713.0
Z305APKA,2018-01-14,ST4000DM000,0,0.0,18552.0,0.0,0.0,138410.0,21.0,0.0,0.0,24451748616.0,74494525778.0
Z305APKA,2018-01-15,ST4000DM000,0,0.0,18576.0,0.0,0.0,138410.0,21.0,0.0,0.0,24463334272.0,74690807555.0
Z305APKA,2018-01-16,ST4000DM000,0,0.0,18599.0,0.0,0.0,138410.0,20.0,0.0,0.0,24475841800.0,74875625717.0
Z305APKA,2018-01-17,ST4000DM000,0,0.0,18623.0,0.0,0.0,138410.0,19.0,0.0,0.0,24494010800.0,75072962078.0
Z305APKA,2018-01-18,ST4000DM000,0,0.0,18639.0,0.0,0.0,138410.0,19.0,0.0,0.0,24517149896.0,75215613683.0
Z305APKA,2018-01-19,ST4000DM000,0,0.0,18663.0,0.0,0.0,138412.0,20.0,0.0,0.0,24554202424.0,75406472692.0
Z305APKA,2018-01-20,ST4000DM000,0,0.0,18687.0,0.0,0.0,138412.0,19.0,0.0,0.0,24580286880.0,75609328123.0
Z305APKA,2018-01-21,ST4000DM000,0,0.0,18711.0,0.0,0.0,138412.0,19.0,0.0,0.0,24635860856.0,75753836296.0
Z305APKA,2018-01-22,ST4000DM000,0,0.0,18734.0,0.0,0.0,138412.0,18.0,0.0,0.0,24666555592.0,75911082951.0
Z305APKA,2018-01-23,ST4000DM000,0,0.0,18759.0,0.0,0.0,138412.0,19.0,0.0,0.0,24715459688.0,76102825343.0
Z305APKA,2018-01-24,ST4000DM000,0,0.0,18790.0,0.0,0.0,138412.0,18.0,0.0,0.0,24764266008.0,76318254553.0
Z305APKA,2018-01-25,ST4000DM000,0,0.0,18807.0,0.0,0.0,138412.0,18.0,0.0,0.0,24794761808.0,76434831694.0
Z305APKA,2018-01-26,ST4000DM000,0,0.0,18831.0,0.0,0.0,138414.0,18.0,0.0,0.0,24839839256.0,76602464306.0
Z305APKA,2018-01-27,ST4000DM000,0,0.0,18855.0,0.0,0.0,138414.0,18.0,0.0,0.0,24868943496.0,76748508004.0
Z305APKA,2018-01-28,ST4000DM000,0,0.0,18880.0,0.0,0.0,138414.0,18.0,0.0,0.0,24913346408.0,76888164157.0
Z305APKA,2018-01-29,ST4000DM000,0,0.0,18903.0,0.0,0.0,138414.0,18.0,0.0,0.0,24967528640.0,77028722015.0
Z305APKA,2018-01-30,ST4000DM000,0,0.0,18927.0,0.0,0.0,138414.0,19.0,0.0,0.0,25019088176.0,77175517777.0
Z305APKA,2018-01-31,ST4000DM000,0,0.0,18952.0,0.0,0.0,138414.0,19.0,0.0,0.0,25070244704.0,77356282008.0
Z305APKA,2018-02-01,ST4000DM000,0,0.0,18975.0,0.0,0.0,138414.0,18.0,0.0,0.0,25128994856.0,77561968244.0
Z305APKA,2018-02-02,ST4000DM000,0,0.0,19000.0,0.0,0.0,138414.0,18.0,0.0,0.0,25183754080.0,77753683677.0
Z305APKA,2018-02-03,ST4000DM000,0,0.0,19024.0,0.0,0.0,138414.0,19.0,0.0,0.0,25218320600.0,77950430172.0
Z305APKA,2018-02-04,ST4000DM000,0,0.0,19051.0,0.0,0.0,138414.0,18.0,0.0,0.0,25262084992.0,78129106657.0
Z305APKA,2018-02-05,ST4000DM000,0,0.0,19075.0,0.0,0.0,138414.0,19.0,0.0,0.0,25328109328.0,78326850527.0
