serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305AT07,2018-01-02,ST4000DM000,0,0.0,18107.0,2.0,0.0,33053.0,21.0,0.0,0.0,39109014648.0,79175562535.0
Z305AT07,2018-01-03,ST4000DM000,0,0.0,18132.0,2.0,0.0,33053.0,20.0,0.0,0.0,39134900272.0,79307038850.0
Z305AT07,2018-01-04,ST4000DM000,0,0.0,18147.0,2.0,0.0,33053.0,20.0,0.0,0.0,39155515416.0,79420616702.0
Z305AT07,2018-01-05,ST4000DM000,0,0.0,18172.0,2.0,0.0,33055.0,20.0,0.0,0.0,39183311832.0,79570050438.0
Z305AT07,2018-01-06,ST4000DM000,0,0.0,18196.0,2.0,0.0,33055.0,19.0,0.0,0.0,39220050880.0,79739760616.0
Z305AT07,2018-01-07,ST4000DM000,0,0.0,18220.0,2.0,0.0,33055.0,20.0,0.0,0.0,39249664056.0,79919358093.0
Z305AT07,2018-01-08,ST4000DM000,0,0.0,18244.0,2.0,0.0,33055.0,20.0,0.0,0.0,39267545440.0,80120688337.0
Z305AT07,2018-01-09,ST4000DM000,0,0.0,18268.0,2.0,0.0,33055.0,20.0,0.0,0.0,39285621096.0,80307049366.0
Z305AT07,2018-01-10,ST4000DM000,0,0.0,18294.0,2.0,0.0,33055.0,21.0,0.0,0.0,39297497144.0,80476633038.0
Z305AT07,2018-01-11,ST4000DM000,0,0.0,18306.0,2.0,0.0,33056.0,21.0,0.0,0.0,39299502792.0,80563812317.0
Z305AT07,2018-01-12,ST4000DM000,0,0.0,18337.0,2.0,0.0,33059.0,19.0,0.0,0.0,39307375688.0,80783490124.0
Z305AT07,2018-01-13,ST4000DM000,0,0.0,18362.0,2.0,0.0,33059.0,19.0,0.0,0.0,39314333312.0,80974308883.0
Z305AT07,2018-01-14,ST4000DM000,0,0.0,18386.0,2.0,0.0,33059.0,19.0,0.0,0.0,39319234152.0,81164562457.0
Z305AT07,2018-01-15,ST4000DM000,0,0.0,18398.0,2.0,0.0,33059.0,21.0,0.0,0.0,39322402504.0,81262179908.0
Z305AT07,2018-01-16,ST4000DM000,0,0.0,18433.0,2.0,0.0,33059.0,20.0,0.0,0.0,39329921752.0,81549383931.0
Z305AT07,2018-01-17,ST4000DM000,0,0.0,18446.0,2.0,0.0,33059.0,19.0,0.0,0.0,39336286736.0,81647435314.0
