serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305BBTD,2018-01-02,ST4000DM000,0,0.0,16923.0,0.0,0.0,2687.0,37.0,0.0,0.0,38654734072.0,50571965582.0
Z305BBTD,2018-01-03,ST4000DM000,0,0.0,16947.0,0.0,0.0,2687.0,37.0,0.0,0.0,38687001808.0,50709034878.0
Z305BBTD,2018-01-04,ST4000DM000,0,0.0,16975.0,0.0,0.0,2687.0,37.0,0.0,0.0,38748416464.0,50906622072.0
Z305BBTD,2018-01-05,ST4000DM000,0,0.0,16987.0,0.0,0.0,2687.0,37.0,0.0,0.0,38772972944.0,50970329661.0
Z305BBTD,2018-01-06,ST4000DM000,0,0.0,17023.0,0.0,0.0,2687.0,34.0,0.0,0.0,38840762016.0,51171156469.0
Z305BBTD,2018-01-07,ST4000DM000,0,0.0,17047.0,0.0,0.0,2687.0,35.0,0.0,0.0,38879737792.0,51325709393.0
Z305BBTD,2018-01-08,ST4000DM000,0,0.0,17071.0,0.0,0.0,2687.0,35.0,0.0,0.0,38915568160.0,51499228821.0
Z305BBTD,2018-01-09,ST4000DM000,0,0.0,17095.0,0.0,0.0,2687.0,34.0,0.0,0.0,38940710448.0,51536193708.0
Z305BBTD,2018-01-10,ST4000DM000,0,0.0,17112.0,0.0,0.0,2687.0,35.0,0.0,0.0,38963475680.0,51563784157.0
Z305BBTD,2018-01-11,ST4000DM000,0,0.0,17141.0,0.0,0.0,2691.0,35.0,0.0,0.0,38971983744.0,51691009182.0
Z305BBTD,2018-01-12,ST4000DM000,0,0.0,17165.0,0.0,0.0,2691.0,34.0,0.0,0.0,38981690344.0,51716112926.0
Z305BBTD,2018-01-13,ST4000DM000,0,0.0,17189.0,0.0,0.0,2691.0,35.0,0.0,0.0,38987315816.0,51818556847.0
Z305BBTD,2018-01-14,ST4000DM000,0,0.0,17213.0,0.0,0.0,2691.0,34.0,0.0,0.0,38989103688.0,51881832711.0
Z305BBTD,2018-01-15,ST4000DM000,0,0.0,17224.0,0.0,0.0,2691.0,35.0,0.0,0.0,38990668336.0,51920632568.0
Z305BBTD,2018-01-16,ST4000DM000,0,0.0,17261.0,0.0,0.0,2691.0,35.0,0.0,0.0,38995247376.0,52160193621.0
Z305BBTD,2018-01-17,ST4000DM000,0,0.0,17284.0,0.0,0.0,2691.0,34.0,0.0,0.0,38999976328.0,52280156280.0
Z305BBTD,2018-01-18,ST4000DM000,0,0.0,17312.0,0.0,0.0,2694.0,34.0,0.0,0.0,39006659048.0,52385729771.0
Z305BBTD,2018-01-19,ST4000DM000,0,0.0,17336.0,0.0,0.0,2694.0,34.0,0.0,0.0,39011051008.0,52457374644.0
Z305BBTD,2018-01-20,ST4000DM000,0,0.0,17359.0,0.0,0.0,2694.0,34.0,0.0,0.0,39019592896.0,52534639410.0
Z305BBTD,2018-01-21,ST4000DM000,0,0.0,17383.0,0.0,0.0,2694.0,35.0,0.0,0.0,39026013360.0,52637587629.0
Z305BBTD,2018-01-22,ST4000DM000,0,0.0,17407.0,0.0,0.0,2694.0,34.0,0.0,0.0,39032158848.0,52775995324.0
Z305BBTD,2018-01-23,ST4000DM000,0,0.0,17432.0,0.0,0.0,2694.0,34.0,0.0,0.0,39042488472.0,52883593806.0
Z305BBTD,2018-01-24,ST4000DM000,0,0.0,17452.0,0.0,0.0,2694.0,34.0,0.0,0.0,39055612360.0,53021813763.0
Z305BBTD,2018-01-25,ST4000DM000,0,0.0,17468.0,0.0,0.0,2694.0,34.0,0.0,0.0,39061210208.0,53108588177.0
Z305BBTD,2018-01-26,ST4000DM000,0,0.0,17480.0,0.0,0.0,2697.0,36.0,0.0,0.0,39065144552.0,53182780692.0
Z305BBTD,2018-01-27,ST4000DM000,0,0.0,17516.0,0.0,0.0,2697.0,34.0,0.0,0.0,39082959760.0,53295138045.0
Z305BBTD,2018-01-28,ST4000DM000,0,0.0,17540.0,0.0,0.0,2697.0,34.0,0.0,0.0,39086849272.0,53409466197.0
Z305BBTD,2018-01-29,ST4000DM000,0,0.0,17564.0,0.0,0.0,2697.0,34.0,0.0,0.0,39090519776.0,53530864201.0
Z305BBTD,2018-01-30,ST4000DM000,0,0.0,17597.0,0.0,0.0,2699.0,34.0,0.0,0.0,39099371304.0,53677460918.0
Z305BBTD,2018-01-31,ST4000DM000,0,0.0,17621.0,0.0,0.0,2699.0,36.0,0.0,0.0,39104643000.0,53810403251.0
Z305BBTD,2018-02-01,ST4000DM000,0,0.0,17645.0,0.0,0.0,2699.0,35.0,0.0,0.0,39110517880.0,53949481790.0
Z305BBTD,2018-02-02,ST4000DM000,0,0.0,17669.0,0.0,0.0,2699.0,35.0,0.0,0.0,39117240296.0,54078118073.0
Z305BBTD,2018-02-03,ST4000DM000,0,0.0,17693.0,0.0,0.0,2699.0,34.0,0.0,0.0,39123195496.0,54210193369.0
Z305BBTD,2018-02-04,ST4000DM000,0,0.0,17717.0,0.0,0.0,2699.0,34.0,0.0,0.0,39126292464.0,54317224987.0
Z305BBTD,2018-02-05,ST4000DM000,0,0.0,17741.0,0.0,0.0,2699.0,35.0,0.0,0.0,39129492296.0,54391147475.0
Z305BBTD,2018-02-06,ST4000DM000,0,0.0,17765.0,0.0,0.0,2699.0,35.0,0.0,0.0,39132250696.0,54496303604.0
Z305BBTD,2018-02-07,ST4000DM000,0,0.0,17789.0,0.0,0.0,2699.0,35.0,0.0,0.0,39136833344.0,54616222512.0
Z305BBTD,2018-02-08,ST4000DM000,0,0.0,17810.0,0.0,0.0,2700.0,34.0,0.0,0.0,39140304352.0,54739112101.0
Z305BBTD,2018-02-09,ST4000DM000,0,0.0,17834.0,0.0,0.0,2700.0,35.0,0.0,0.0,39141894552.0,54873416494.0
Z305BBTD,2018-02-10,ST4000DM000,0,0.0,17858.0,0.0,0.0,2703.0,34.0,0.0,0.0,39145898488.0,54993944605.0
Z305BBTD,2018-02-11,ST4000DM000,0,0.0,17882.0,0.0,0.0,2703.0,34.0,0.0,0.0,39148222096.0,55094075422.0
Z305BBTD,2018-02-12,ST4000DM000,0,0.0,17906.0,0.0,0.0,2703.0,35.0,0.0,0.0,39155370592.0,55160726388.0
Z305BBTD,2018-02-13,ST4000DM000,0,0.0,17930.0,0.0,0.0,2703.0,35.0,0.0,0.0,39158357344.0,55245246427.0
Z305BBTD,2018-02-14,ST4000DM000,0,0.0,17954.0,0.0,0.0,2703.0,35.0,0.0,0.0,39163454144.0,55382130022.0
Z305BBTD,2018-02-15,ST4000DM000,0,0.0,17978.0,0.0,0.0,2703.0,34.0,0.0,0.0,39170377384.0,55588893140.0
Z305BBTD,2018-02-16,ST4000DM000,0,0.0,18002.0,0.0,0.0,2703.0,33.0,0.0,0.0,39174614920.0,55784886235.0
Z305BBTD,2018-02-17,ST4000DM000,0,0.0,18026.0,0.0,0.0,2703.0,34.0,0.0,0.0,39181631552.0,55948429600.0
Z305BBTD,2018-02-18,ST4000DM000,0,0.0,18050.0,0.0,0.0,2703.0,33.0,0.0,0.0,39186395712.0,56134980209.0
Z305BBTD,2018-02-19,ST4000DM000,0,0.0,18074.0,0.0,0.0,2703.0,34.0,0.0,0.0,39189345152.0,56335393402.0
Z305BBTD,2018-02-20,ST4000DM000,0,0.0,18098.0,0.0,0.0,2703.0,35.0,0.0,0.0,39191488416.0,56511221621.0
Z305BBTD,2018-02-21,ST4000DM000,0,0.0,18122.0,0.0,0.0,2703.0,34.0,0.0,0.0,39194190768.0,56701757383.0
Z305BBTD,2018-02-22,ST4000DM000,0,0.0,18146.0,0.0,0.0,2706.0,33.0,0.0,0.0,39198500240.0,56867410489.0
Z305BBTD,2018-02-23,ST4000DM000,0,0.0,18170.0,0.0,0.0,2706.0,34.0,0.0,0.0,39200447360.0,57042265469.0
Z305BBTD,2018-02-24,ST4000DM000,0,0.0,18194.0,0.0,0.0,2706.0,34.0,0.0,0.0,39207339504.0,57187517300.0
Z305BBTD,2018-02-25,ST4000DM000,0,0.0,18218.0,0.0,0.0,2706.0,34.0,0.0,0.0,39211788040.0,57384157369.0
Z305BBTD,2018-02-26,ST4000DM000,0,0.0,18241.0,0.0,0.0,2706.0,34.0,0.0,0.0,39216406720.0,57559348984.0
Z305BBTD,2018-02-27,ST4000DM000,0,0.0,18265.0,0.0,0.0,2706.0,35.0,0.0,0.0,39222006712.0,57748498758.0
Z305BBTD,2018-02-28,ST4000DM000,0,0.0,18290.0,0.0,0.0,2706.0,34.0,0.0,0.0,39226166328.0,57912212092.0
Z305BBTD,2018-03-01,ST4000DM000,0,0.0,18316.0,0.0,0.0,2709.0,34.0,0.0,0.0,39231813296.0,58102641220.0
Z305BBTD,2018-03-02,ST4000DM000,0,0.0,18340.0,0.0,0.0,2709.0,34.0,0.0,0.0,39233582256.0,58216934848.0
Z305BBTD,2018-03-03,ST4000DM000,0,0.0,18364.0,0.0,0.0,2709.0,34.0,0.0,0.0,39239110200.0,58346700494.0
Z305BBTD,2018-03-04,ST4000DM000,0,0.0,18388.0,0.0,0.0,2709.0,34.0,0.0,0.0,39252444688.0,58454687210.0
Z305BBTD,2018-03-05,ST4000DM000,0,0.0,18409.0,0.0,0.0,2709.0,34.0,0.0,0.0,39259439744.0,58565877806.0
Z305BBTD,2018-03-06,ST4000DM000,0,0.0,18433.0,0.0,0.0,2709.0,34.0,0.0,0.0,39268730152.0,58699061869.0
Z305BBTD,2018-03-07,ST4000DM000,0,0.0,18457.0,0.0,0.0,2709.0,34.0,0.0,0.0,39281421784.0,58878513385.0
Z305BBTD,2018-03-08,ST4000DM000,0,0.0,18482.0,0.0,0.0,2712.0,35.0,0.0,0.0,39291514752.0,58960575277.0
Z305BBTD,2018-03-09,ST4000DM000,0,0.0,18505.0,0.0,0.0,2712.0,34.0,0.0,0.0,39299869536.0,59132548983.0
Z305BBTD,2018-03-10,ST4000DM000,0,0.0,18529.0,0.0,0.0,2712.0,35.0,0.0,0.0,39314016912.0,59248859309.0
Z305BBTD,2018-03-11,ST4000DM000,0,0.0,18553.0,0.0,0.0,2712.0,34.0,0.0,0.0,39330807144.0,59401303537.0
Z305BBTD,2018-03-12,ST4000DM000,0,0.0,18578.0,0.0,0.0,2712.0,34.0,0.0,0.0,39340015712.0,59563026924.0
Z305BBTD,2018-03-13,ST4000DM000,0,0.0,18601.0,0.0,0.0,2712.0,34.0,0.0,0.0,39349769568.0,59697377540.0
Z305BBTD,2018-03-14,ST4000DM000,0,0.0,18625.0,0.0,0.0,2712.0,35.0,0.0,0.0,39359840120.0,59852943582.0
Z305BBTD,2018-03-15,ST4000DM000,0,0.0,18651.0,0.0,0.0,2716.0,34.0,0.0,0.0,39373502784.0,59988963374.0
Z305BBTD,2018-03-16,ST4000DM000,0,0.0,18675.0,0.0,0.0,2716.0,34.0,0.0,0.0,39384212576.0,60016733986.0
Z305BBTD,2018-03-17,ST4000DM000,0,0.0,18699.0,0.0,0.0,2716.0,35.0,0.0,0.0,39399546992.0,60130152400.0
Z305BBTD,2018-03-18,ST4000DM000,0,0.0,18723.0,0.0,0.0,2716.0,34.0,0.0,0.0,39406050544.0,60149178547.0
Z305BBTD,2018-03-19,ST4000DM000,0,0.0,18747.0,0.0,0.0,2716.0,34.0,0.0,0.0,39411759152.0,60212959017.0
Z305BBTD,2018-03-20,ST4000DM000,0,0.0,18771.0,0.0,0.0,2716.0,34.0,0.0,0.0,39420786560.0,60295955489.0
Z305BBTD,2018-03-21,ST4000DM000,0,0.0,18795.0,0.0,0.0,2716.0,34.0,0.0,0.0,39432380256.0,60398254570.0
Z305BBTD,2018-03-22,ST4000DM000,0,0.0,18819.0,0.0,0.0,2716.0,34.0,0.0,0.0,39446665592.0,60577154055.0
Z305BBTD,2018-03-23,ST4000DM000,0,0.0,18843.0,0.0,0.0,2716.0,34.0,0.0,0.0,39462377512.0,60676926336.0
Z305BBTD,2018-03-24,ST4000DM000,0,0.0,18867.0,0.0,0.0,2716.0,34.0,0.0,0.0,39479855400.0,60777492259.0
Z305BBTD,2018-03-25,ST4000DM000,0,0.0,18891.0,0.0,0.0,2716.0,34.0,0.0,0.0,39494123152.0,60847956874.0
