serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305CMA0,2018-01-02,ST4000DM000,0,0.0,16624.0,0.0,0.0,6990.0,30.0,0.0,0.0,35329793960.0,58012231469.0
Z305CMA0,2018-01-03,ST4000DM000,0,0.0,16657.0,1.0,0.0,6990.0,30.0,8.0,8.0,35364991112.0,58209995600.0
Z305CMA0,2018-01-04,ST4000DM000,0,0.0,16688.0,2.0,0.0,7323.0,30.0,0.0,0.0,35385083952.0,62734538945.0
Z305CMA0,2018-01-05,ST4000DM000,0,0.0,16700.0,2.0,0.0,7323.0,30.0,0.0,0.0,35400887472.0,62843336025.0
Z305CMA0,2018-01-06,ST4000DM000,0,0.0,16736.0,2.0,0.0,7323.0,31.0,0.0,0.0,35466026232.0,63104704500.0
Z305CMA0,2018-01-07,ST4000DM000,0,0.0,16760.0,2.0,0.0,7323.0,33.0,0.0,0.0,35493842168.0,63251751849.0
Z305CMA0,2018-01-08,ST4000DM000,0,0.0,16783.0,2.0,0.0,7323.0,32.0,0.0,0.0,35517853712.0,63429002278.0
Z305CMA0,2018-01-09,ST4000DM000,0,0.0,16807.0,2.0,0.0,7323.0,33.0,0.0,0.0,35534358664.0,63621947169.0
Z305CMA0,2018-01-10,ST4000DM000,0,0.0,16824.0,2.0,0.0,7323.0,33.0,0.0,0.0,35543358928.0,63748627896.0
Z305CMA0,2018-01-11,ST4000DM000,0,0.0,16854.0,2.0,0.0,7323.0,32.0,16.0,16.0,35549716912.0,63963124861.0
Z305CMA0,2018-01-12,ST4000DM000,0,0.0,16878.0,2.0,0.0,7323.0,32.0,16.0,16.0,35556801920.0,64146822539.0
Z305CMA0,2018-01-13,ST4000DM000,0,0.0,16901.0,2.0,0.0,7325.0,31.0,16.0,16.0,35561128912.0,64297300319.0
Z305CMA0,2018-01-14,ST4000DM000,0,0.0,16926.0,8.0,0.0,7326.0,32.0,8.0,8.0,35568499288.0,64468933807.0
Z305CMA0,2018-01-15,ST4000DM000,0,0.0,16949.0,8.0,0.0,7326.0,31.0,8.0,8.0,35573121440.0,64628759098.0
Z305CMA0,2018-01-16,ST4000DM000,0,0.0,16974.0,8.0,0.0,7326.0,32.0,8.0,8.0,35580721216.0,64820342696.0
Z305CMA0,2018-01-17,ST4000DM000,0,0.0,16998.0,8.0,0.0,7326.0,32.0,8.0,8.0,35590005544.0,64999732995.0
Z305CMA0,2018-01-18,ST4000DM000,0,0.0,17025.0,8.0,0.0,7326.0,31.0,8.0,8.0,35603102288.0,65244350652.0
Z305CMA0,2018-01-19,ST4000DM000,0,0.0,17048.0,8.0,0.0,7326.0,32.0,8.0,8.0,35609963528.0,65433517580.0
Z305CMA0,2018-01-20,ST4000DM000,0,0.0,17072.0,9.0,0.0,7326.0,31.0,8.0,8.0,35619253096.0,65567894365.0
Z305CMA0,2018-01-21,ST4000DM000,0,0.0,17097.0,9.0,0.0,7326.0,31.0,8.0,8.0,35625236912.0,65721505606.0
Z305CMA0,2018-01-22,ST4000DM000,0,0.0,17121.0,9.0,0.0,7326.0,30.0,8.0,8.0,35635682536.0,65768071967.0
Z305CMA0,2018-01-23,ST4000DM000,0,0.0,17145.0,9.0,0.0,7326.0,32.0,8.0,8.0,35650687176.0,65902603753.0
Z305CMA0,2018-01-24,ST4000DM000,0,0.0,17165.0,9.0,0.0,7326.0,32.0,8.0,8.0,35656999368.0,66031038495.0
Z305CMA0,2018-01-25,ST4000DM000,0,0.0,17181.0,9.0,0.0,7326.0,31.0,8.0,8.0,35665151424.0,66168629887.0
Z305CMA0,2018-01-26,ST4000DM000,0,0.0,17206.0,9.0,0.0,7328.0,32.0,8.0,8.0,35674672912.0,66346936278.0
Z305CMA0,2018-01-27,ST4000DM000,0,0.0,17229.0,9.0,0.0,7328.0,31.0,8.0,8.0,35677228088.0,66428777489.0
Z305CMA0,2018-01-28,ST4000DM000,0,0.0,17253.0,9.0,0.0,7331.0,31.0,8.0,8.0,35684267384.0,66558504465.0
Z305CMA0,2018-01-29,ST4000DM000,0,0.0,17278.0,9.0,0.0,7331.0,31.0,8.0,8.0,35688753296.0,66741563402.0
Z305CMA0,2018-01-30,ST4000DM000,0,0.0,17310.0,9.0,0.0,7335.0,32.0,8.0,8.0,35699539360.0,66858140050.0
Z305CMA0,2018-01-31,ST4000DM000,0,0.0,17335.0,9.0,0.0,7335.0,32.0,8.0,8.0,35704101368.0,67019979099.0
