serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305D493,2018-01-02,ST4000DM000,0,0.0,16879.0,0.0,0.0,5397.0,26.0,0.0,0.0,37391339424.0,79751171124.0
Z305D493,2018-01-03,ST4000DM000,0,0.0,16903.0,0.0,0.0,5397.0,26.0,0.0,0.0,37415986168.0,79887559247.0
Z305D493,2018-01-04,ST4000DM000,0,0.0,16919.0,0.0,0.0,5397.0,25.0,0.0,0.0,37433305048.0,79946789372.0
Z305D493,2018-01-05,ST4000DM000,0,0.0,16942.0,0.0,0.0,5399.0,26.0,0.0,0.0,37466953600.0,80091102614.0
Z305D493,2018-01-06,ST4000DM000,0,0.0,16967.0,0.0,0.0,5399.0,25.0,0.0,0.0,37496852072.0,80220792925.0
Z305D493,2018-01-07,ST4000DM000,0,0.0,16991.0,0.0,0.0,5399.0,25.0,0.0,0.0,37535222136.0,80323687531.0
Z305D493,2018-01-08,ST4000DM000,0,0.0,17015.0,0.0,0.0,5399.0,25.0,0.0,0.0,37572775800.0,80438503890.0
Z305D493,2018-01-09,ST4000DM000,0,0.0,17038.0,0.0,0.0,5399.0,25.0,0.0,0.0,37604806128.0,80581970527.0
Z305D493,2018-01-10,ST4000DM000,0,0.0,17066.0,0.0,0.0,5399.0,26.0,0.0,0.0,37630097552.0,80759859769.0
Z305D493,2018-01-11,ST4000DM000,0,0.0,17085.0,0.0,0.0,5399.0,25.0,0.0,0.0,37633856568.0,80840199307.0
Z305D493,2018-01-12,ST4000DM000,0,0.0,17097.0,0.0,0.0,5402.0,26.0,0.0,0.0,37639807808.0,80894972801.0
Z305D493,2018-01-13,ST4000DM000,0,0.0,17133.0,0.0,0.0,5402.0,26.0,0.0,0.0,37668711064.0,81056756343.0
Z305D493,2018-01-14,ST4000DM000,0,0.0,17144.0,0.0,0.0,5402.0,26.0,0.0,0.0,37670046816.0,81120869771.0
Z305D493,2018-01-15,ST4000DM000,0,0.0,17169.0,0.0,0.0,5402.0,25.0,0.0,0.0,37673969864.0,81271408993.0
Z305D493,2018-01-16,ST4000DM000,0,0.0,17205.0,0.0,0.0,5402.0,25.0,0.0,0.0,37678911968.0,81434532234.0
Z305D493,2018-01-17,ST4000DM000,0,0.0,17229.0,0.0,0.0,5402.0,25.0,0.0,0.0,37682394528.0,81541637225.0
Z305D493,2018-01-18,ST4000DM000,0,0.0,17256.0,0.0,0.0,5402.0,24.0,0.0,0.0,37687700072.0,81567629037.0
Z305D493,2018-01-19,ST4000DM000,0,0.0,17280.0,0.0,0.0,5406.0,24.0,0.0,0.0,37693723480.0,81683988482.0
Z305D493,2018-01-20,ST4000DM000,0,0.0,17304.0,0.0,0.0,5406.0,24.0,0.0,0.0,37698955888.0,81837023685.0
Z305D493,2018-01-21,ST4000DM000,0,0.0,17328.0,0.0,0.0,5406.0,25.0,0.0,0.0,37703941768.0,81953191742.0
Z305D493,2018-01-22,ST4000DM000,0,0.0,17352.0,0.0,0.0,5406.0,24.0,0.0,0.0,37716503128.0,82044678629.0
Z305D493,2018-01-23,ST4000DM000,0,0.0,17364.0,0.0,0.0,5406.0,24.0,0.0,0.0,37721317928.0,82053762018.0
Z305D493,2018-01-24,ST4000DM000,0,0.0,17408.0,0.0,0.0,5406.0,24.0,0.0,0.0,37737147312.0,82226087987.0
Z305D493,2018-01-25,ST4000DM000,0,0.0,17424.0,0.0,0.0,5406.0,24.0,0.0,0.0,37743492728.0,82294512012.0
Z305D493,2018-01-26,ST4000DM000,0,0.0,17448.0,0.0,0.0,5408.0,24.0,0.0,0.0,37751342872.0,82441750828.0
