serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305D57Q,2018-01-02,ST4000DM000,0,0.0,16923.0,0.0,0.0,3747.0,34.0,0.0,0.0,38193503872.0,55830808871.0
Z305D57Q,2018-01-03,ST4000DM000,0,0.0,16947.0,0.0,0.0,3747.0,35.0,0.0,0.0,38229060536.0,55890460698.0
Z305D57Q,2018-01-04,ST4000DM000,0,0.0,16964.0,0.0,0.0,3747.0,35.0,0.0,0.0,38257117408.0,55996837515.0
Z305D57Q,2018-01-05,ST4000DM000,0,0.0,16987.0,0.0,0.0,3747.0,35.0,0.0,0.0,38320748216.0,60364502355.0
Z305D57Q,2018-01-06,ST4000DM000,0,0.0,17011.0,0.0,0.0,3747.0,20.0,0.0,0.0,38350814904.0,60394162939.0
Z305D57Q,2018-01-07,ST4000DM000,0,0.0,17035.0,0.0,0.0,3747.0,22.0,0.0,0.0,38381975816.0,60523494332.0
Z305D57Q,2018-01-08,ST4000DM000,0,0.0,17059.0,0.0,0.0,3747.0,21.0,0.0,0.0,38413464656.0,60582383597.0
Z305D57Q,2018-01-09,ST4000DM000,0,0.0,17084.0,0.0,0.0,3747.0,22.0,0.0,0.0,38439774288.0,60673605380.0
Z305D57Q,2018-01-10,ST4000DM000,0,0.0,17111.0,0.0,0.0,3747.0,21.0,0.0,0.0,38464746760.0,60827628024.0
Z305D57Q,2018-01-11,ST4000DM000,0,0.0,17129.0,0.0,0.0,3747.0,20.0,0.0,0.0,38470853616.0,60894318094.0
Z305D57Q,2018-01-12,ST4000DM000,0,0.0,17165.0,0.0,0.0,3749.0,23.0,0.0,0.0,38506697048.0,61075957645.0
Z305D57Q,2018-01-13,ST4000DM000,0,0.0,17189.0,0.0,0.0,3749.0,23.0,0.0,0.0,38511008992.0,61198271334.0
Z305D57Q,2018-01-14,ST4000DM000,0,0.0,17213.0,0.0,0.0,3749.0,23.0,0.0,0.0,38517500064.0,61256064791.0
Z305D57Q,2018-01-15,ST4000DM000,0,0.0,17236.0,0.0,0.0,3749.0,25.0,0.0,0.0,38520206408.0,61362930747.0
Z305D57Q,2018-01-16,ST4000DM000,0,0.0,17261.0,0.0,0.0,3749.0,24.0,0.0,0.0,38522969976.0,61466901992.0
Z305D57Q,2018-01-17,ST4000DM000,0,0.0,17285.0,0.0,0.0,3749.0,23.0,0.0,0.0,38530481144.0,61606587814.0
Z305D57Q,2018-01-18,ST4000DM000,0,0.0,17300.0,0.0,0.0,3749.0,21.0,0.0,0.0,38546224760.0,61667417262.0
Z305D57Q,2018-01-19,ST4000DM000,0,0.0,17323.0,0.0,0.0,3752.0,21.0,0.0,0.0,38549696744.0,61760548911.0
Z305D57Q,2018-01-20,ST4000DM000,0,0.0,17348.0,0.0,0.0,3752.0,21.0,0.0,0.0,38554721672.0,61842361583.0
Z305D57Q,2018-01-21,ST4000DM000,0,0.0,17371.0,0.0,0.0,3752.0,21.0,0.0,0.0,38561043792.0,61974867006.0
Z305D57Q,2018-01-22,ST4000DM000,0,0.0,17396.0,0.0,0.0,3752.0,20.0,0.0,0.0,38567312504.0,62110433156.0
Z305D57Q,2018-01-23,ST4000DM000,0,0.0,17408.0,0.0,0.0,3752.0,24.0,0.0,0.0,38573865952.0,62181556098.0
Z305D57Q,2018-01-24,ST4000DM000,0,0.0,17452.0,0.0,0.0,3752.0,24.0,0.0,0.0,38591412416.0,62409443018.0
Z305D57Q,2018-01-25,ST4000DM000,0,0.0,17468.0,0.0,0.0,3752.0,21.0,0.0,0.0,38596878128.0,62491047728.0
Z305D57Q,2018-01-26,ST4000DM000,0,0.0,17481.0,0.0,0.0,3753.0,26.0,0.0,0.0,38599028824.0,62531493222.0
Z305D57Q,2018-01-27,ST4000DM000,0,0.0,17516.0,0.0,0.0,3753.0,21.0,0.0,0.0,38615199920.0,62686948268.0
Z305D57Q,2018-01-28,ST4000DM000,0,0.0,17541.0,0.0,0.0,3753.0,20.0,0.0,0.0,38619764048.0,62786672051.0
Z305D57Q,2018-01-29,ST4000DM000,0,0.0,17565.0,0.0,0.0,3753.0,20.0,0.0,0.0,38626638440.0,62894541363.0
Z305D57Q,2018-01-30,ST4000DM000,0,0.0,17597.0,0.0,0.0,3756.0,25.0,0.0,0.0,38634072856.0,62977088596.0
Z305D57Q,2018-01-31,ST4000DM000,0,0.0,17621.0,0.0,0.0,3756.0,26.0,0.0,0.0,38640609552.0,63055930012.0
Z305D57Q,2018-02-01,ST4000DM000,0,0.0,17645.0,0.0,0.0,3756.0,23.0,0.0,0.0,38647732216.0,63098120438.0
Z305D57Q,2018-02-02,ST4000DM000,0,0.0,17669.0,0.0,0.0,3756.0,23.0,0.0,0.0,38651428256.0,63191112471.0
Z305D57Q,2018-02-03,ST4000DM000,0,0.0,17693.0,0.0,0.0,3756.0,24.0,0.0,0.0,38654914320.0,63339239054.0
Z305D57Q,2018-02-04,ST4000DM000,0,0.0,17713.0,0.0,0.0,3756.0,21.0,0.0,0.0,38660394808.0,63458807719.0
Z305D57Q,2018-02-05,ST4000DM000,0,0.0,17737.0,0.0,0.0,3756.0,21.0,0.0,0.0,38663517024.0,63506884488.0
Z305D57Q,2018-02-06,ST4000DM000,0,0.0,17761.0,0.0,0.0,3756.0,22.0,0.0,0.0,38670357888.0,63612912134.0
Z305D57Q,2018-02-07,ST4000DM000,0,0.0,17785.0,0.0,0.0,3756.0,21.0,0.0,0.0,38677483192.0,63680410515.0
Z305D57Q,2018-02-08,ST4000DM000,0,0.0,17811.0,0.0,0.0,3759.0,22.0,0.0,0.0,38680431280.0,63716944477.0
Z305D57Q,2018-02-09,ST4000DM000,0,0.0,17834.0,0.0,0.0,3759.0,22.0,0.0,0.0,38682525056.0,63842412803.0
Z305D57Q,2018-02-10,ST4000DM000,0,0.0,17858.0,0.0,0.0,3759.0,20.0,0.0,0.0,38688503368.0,63892903031.0
Z305D57Q,2018-02-11,ST4000DM000,0,0.0,17883.0,0.0,0.0,3759.0,22.0,0.0,0.0,38694426976.0,64005192348.0
Z305D57Q,2018-02-12,ST4000DM000,0,0.0,17906.0,0.0,0.0,3766.0,23.0,0.0,0.0,38699761104.0,64074244671.0
Z305D57Q,2018-02-13,ST4000DM000,0,0.0,17931.0,0.0,0.0,3766.0,22.0,0.0,0.0,38703328936.0,64254106488.0
Z305D57Q,2018-02-14,ST4000DM000,0,0.0,17954.0,0.0,0.0,3766.0,23.0,0.0,0.0,38711660832.0,64382308542.0
Z305D57Q,2018-02-15,ST4000DM000,0,0.0,17979.0,0.0,0.0,3766.0,24.0,0.0,0.0,38717676952.0,64557417518.0
Z305D57Q,2018-02-16,ST4000DM000,0,0.0,18003.0,0.0,0.0,3766.0,22.0,0.0,0.0,38726205960.0,64752128429.0
Z305D57Q,2018-02-17,ST4000DM000,0,0.0,18027.0,0.0,0.0,3766.0,21.0,0.0,0.0,38732163224.0,64952079992.0
Z305D57Q,2018-02-18,ST4000DM000,0,0.0,18051.0,0.0,0.0,3766.0,21.0,0.0,0.0,38739035744.0,65151397834.0
Z305D57Q,2018-02-19,ST4000DM000,0,0.0,18075.0,0.0,0.0,3766.0,24.0,0.0,0.0,38741229104.0,65305378458.0
Z305D57Q,2018-02-20,ST4000DM000,0,0.0,18099.0,0.0,0.0,3766.0,22.0,0.0,0.0,38743451392.0,65466511364.0
Z305D57Q,2018-02-21,ST4000DM000,0,0.0,18123.0,0.0,0.0,3767.0,22.0,0.0,0.0,38748677944.0,65599763969.0
Z305D57Q,2018-02-22,ST4000DM000,0,0.0,18146.0,0.0,0.0,3770.0,21.0,0.0,0.0,38750861856.0,65763972362.0
Z305D57Q,2018-02-23,ST4000DM000,0,0.0,18170.0,0.0,0.0,3770.0,21.0,0.0,0.0,38758330352.0,65972567504.0
Z305D57Q,2018-02-24,ST4000DM000,0,0.0,18194.0,0.0,0.0,3770.0,22.0,0.0,0.0,38763441168.0,66167464657.0
Z305D57Q,2018-02-25,ST4000DM000,0,0.0,18218.0,0.0,0.0,3770.0,22.0,0.0,0.0,38771368584.0,66379542251.0
Z305D57Q,2018-02-26,ST4000DM000,0,0.0,18242.0,0.0,0.0,3770.0,21.0,0.0,0.0,38777023160.0,66582426828.0
Z305D57Q,2018-02-27,ST4000DM000,0,0.0,18266.0,0.0,0.0,3770.0,23.0,0.0,0.0,38782234288.0,66769389491.0
Z305D57Q,2018-02-28,ST4000DM000,0,0.0,18290.0,0.0,0.0,3770.0,23.0,0.0,0.0,38789492176.0,66927672427.0
Z305D57Q,2018-03-01,ST4000DM000,0,0.0,18316.0,0.0,0.0,3774.0,23.0,0.0,0.0,38793905296.0,67096385778.0
Z305D57Q,2018-03-02,ST4000DM000,0,0.0,18341.0,0.0,0.0,3774.0,23.0,0.0,0.0,38795478768.0,67212920043.0
Z305D57Q,2018-03-03,ST4000DM000,0,0.0,18365.0,0.0,0.0,3774.0,22.0,0.0,0.0,38799584872.0,67353973349.0
Z305D57Q,2018-03-04,ST4000DM000,0,0.0,18388.0,0.0,0.0,3774.0,21.0,0.0,0.0,38809777032.0,67528148655.0
Z305D57Q,2018-03-05,ST4000DM000,0,0.0,18412.0,0.0,0.0,3774.0,24.0,0.0,0.0,38816957280.0,67659101926.0
Z305D57Q,2018-03-06,ST4000DM000,0,0.0,18438.0,0.0,0.0,3776.0,24.0,0.0,0.0,38832264744.0,67781745579.0
Z305D57Q,2018-03-07,ST4000DM000,0,0.0,18462.0,0.0,0.0,3776.0,23.0,0.0,0.0,38841556296.0,67814108266.0
Z305D57Q,2018-03-08,ST4000DM000,0,0.0,18484.0,0.0,0.0,3779.0,23.0,0.0,0.0,38855419432.0,67927611749.0
Z305D57Q,2018-03-09,ST4000DM000,0,0.0,18507.0,0.0,0.0,3779.0,25.0,0.0,0.0,38866320432.0,68028971274.0
Z305D57Q,2018-03-10,ST4000DM000,0,0.0,18532.0,0.0,0.0,3779.0,24.0,0.0,0.0,38875207128.0,68175879107.0
Z305D57Q,2018-03-11,ST4000DM000,0,0.0,18556.0,0.0,0.0,3779.0,24.0,0.0,0.0,38895449584.0,68335848600.0
Z305D57Q,2018-03-12,ST4000DM000,0,0.0,18580.0,0.0,0.0,3779.0,25.0,0.0,0.0,38902099240.0,68495917554.0
Z305D57Q,2018-03-13,ST4000DM000,0,0.0,18604.0,0.0,0.0,3779.0,25.0,0.0,0.0,38914661680.0,68615574239.0
Z305D57Q,2018-03-14,ST4000DM000,0,0.0,18627.0,0.0,0.0,3779.0,24.0,0.0,0.0,38931206048.0,68745220736.0
Z305D57Q,2018-03-15,ST4000DM000,0,0.0,18652.0,0.0,0.0,3781.0,24.0,0.0,0.0,38946480352.0,68880324139.0
Z305D57Q,2018-03-16,ST4000DM000,0,0.0,18676.0,0.0,0.0,3781.0,24.0,0.0,0.0,38959783616.0,69020167956.0
Z305D57Q,2018-03-17,ST4000DM000,0,0.0,18700.0,0.0,0.0,3781.0,23.0,0.0,0.0,38977004096.0,69139865437.0
Z305D57Q,2018-03-18,ST4000DM000,0,0.0,18724.0,0.0,0.0,3781.0,23.0,0.0,0.0,38987562360.0,69270641168.0
Z305D57Q,2018-03-19,ST4000DM000,0,0.0,18748.0,0.0,0.0,3781.0,23.0,0.0,0.0,39003978624.0,69418650710.0
Z305D57Q,2018-03-20,ST4000DM000,0,0.0,18771.0,0.0,0.0,3781.0,23.0,0.0,0.0,39014515552.0,69546139604.0
Z305D57Q,2018-03-21,ST4000DM000,0,0.0,18795.0,0.0,0.0,3781.0,25.0,0.0,0.0,39025923200.0,69635951680.0
Z305D57Q,2018-03-22,ST4000DM000,0,0.0,18819.0,0.0,0.0,3781.0,24.0,0.0,0.0,39037195688.0,69746572094.0
Z305D57Q,2018-03-23,ST4000DM000,0,0.0,18844.0,0.0,0.0,3781.0,24.0,0.0,0.0,39046308368.0,69816588795.0
Z305D57Q,2018-03-24,ST4000DM000,0,0.0,18868.0,0.0,0.0,3781.0,24.0,0.0,0.0,39056652824.0,69918486787.0
Z305D57Q,2018-03-25,ST4000DM000,0,0.0,18891.0,0.0,0.0,3781.0,22.0,0.0,0.0,39069151808.0,70047304104.0
Z305D57Q,2018-03-26,ST4000DM000,0,0.0,18916.0,0.0,0.0,3781.0,23.0,0.0,0.0,39080236256.0,70155674878.0
Z305D57Q,2018-03-27,ST4000DM000,0,0.0,18939.0,0.0,0.0,3781.0,22.0,0.0,0.0,39093667088.0,70205084369.0
Z305D57Q,2018-03-28,ST4000DM000,0,0.0,18964.0,0.0,0.0,3781.0,25.0,0.0,0.0,39119681792.0,70305419897.0
Z305D57Q,2018-03-29,ST4000DM000,0,0.0,18987.0,0.0,0.0,3784.0,30.0,0.0,0.0,39129264720.0,70434403260.0
Z305D57Q,2018-03-30,ST4000DM000,0,0.0,19011.0,0.0,0.0,3784.0,25.0,0.0,0.0,39140615608.0,70563405760.0
Z305D57Q,2018-03-31,ST4000DM000,0,0.0,19035.0,0.0,0.0,3784.0,25.0,0.0,0.0,39151830160.0,70687869275.0
Z305D57Q,2018-04-01,ST4000DM000,0,0.0,19059.0,0.0,0.0,3784.0,25.0,0.0,0.0,39163403392.0,70825816478.0
Z305D57Q,2018-04-02,ST4000DM000,0,0.0,19083.0,0.0,0.0,3784.0,26.0,0.0,0.0,39180264704.0,70945220274.0
Z305D57Q,2018-04-03,ST4000DM000,0,0.0,19107.0,0.0,0.0,3784.0,26.0,0.0,0.0,39202763680.0,71040636466.0
Z305D57Q,2018-04-04,ST4000DM000,0,0.0,19131.0,0.0,0.0,3784.0,25.0,0.0,0.0,39218686344.0,71128010165.0
Z305D57Q,2018-04-05,ST4000DM000,0,0.0,19156.0,0.0,0.0,3784.0,28.0,0.0,0.0,39236846248.0,71200468574.0
Z305D57Q,2018-04-06,ST4000DM000,0,0.0,19180.0,0.0,0.0,3784.0,26.0,0.0,0.0,39258603800.0,71300038705.0
Z305D57Q,2018-04-07,ST4000DM000,0,0.0,19203.0,0.0,0.0,3784.0,28.0,0.0,0.0,39282062104.0,71374212836.0
Z305D57Q,2018-04-08,ST4000DM000,0,0.0,19228.0,0.0,0.0,3784.0,28.0,0.0,0.0,39311071048.0,71440821254.0
Z305D57Q,2018-04-09,ST4000DM000,0,0.0,19251.0,0.0,0.0,3784.0,27.0,0.0,0.0,39329816776.0,71540743505.0
Z305D57Q,2018-04-10,ST4000DM000,0,0.0,19275.0,0.0,0.0,3784.0,27.0,0.0,0.0,39350805288.0,71671300200.0
