serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305D6LK,2018-01-02,ST4000DM000,0,0.0,16636.0,1.0,0.0,8434.0,33.0,8.0,8.0,36251984368.0,82820514892.0
Z305D6LK,2018-01-03,ST4000DM000,0,0.0,16659.0,1.0,0.0,8434.0,33.0,8.0,8.0,36289634520.0,82930582326.0
Z305D6LK,2018-01-04,ST4000DM000,0,0.0,16675.0,1.0,0.0,8434.0,33.0,8.0,8.0,36301886800.0,83037835690.0
Z305D6LK,2018-01-05,ST4000DM000,0,0.0,16700.0,1.0,0.0,8435.0,34.0,8.0,8.0,36331542264.0,83192907915.0
Z305D6LK,2018-01-06,ST4000DM000,0,0.0,16724.0,1.0,0.0,8435.0,33.0,8.0,8.0,36355221512.0,83351738587.0
Z305D6LK,2018-01-07,ST4000DM000,0,0.0,16748.0,1.0,0.0,8435.0,35.0,8.0,8.0,36382852576.0,83487667454.0
Z305D6LK,2018-01-08,ST4000DM000,0,0.0,16760.0,1.0,0.0,8435.0,34.0,8.0,8.0,36400292832.0,83533060760.0
Z305D6LK,2018-01-09,ST4000DM000,0,0.0,16795.0,1.0,0.0,8435.0,35.0,8.0,8.0,36449623352.0,83775319143.0
Z305D6LK,2018-01-10,ST4000DM000,0,0.0,16824.0,1.0,0.0,8435.0,35.0,8.0,8.0,36472781040.0,83971559708.0
Z305D6LK,2018-01-11,ST4000DM000,0,0.0,16842.0,1.0,0.0,8436.0,34.0,8.0,8.0,36483952888.0,84016906372.0
Z305D6LK,2018-01-12,ST4000DM000,0,0.0,16878.0,1.0,0.0,8439.0,35.0,8.0,8.0,36486828504.0,84170842315.0
Z305D6LK,2018-01-13,ST4000DM000,0,0.0,16902.0,1.0,0.0,8439.0,36.0,8.0,8.0,36489663264.0,84293986980.0
Z305D6LK,2018-01-14,ST4000DM000,0,0.0,16926.0,1.0,0.0,8439.0,35.0,8.0,8.0,36492639936.0,84456636475.0
Z305D6LK,2018-01-15,ST4000DM000,0,0.0,16951.0,1.0,0.0,8439.0,36.0,8.0,8.0,36500086544.0,84625045847.0
Z305D6LK,2018-01-16,ST4000DM000,0,0.0,16974.0,1.0,0.0,8439.0,36.0,8.0,8.0,36508573640.0,84738823695.0
Z305D6LK,2018-01-17,ST4000DM000,0,0.0,16999.0,1.0,0.0,8440.0,35.0,8.0,8.0,36521257288.0,84888282108.0
Z305D6LK,2018-01-18,ST4000DM000,0,0.0,17013.0,1.0,0.0,8440.0,35.0,8.0,8.0,36526048064.0,85001923761.0
Z305D6LK,2018-01-19,ST4000DM000,0,0.0,17037.0,1.0,0.0,8444.0,35.0,8.0,8.0,36534116176.0,85167931392.0
Z305D6LK,2018-01-20,ST4000DM000,0,0.0,17061.0,1.0,0.0,8444.0,34.0,8.0,8.0,36544817832.0,85281189095.0
Z305D6LK,2018-01-21,ST4000DM000,0,0.0,17085.0,1.0,0.0,8444.0,35.0,8.0,8.0,36548990144.0,85408843542.0
Z305D6LK,2018-01-22,ST4000DM000,0,0.0,17109.0,1.0,0.0,8444.0,34.0,8.0,8.0,36562614440.0,85511358777.0
Z305D6LK,2018-01-23,ST4000DM000,0,0.0,17121.0,1.0,0.0,8444.0,34.0,8.0,8.0,36568425808.0,85519606213.0
Z305D6LK,2018-01-24,ST4000DM000,0,0.0,17165.0,1.0,0.0,8444.0,34.0,8.0,8.0,36581124904.0,85744048149.0
Z305D6LK,2018-01-25,ST4000DM000,0,0.0,17181.0,1.0,0.0,8444.0,34.0,8.0,8.0,36584168064.0,85811188799.0
Z305D6LK,2018-01-26,ST4000DM000,0,0.0,17194.0,1.0,0.0,8448.0,34.0,8.0,8.0,36591301240.0,85861299363.0
Z305D6LK,2018-01-27,ST4000DM000,0,0.0,17230.0,1.0,0.0,8448.0,34.0,8.0,8.0,36596035064.0,85973552041.0
Z305D6LK,2018-01-28,ST4000DM000,0,0.0,17254.0,1.0,0.0,8448.0,34.0,8.0,8.0,36608018232.0,86088091193.0
Z305D6LK,2018-01-29,ST4000DM000,0,0.0,17278.0,1.0,0.0,8448.0,34.0,8.0,8.0,36613958560.0,86199759842.0
Z305D6LK,2018-01-30,ST4000DM000,0,0.0,17310.0,1.0,0.0,8450.0,34.0,8.0,8.0,36621484272.0,86378266988.0
Z305D6LK,2018-01-31,ST4000DM000,0,0.0,17334.0,1.0,0.0,8450.0,35.0,8.0,8.0,36627866048.0,86507415740.0
Z305D6LK,2018-02-01,ST4000DM000,0,0.0,17358.0,1.0,0.0,8450.0,35.0,0.0,0.0,36632701320.0,86641078262.0
Z305D6LK,2018-02-02,ST4000DM000,0,0.0,17382.0,1.0,0.0,8450.0,34.0,0.0,0.0,36637596056.0,86732274988.0
Z305D6LK,2018-02-03,ST4000DM000,0,0.0,17406.0,1.0,0.0,8450.0,35.0,0.0,0.0,36641389240.0,86866122715.0
Z305D6LK,2018-02-04,ST4000DM000,0,0.0,17426.0,1.0,0.0,8450.0,35.0,0.0,0.0,36643911744.0,86973364405.0
Z305D6LK,2018-02-05,ST4000DM000,0,0.0,17450.0,1.0,0.0,8450.0,34.0,0.0,0.0,36648258560.0,87105884223.0
Z305D6LK,2018-02-06,ST4000DM000,0,0.0,17474.0,1.0,0.0,8450.0,34.0,0.0,0.0,36650112696.0,87214136616.0
Z305D6LK,2018-02-07,ST4000DM000,0,0.0,17499.0,1.0,0.0,8450.0,34.0,0.0,0.0,36654230320.0,87320806772.0
Z305D6LK,2018-02-08,ST4000DM000,0,0.0,17524.0,1.0,0.0,8454.0,34.0,0.0,0.0,36656526232.0,87433154481.0
Z305D6LK,2018-02-09,ST4000DM000,0,0.0,17548.0,1.0,0.0,8454.0,34.0,0.0,0.0,36661038784.0,87588590296.0
Z305D6LK,2018-02-10,ST4000DM000,0,0.0,17571.0,1.0,0.0,8454.0,35.0,0.0,0.0,36664193792.0,87647774562.0
Z305D6LK,2018-02-11,ST4000DM000,0,0.0,17596.0,1.0,0.0,8454.0,34.0,0.0,0.0,36672627824.0,87765498961.0
Z305D6LK,2018-02-12,ST4000DM000,0,0.0,17619.0,1.0,0.0,8454.0,35.0,0.0,0.0,36677452888.0,87896844688.0
Z305D6LK,2018-02-13,ST4000DM000,0,0.0,17644.0,1.0,0.0,8454.0,35.0,0.0,0.0,36679440304.0,88017366025.0
Z305D6LK,2018-02-14,ST4000DM000,0,0.0,17668.0,1.0,0.0,8455.0,35.0,0.0,0.0,36683293832.0,88113309609.0
Z305D6LK,2018-02-15,ST4000DM000,0,0.0,17692.0,1.0,0.0,8455.0,35.0,0.0,0.0,36685585136.0,88218899024.0
Z305D6LK,2018-02-16,ST4000DM000,0,0.0,17716.0,1.0,0.0,8455.0,34.0,0.0,0.0,36687899464.0,88322883179.0
Z305D6LK,2018-02-17,ST4000DM000,0,0.0,17740.0,1.0,0.0,8455.0,35.0,0.0,0.0,36690594168.0,88503763428.0
Z305D6LK,2018-02-18,ST4000DM000,0,0.0,17764.0,1.0,0.0,8455.0,34.0,0.0,0.0,36694423512.0,88573732278.0
Z305D6LK,2018-02-19,ST4000DM000,0,0.0,17787.0,1.0,0.0,8455.0,35.0,0.0,0.0,36702116112.0,88654913591.0
Z305D6LK,2018-02-20,ST4000DM000,0,0.0,17812.0,1.0,0.0,8466.0,35.0,0.0,0.0,36706141096.0,88775076881.0
Z305D6LK,2018-02-21,ST4000DM000,0,0.0,17836.0,1.0,0.0,8466.0,35.0,0.0,0.0,36712265016.0,88956526850.0
Z305D6LK,2018-02-22,ST4000DM000,0,0.0,17859.0,1.0,0.0,8526.0,35.0,0.0,0.0,36715420736.0,89112616924.0
Z305D6LK,2018-02-23,ST4000DM000,0,0.0,17883.0,1.0,0.0,8526.0,36.0,0.0,0.0,36718920328.0,89302369441.0
Z305D6LK,2018-02-24,ST4000DM000,0,0.0,17907.0,1.0,0.0,8526.0,35.0,0.0,0.0,36723715584.0,89475292504.0
Z305D6LK,2018-02-25,ST4000DM000,0,0.0,17931.0,1.0,0.0,8526.0,35.0,0.0,0.0,36728324080.0,89670712874.0
Z305D6LK,2018-02-26,ST4000DM000,0,0.0,17955.0,1.0,0.0,8526.0,35.0,0.0,0.0,36735965176.0,89895116079.0
Z305D6LK,2018-02-27,ST4000DM000,0,0.0,17980.0,1.0,0.0,8526.0,35.0,0.0,0.0,36742280168.0,90072445131.0
Z305D6LK,2018-02-28,ST4000DM000,0,0.0,18004.0,1.0,0.0,8533.0,35.0,0.0,0.0,36748070928.0,90215851279.0
Z305D6LK,2018-03-01,ST4000DM000,0,0.0,18029.0,1.0,0.0,8535.0,35.0,0.0,0.0,36751680360.0,90388148920.0
Z305D6LK,2018-03-02,ST4000DM000,0,0.0,18054.0,1.0,0.0,8535.0,35.0,0.0,0.0,36756269120.0,90538825298.0
Z305D6LK,2018-03-03,ST4000DM000,0,0.0,18077.0,1.0,0.0,8535.0,36.0,0.0,0.0,36768514200.0,90738440835.0
Z305D6LK,2018-03-04,ST4000DM000,0,0.0,18101.0,1.0,0.0,8535.0,35.0,0.0,0.0,36788513400.0,90962118681.0
Z305D6LK,2018-03-05,ST4000DM000,0,0.0,18124.0,1.0,0.0,8535.0,35.0,0.0,0.0,36804724776.0,91154372257.0
Z305D6LK,2018-03-06,ST4000DM000,0,0.0,18151.0,1.0,0.0,8536.0,35.0,0.0,0.0,36824118872.0,91263631039.0
Z305D6LK,2018-03-07,ST4000DM000,0,0.0,18176.0,1.0,0.0,8536.0,35.0,0.0,0.0,36845052064.0,91414897884.0
Z305D6LK,2018-03-08,ST4000DM000,0,0.0,18197.0,1.0,0.0,8540.0,35.0,0.0,0.0,36858548952.0,91520012608.0
Z305D6LK,2018-03-09,ST4000DM000,0,0.0,18220.0,1.0,0.0,8540.0,35.0,0.0,0.0,36874279056.0,91697432732.0
Z305D6LK,2018-03-10,ST4000DM000,0,0.0,18244.0,1.0,0.0,8540.0,35.0,0.0,0.0,36889017560.0,91838797619.0
Z305D6LK,2018-03-11,ST4000DM000,0,0.0,18269.0,1.0,0.0,8540.0,35.0,0.0,0.0,36901230864.0,91990834802.0
Z305D6LK,2018-03-12,ST4000DM000,0,0.0,18292.0,1.0,0.0,8540.0,34.0,0.0,0.0,36921984568.0,92145228049.0
Z305D6LK,2018-03-13,ST4000DM000,0,0.0,18316.0,1.0,0.0,8540.0,35.0,0.0,0.0,36946857024.0,92259307410.0
Z305D6LK,2018-03-14,ST4000DM000,0,0.0,18340.0,1.0,0.0,8540.0,35.0,0.0,0.0,36960316944.0,92412574181.0
Z305D6LK,2018-03-15,ST4000DM000,0,0.0,18364.0,1.0,0.0,8543.0,35.0,0.0,0.0,36972647128.0,92566717879.0
Z305D6LK,2018-03-16,ST4000DM000,0,0.0,18389.0,1.0,0.0,8543.0,35.0,0.0,0.0,36979286848.0,92724956287.0
Z305D6LK,2018-03-17,ST4000DM000,0,0.0,18413.0,1.0,0.0,8543.0,35.0,0.0,0.0,36987703392.0,92873239503.0
Z305D6LK,2018-03-18,ST4000DM000,0,0.0,18436.0,1.0,0.0,8543.0,35.0,0.0,0.0,36999401800.0,93036496239.0
Z305D6LK,2018-03-19,ST4000DM000,0,0.0,18460.0,1.0,0.0,8543.0,34.0,0.0,0.0,37020852024.0,93185839172.0
Z305D6LK,2018-03-20,ST4000DM000,0,0.0,18485.0,1.0,0.0,8543.0,34.0,0.0,0.0,37042928328.0,93318997755.0
Z305D6LK,2018-03-21,ST4000DM000,0,0.0,18508.0,1.0,0.0,8543.0,35.0,0.0,0.0,37064881256.0,93504899674.0
Z305D6LK,2018-03-22,ST4000DM000,0,0.0,18532.0,1.0,0.0,8543.0,35.0,0.0,0.0,37082676408.0,93636770823.0
Z305D6LK,2018-03-23,ST4000DM000,0,0.0,18557.0,1.0,0.0,8543.0,35.0,0.0,0.0,37103717576.0,93720731020.0
Z305D6LK,2018-03-24,ST4000DM000,0,0.0,18581.0,1.0,0.0,8543.0,35.0,0.0,0.0,37119179248.0,93873909154.0
Z305D6LK,2018-03-25,ST4000DM000,0,0.0,18605.0,1.0,0.0,8543.0,34.0,0.0,0.0,37132857664.0,94030774863.0
Z305D6LK,2018-03-26,ST4000DM000,0,0.0,18628.0,1.0,0.0,8543.0,35.0,0.0,0.0,37150432032.0,94159985342.0
Z305D6LK,2018-03-27,ST4000DM000,0,0.0,18652.0,1.0,0.0,8543.0,34.0,0.0,0.0,37165391656.0,94212472533.0
Z305D6LK,2018-03-28,ST4000DM000,0,0.0,18677.0,1.0,0.0,8543.0,35.0,0.0,0.0,37189658736.0,94338878286.0
Z305D6LK,2018-03-29,ST4000DM000,0,0.0,18700.0,1.0,0.0,8546.0,34.0,0.0,0.0,37216303312.0,94430828068.0
Z305D6LK,2018-03-30,ST4000DM000,0,0.0,18724.0,1.0,0.0,8546.0,34.0,0.0,0.0,37228322552.0,94548931149.0
Z305D6LK,2018-03-31,ST4000DM000,0,0.0,18748.0,1.0,0.0,8546.0,35.0,0.0,0.0,37240305144.0,94691552272.0
Z305D6LK,2018-04-01,ST4000DM000,0,0.0,18772.0,1.0,0.0,8546.0,34.0,0.0,0.0,37255588240.0,94813861313.0
Z305D6LK,2018-04-02,ST4000DM000,0,0.0,18796.0,1.0,0.0,8546.0,35.0,0.0,0.0,37273920968.0,94895810262.0
Z305D6LK,2018-04-03,ST4000DM000,0,0.0,18820.0,1.0,0.0,8546.0,35.0,0.0,0.0,37293251176.0,95020485255.0
Z305D6LK,2018-04-04,ST4000DM000,0,0.0,18845.0,1.0,0.0,8546.0,34.0,0.0,0.0,37315330624.0,95168631857.0
Z305D6LK,2018-04-05,ST4000DM000,0,0.0,18868.0,1.0,0.0,8546.0,33.0,0.0,0.0,37333475600.0,95270571695.0
Z305D6LK,2018-04-06,ST4000DM000,0,0.0,18892.0,1.0,0.0,8546.0,33.0,0.0,0.0,37352585920.0,95357061702.0
