serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305D6P3,2018-01-02,ST4000DM000,0,0.0,17976.0,0.0,0.0,34569.0,25.0,0.0,0.0,37596232376.0,57417907006.0
Z305D6P3,2018-01-03,ST4000DM000,0,0.0,18000.0,0.0,0.0,34569.0,26.0,0.0,0.0,37638882520.0,57613238727.0
Z305D6P3,2018-01-04,ST4000DM000,0,0.0,18016.0,0.0,0.0,34569.0,22.0,0.0,0.0,37663207720.0,57721037202.0
Z305D6P3,2018-01-05,ST4000DM000,0,0.0,18029.0,0.0,0.0,34569.0,26.0,0.0,0.0,37678950856.0,57784051470.0
Z305D6P3,2018-01-06,ST4000DM000,0,0.0,18064.0,0.0,0.0,34569.0,19.0,0.0,0.0,37737651360.0,58018551777.0
Z305D6P3,2018-01-07,ST4000DM000,0,0.0,18088.0,0.0,0.0,34569.0,20.0,0.0,0.0,37782871776.0,58165988773.0
Z305D6P3,2018-01-08,ST4000DM000,0,0.0,18112.0,0.0,0.0,34569.0,20.0,0.0,0.0,37815723696.0,58245220788.0
Z305D6P3,2018-01-09,ST4000DM000,0,0.0,18136.0,0.0,0.0,34569.0,20.0,0.0,0.0,37850671368.0,58390596032.0
Z305D6P3,2018-01-10,ST4000DM000,0,0.0,18164.0,0.0,0.0,34569.0,21.0,0.0,0.0,37867445736.0,58552595564.0
Z305D6P3,2018-01-11,ST4000DM000,0,0.0,18194.0,0.0,0.0,34573.0,20.0,0.0,0.0,37877800368.0,58779838607.0
Z305D6P3,2018-01-12,ST4000DM000,0,0.0,18218.0,0.0,0.0,34573.0,20.0,0.0,0.0,37886895080.0,58891151280.0
Z305D6P3,2018-01-13,ST4000DM000,0,0.0,18242.0,0.0,0.0,34573.0,21.0,0.0,0.0,37897143536.0,59025309462.0
Z305D6P3,2018-01-14,ST4000DM000,0,0.0,18266.0,0.0,0.0,34573.0,21.0,0.0,0.0,37902097664.0,59119290472.0
Z305D6P3,2018-01-15,ST4000DM000,0,0.0,18290.0,0.0,0.0,34573.0,22.0,0.0,0.0,37909495120.0,59247666821.0
Z305D6P3,2018-01-16,ST4000DM000,0,0.0,18314.0,0.0,0.0,34573.0,21.0,0.0,0.0,37913691256.0,59296648748.0
Z305D6P3,2018-01-17,ST4000DM000,0,0.0,18338.0,0.0,0.0,34573.0,20.0,0.0,0.0,37923979336.0,59448193454.0
Z305D6P3,2018-01-18,ST4000DM000,0,0.0,18353.0,0.0,0.0,34573.0,19.0,0.0,0.0,37928566440.0,59508544231.0
Z305D6P3,2018-01-19,ST4000DM000,0,0.0,18377.0,0.0,0.0,34576.0,20.0,0.0,0.0,37944343216.0,59671459809.0
Z305D6P3,2018-01-20,ST4000DM000,0,0.0,18400.0,0.0,0.0,34576.0,20.0,0.0,0.0,37953308048.0,59800660041.0
Z305D6P3,2018-01-21,ST4000DM000,0,0.0,18425.0,0.0,0.0,34576.0,20.0,0.0,0.0,37964545904.0,59937979450.0
Z305D6P3,2018-01-22,ST4000DM000,0,0.0,18449.0,0.0,0.0,34576.0,20.0,0.0,0.0,37978167312.0,60055220954.0
Z305D6P3,2018-01-23,ST4000DM000,0,0.0,18460.0,0.0,0.0,34576.0,19.0,0.0,0.0,37983256808.0,60079501293.0
Z305D6P3,2018-01-24,ST4000DM000,0,0.0,18505.0,0.0,0.0,34576.0,20.0,0.0,0.0,38004999384.0,60259128037.0
Z305D6P3,2018-01-25,ST4000DM000,0,0.0,18505.0,0.0,0.0,34576.0,20.0,0.0,0.0,38004999384.0,60259128037.0
Z305D6P3,2018-01-26,ST4000DM000,0,0.0,18534.0,0.0,0.0,34579.0,20.0,0.0,0.0,38023403208.0,60380614642.0
Z305D6P3,2018-01-27,ST4000DM000,0,0.0,18570.0,0.0,0.0,34581.0,19.0,0.0,0.0,38045121160.0,60518963028.0
Z305D6P3,2018-01-28,ST4000DM000,0,0.0,18593.0,0.0,0.0,34581.0,19.0,0.0,0.0,38052073776.0,60663171848.0
Z305D6P3,2018-01-29,ST4000DM000,0,0.0,18617.0,0.0,0.0,34581.0,19.0,0.0,0.0,38056734960.0,60788253130.0
Z305D6P3,2018-01-30,ST4000DM000,0,0.0,18650.0,0.0,0.0,34584.0,19.0,0.0,0.0,38066867880.0,60918391282.0
Z305D6P3,2018-01-31,ST4000DM000,0,0.0,18674.0,0.0,0.0,34584.0,20.0,0.0,0.0,38072959024.0,61033853107.0
Z305D6P3,2018-02-01,ST4000DM000,0,0.0,18698.0,0.0,0.0,34584.0,20.0,0.0,0.0,38081020712.0,61154541435.0
Z305D6P3,2018-02-02,ST4000DM000,0,0.0,18722.0,0.0,0.0,34584.0,20.0,0.0,0.0,38085551784.0,61311226050.0
Z305D6P3,2018-02-03,ST4000DM000,0,0.0,18746.0,0.0,0.0,34584.0,20.0,0.0,0.0,38091566792.0,61366760651.0
Z305D6P3,2018-02-04,ST4000DM000,0,0.0,18766.0,0.0,0.0,34584.0,20.0,0.0,0.0,38094338240.0,61446638115.0
Z305D6P3,2018-02-05,ST4000DM000,0,0.0,18790.0,0.0,0.0,34584.0,19.0,0.0,0.0,38098898008.0,61559300739.0
Z305D6P3,2018-02-06,ST4000DM000,0,0.0,18814.0,0.0,0.0,34584.0,20.0,0.0,0.0,38103351144.0,61659857470.0
