serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305DH7P,2018-01-02,ST4000DM000,0,16.0,11629.0,0.0,0.0,6266.0,20.0,0.0,0.0,11357242601.0,21186376788.0
Z305DH7P,2018-01-03,ST4000DM000,0,16.0,11653.0,0.0,0.0,6266.0,19.0,0.0,0.0,11364678565.0,21214419126.0
Z305DH7P,2018-01-04,ST4000DM000,0,16.0,11678.0,0.0,0.0,6266.0,19.0,0.0,0.0,11372213957.0,21244670969.0
Z305DH7P,2018-01-05,ST4000DM000,0,16.0,11701.0,0.0,0.0,6266.0,18.0,0.0,0.0,11381121521.0,21274301704.0
Z305DH7P,2018-01-06,ST4000DM000,0,16.0,11725.0,0.0,0.0,6266.0,19.0,0.0,0.0,11388859303.0,21303256686.0
Z305DH7P,2018-01-07,ST4000DM000,0,16.0,11750.0,0.0,0.0,6266.0,19.0,0.0,0.0,11399289341.0,21335210072.0
Z305DH7P,2018-01-08,ST4000DM000,0,16.0,11773.0,0.0,0.0,6266.0,19.0,0.0,0.0,11408292523.0,21361585867.0
Z305DH7P,2018-01-09,ST4000DM000,0,16.0,11797.0,0.0,0.0,6266.0,19.0,0.0,0.0,11416415393.0,21388850573.0
Z305DH7P,2018-01-10,ST4000DM000,0,16.0,11822.0,0.0,0.0,6266.0,18.0,0.0,0.0,11422308451.0,21419037340.0
Z305DH7P,2018-01-11,ST4000DM000,0,16.0,11847.0,0.0,0.0,6266.0,19.0,0.0,0.0,11425877505.0,21453534107.0
Z305DH7P,2018-01-12,ST4000DM000,0,16.0,11871.0,0.0,0.0,6266.0,20.0,0.0,0.0,11429395109.0,21483515228.0
Z305DH7P,2018-01-13,ST4000DM000,0,16.0,11888.0,0.0,0.0,6269.0,18.0,0.0,0.0,11431243923.0,21504013410.0
Z305DH7P,2018-01-14,ST4000DM000,0,16.0,11912.0,0.0,0.0,6269.0,20.0,0.0,0.0,11434079377.0,21539942586.0
Z305DH7P,2018-01-15,ST4000DM000,0,16.0,11935.0,0.0,0.0,6269.0,19.0,0.0,0.0,11436231107.0,21568507546.0
Z305DH7P,2018-01-16,ST4000DM000,0,16.0,11959.0,0.0,0.0,6269.0,18.0,0.0,0.0,11438282495.0,21596879709.0
Z305DH7P,2018-01-17,ST4000DM000,0,16.0,11984.0,0.0,0.0,6270.0,18.0,0.0,0.0,11440354031.0,21627135407.0
Z305DH7P,2018-01-18,ST4000DM000,0,16.0,12006.0,0.0,0.0,6274.0,18.0,0.0,0.0,11442298661.0,21653172023.0
Z305DH7P,2018-01-19,ST4000DM000,0,16.0,12031.0,0.0,0.0,6274.0,18.0,0.0,0.0,11445667395.0,21710585843.0
Z305DH7P,2018-01-20,ST4000DM000,0,16.0,12042.0,0.0,0.0,6274.0,18.0,0.0,0.0,11447177165.0,21728087576.0
Z305DH7P,2018-01-21,ST4000DM000,0,16.0,12078.0,0.0,0.0,6276.0,18.0,0.0,0.0,11451656841.0,21783833957.0
Z305DH7P,2018-01-22,ST4000DM000,0,16.0,12103.0,0.0,0.0,6276.0,18.0,0.0,0.0,11453751349.0,21813977383.0
Z305DH7P,2018-01-23,ST4000DM000,0,16.0,12127.0,0.0,0.0,6276.0,18.0,0.0,0.0,11455767145.0,21841674602.0
Z305DH7P,2018-01-24,ST4000DM000,0,16.0,12159.0,0.0,0.0,6276.0,19.0,0.0,0.0,11458498279.0,21884301945.0
Z305DH7P,2018-01-25,ST4000DM000,0,16.0,12183.0,0.0,0.0,6276.0,18.0,0.0,0.0,11460720885.0,21913248554.0
Z305DH7P,2018-01-26,ST4000DM000,0,16.0,12206.0,0.0,0.0,6276.0,18.0,0.0,0.0,11462885439.0,21940846329.0
Z305DH7P,2018-01-27,ST4000DM000,0,16.0,12231.0,0.0,0.0,6276.0,18.0,0.0,0.0,11465070965.0,21969924264.0
