serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305DTVF,2018-01-02,ST4000DM000,0,0.0,13349.0,2.0,0.0,9707.0,17.0,8.0,8.0,12094074209.0,28807474113.0
Z305DTVF,2018-01-03,ST4000DM000,0,0.0,13373.0,2.0,0.0,9707.0,18.0,8.0,8.0,12101155861.0,28836804312.0
Z305DTVF,2018-01-04,ST4000DM000,0,0.0,13385.0,2.0,0.0,9707.0,18.0,8.0,8.0,12103603769.0,28850408434.0
Z305DTVF,2018-01-05,ST4000DM000,0,0.0,13421.0,2.0,0.0,9707.0,18.0,8.0,8.0,12116693281.0,28896050193.0
Z305DTVF,2018-01-06,ST4000DM000,0,0.0,13445.0,2.0,0.0,9707.0,17.0,8.0,8.0,12123858533.0,28926580609.0
Z305DTVF,2018-01-07,ST4000DM000,0,0.0,13469.0,2.0,0.0,9707.0,18.0,8.0,8.0,12133270079.0,28956397318.0
Z305DTVF,2018-01-08,ST4000DM000,0,0.0,13493.0,2.0,0.0,9707.0,17.0,8.0,8.0,12141369807.0,28984035171.0
Z305DTVF,2018-01-09,ST4000DM000,0,0.0,13517.0,2.0,0.0,9707.0,17.0,8.0,8.0,12153028527.0,29017232261.0
Z305DTVF,2018-01-10,ST4000DM000,0,0.0,13540.0,2.0,0.0,9707.0,17.0,8.0,8.0,12160420957.0,29047601104.0
Z305DTVF,2018-01-11,ST4000DM000,0,0.0,13540.0,2.0,0.0,9707.0,17.0,8.0,8.0,12160420957.0,29047601104.0
Z305DTVF,2018-01-12,ST4000DM000,0,0.0,13584.0,2.0,0.0,9713.0,17.0,8.0,8.0,12171045009.0,29119686634.0
Z305DTVF,2018-01-13,ST4000DM000,0,0.0,13609.0,2.0,0.0,9713.0,18.0,8.0,8.0,12175348513.0,29149414486.0
Z305DTVF,2018-01-14,ST4000DM000,0,0.0,13633.0,2.0,0.0,9716.0,17.0,8.0,8.0,12178256705.0,29185289649.0
Z305DTVF,2018-01-15,ST4000DM000,0,0.0,13657.0,2.0,0.0,9716.0,19.0,8.0,8.0,12180702845.0,29214618644.0
Z305DTVF,2018-01-16,ST4000DM000,0,0.0,13681.0,2.0,0.0,9716.0,18.0,8.0,8.0,12182819907.0,29240052444.0
Z305DTVF,2018-01-17,ST4000DM000,0,0.0,13705.0,2.0,0.0,9724.0,18.0,8.0,8.0,12184853377.0,29270706804.0
Z305DTVF,2018-01-18,ST4000DM000,0,0.0,13738.0,2.0,0.0,9724.0,18.0,8.0,8.0,12188642129.0,29318521318.0
Z305DTVF,2018-01-19,ST4000DM000,0,0.0,13762.0,2.0,0.0,9724.0,18.0,8.0,8.0,12190870141.0,29352600225.0
Z305DTVF,2018-01-20,ST4000DM000,0,0.0,13786.0,2.0,0.0,9724.0,17.0,8.0,8.0,12193033015.0,29382261645.0
Z305DTVF,2018-01-21,ST4000DM000,0,0.0,13810.0,2.0,0.0,9724.0,18.0,8.0,8.0,12195188971.0,29408658120.0
Z305DTVF,2018-01-22,ST4000DM000,0,0.0,13834.0,2.0,0.0,9724.0,17.0,8.0,8.0,12197233187.0,29435519624.0
Z305DTVF,2018-01-23,ST4000DM000,0,0.0,13858.0,2.0,0.0,9729.0,17.0,8.0,8.0,12199380113.0,29464335366.0
Z305DTVF,2018-01-24,ST4000DM000,0,0.0,13878.0,2.0,0.0,9731.0,17.0,8.0,8.0,12201033511.0,29490088252.0
Z305DTVF,2018-01-25,ST4000DM000,0,0.0,13902.0,2.0,0.0,9735.0,17.0,8.0,8.0,12203155987.0,29517340395.0
Z305DTVF,2018-01-26,ST4000DM000,0,0.0,13926.0,2.0,0.0,9742.0,17.0,8.0,8.0,12205382869.0,29542227219.0
Z305DTVF,2018-01-27,ST4000DM000,0,0.0,13950.0,2.0,0.0,9742.0,17.0,8.0,8.0,12207590263.0,29571413828.0
Z305DTVF,2018-01-28,ST4000DM000,0,0.0,13974.0,2.0,0.0,9742.0,17.0,8.0,8.0,12210455183.0,29599577507.0
Z305DTVF,2018-01-29,ST4000DM000,0,0.0,13998.0,2.0,0.0,9742.0,17.0,8.0,8.0,12212600149.0,29625875515.0
Z305DTVF,2018-01-30,ST4000DM000,0,0.0,14016.0,2.0,0.0,9742.0,17.0,8.0,8.0,12214082363.0,29647963257.0
Z305DTVF,2018-01-31,ST4000DM000,0,0.0,14041.0,2.0,0.0,9742.0,16.0,8.0,8.0,12217224665.0,29683406902.0
Z305DTVF,2018-02-01,ST4000DM000,0,0.0,14064.0,2.0,0.0,9742.0,17.0,8.0,8.0,12219995433.0,29721793434.0
Z305DTVF,2018-02-02,ST4000DM000,0,0.0,14088.0,2.0,0.0,9742.0,18.0,8.0,8.0,12222396541.0,29751955302.0
Z305DTVF,2018-02-03,ST4000DM000,0,0.0,14113.0,2.0,0.0,9742.0,18.0,8.0,8.0,12224580475.0,29785108283.0
Z305DTVF,2018-02-04,ST4000DM000,0,0.0,14140.0,2.0,0.0,9742.0,17.0,8.0,8.0,12227438043.0,29819164506.0
Z305DTVF,2018-02-05,ST4000DM000,0,0.0,14164.0,2.0,0.0,9742.0,16.0,8.0,8.0,12229719299.0,29854575480.0
Z305DTVF,2018-02-06,ST4000DM000,0,0.0,14189.0,2.0,0.0,9742.0,16.0,8.0,8.0,12231926437.0,29886278342.0
Z305DTVF,2018-02-07,ST4000DM000,0,0.0,14212.0,2.0,0.0,9742.0,16.0,8.0,8.0,12234298873.0,29916660939.0
Z305DTVF,2018-02-08,ST4000DM000,0,0.0,14236.0,2.0,0.0,9742.0,16.0,8.0,8.0,12236276121.0,29948350574.0
