serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305GXQD,2018-01-02,ST4000DM000,0,0.0,16447.0,0.0,0.0,3655.0,30.0,0.0,0.0,39586563872.0,75044083282.0
Z305GXQD,2018-01-03,ST4000DM000,0,0.0,16471.0,0.0,0.0,3655.0,29.0,0.0,0.0,39599169832.0,75206672723.0
Z305GXQD,2018-01-04,ST4000DM000,0,0.0,16483.0,0.0,0.0,3655.0,29.0,0.0,0.0,39609295216.0,75300968105.0
Z305GXQD,2018-01-05,ST4000DM000,0,0.0,16511.0,0.0,0.0,3658.0,29.0,0.0,0.0,39622432208.0,75511073211.0
Z305GXQD,2018-01-06,ST4000DM000,0,0.0,16535.0,0.0,0.0,3658.0,27.0,0.0,0.0,39644163512.0,75669085383.0
Z305GXQD,2018-01-07,ST4000DM000,0,0.0,16559.0,0.0,0.0,3658.0,27.0,0.0,0.0,39656193336.0,75832435195.0
Z305GXQD,2018-01-08,ST4000DM000,0,0.0,16582.0,0.0,0.0,3658.0,27.0,0.0,0.0,39659705232.0,76008394713.0
Z305GXQD,2018-01-09,ST4000DM000,0,0.0,16607.0,0.0,0.0,3658.0,27.0,0.0,0.0,39663416040.0,76200572499.0
Z305GXQD,2018-01-10,ST4000DM000,0,0.0,16631.0,0.0,0.0,3658.0,27.0,0.0,0.0,39667425672.0,76406281065.0
Z305GXQD,2018-01-11,ST4000DM000,0,0.0,16652.0,0.0,0.0,3658.0,29.0,0.0,0.0,39673121216.0,76589132856.0
Z305GXQD,2018-01-12,ST4000DM000,0,0.0,16677.0,0.0,0.0,3660.0,27.0,0.0,0.0,39678476056.0,76797760620.0
Z305GXQD,2018-01-13,ST4000DM000,0,0.0,16701.0,0.0,0.0,3660.0,28.0,0.0,0.0,39680727328.0,76989904300.0
Z305GXQD,2018-01-14,ST4000DM000,0,0.0,16724.0,0.0,0.0,3661.0,27.0,0.0,0.0,39685263672.0,77141107030.0
Z305GXQD,2018-01-15,ST4000DM000,0,0.0,16749.0,0.0,0.0,3661.0,28.0,0.0,0.0,39689526104.0,77317426271.0
Z305GXQD,2018-01-16,ST4000DM000,0,0.0,16773.0,0.0,0.0,3661.0,28.0,0.0,0.0,39693270592.0,77483137161.0
Z305GXQD,2018-01-17,ST4000DM000,0,0.0,16797.0,0.0,0.0,3661.0,28.0,0.0,0.0,39697830648.0,77662978543.0
Z305GXQD,2018-01-18,ST4000DM000,0,0.0,16824.0,0.0,0.0,3661.0,27.0,0.0,0.0,39710635168.0,77861612865.0
Z305GXQD,2018-01-19,ST4000DM000,0,0.0,16848.0,0.0,0.0,3663.0,27.0,0.0,0.0,39732247056.0,78058554848.0
Z305GXQD,2018-01-20,ST4000DM000,0,0.0,16872.0,0.0,0.0,3663.0,28.0,0.0,0.0,39747495352.0,78213118361.0
Z305GXQD,2018-01-21,ST4000DM000,0,0.0,16896.0,0.0,0.0,3663.0,29.0,0.0,0.0,39771123080.0,78367606425.0
Z305GXQD,2018-01-22,ST4000DM000,0,0.0,16920.0,0.0,0.0,3663.0,28.0,0.0,0.0,39786571768.0,78547316982.0
Z305GXQD,2018-01-23,ST4000DM000,0,0.0,16944.0,0.0,0.0,3663.0,27.0,0.0,0.0,39815103064.0,78681723008.0
Z305GXQD,2018-01-24,ST4000DM000,0,0.0,16976.0,0.0,0.0,3663.0,28.0,0.0,0.0,39846535520.0,78924736293.0
Z305GXQD,2018-01-25,ST4000DM000,0,0.0,16992.0,0.0,0.0,3663.0,27.0,0.0,0.0,39861102520.0,79051846907.0
Z305GXQD,2018-01-26,ST4000DM000,0,0.0,17016.0,0.0,0.0,3665.0,26.0,0.0,0.0,39882716568.0,79242935171.0
Z305GXQD,2018-01-27,ST4000DM000,0,0.0,17040.0,0.0,0.0,3665.0,26.0,0.0,0.0,39897228232.0,79476953730.0
Z305GXQD,2018-01-28,ST4000DM000,0,0.0,17064.0,0.0,0.0,3665.0,26.0,0.0,0.0,39918488840.0,79610929111.0
Z305GXQD,2018-01-29,ST4000DM000,0,0.0,17088.0,0.0,0.0,3665.0,26.0,0.0,0.0,39949048368.0,79764607256.0
Z305GXQD,2018-01-30,ST4000DM000,0,0.0,17121.0,0.0,0.0,3667.0,27.0,0.0,0.0,39977482240.0,79987469691.0
Z305GXQD,2018-01-31,ST4000DM000,0,0.0,17145.0,0.0,0.0,3667.0,27.0,0.0,0.0,39987578816.0,80153411018.0
Z305GXQD,2018-02-01,ST4000DM000,0,0.0,17168.0,0.0,0.0,3667.0,27.0,0.0,0.0,40000630896.0,80330975667.0
Z305GXQD,2018-02-02,ST4000DM000,0,0.0,17192.0,0.0,0.0,3667.0,27.0,0.0,0.0,40014790120.0,80496652983.0
Z305GXQD,2018-02-03,ST4000DM000,0,0.0,17216.0,0.0,0.0,3667.0,27.0,0.0,0.0,40030502272.0,80641647514.0
Z305GXQD,2018-02-04,ST4000DM000,0,0.0,17236.0,0.0,0.0,3667.0,27.0,0.0,0.0,40045344512.0,80750831571.0
Z305GXQD,2018-02-05,ST4000DM000,0,0.0,17261.0,0.0,0.0,3667.0,27.0,0.0,0.0,40061951312.0,80943290112.0
Z305GXQD,2018-02-06,ST4000DM000,0,0.0,17285.0,0.0,0.0,3667.0,26.0,0.0,0.0,40077387128.0,81078911128.0
Z305GXQD,2018-02-07,ST4000DM000,0,0.0,17308.0,0.0,0.0,3667.0,26.0,0.0,0.0,40091223912.0,81260025931.0
Z305GXQD,2018-02-08,ST4000DM000,0,0.0,17334.0,0.0,0.0,3671.0,27.0,0.0,0.0,40109294016.0,81444821904.0
Z305GXQD,2018-02-09,ST4000DM000,0,0.0,17359.0,0.0,0.0,3671.0,28.0,0.0,0.0,40130052408.0,81626280506.0
Z305GXQD,2018-02-10,ST4000DM000,0,0.0,17383.0,0.0,0.0,3671.0,27.0,0.0,0.0,40139527048.0,81763809441.0
Z305GXQD,2018-02-11,ST4000DM000,0,0.0,17407.0,0.0,0.0,3671.0,33.0,0.0,0.0,40149858088.0,81886875267.0
Z305GXQD,2018-02-12,ST4000DM000,0,0.0,17430.0,0.0,0.0,3671.0,28.0,0.0,0.0,40157926816.0,82038914140.0
Z305GXQD,2018-02-13,ST4000DM000,0,0.0,17454.0,0.0,0.0,3671.0,28.0,0.0,0.0,40178193160.0,82187362789.0
Z305GXQD,2018-02-14,ST4000DM000,0,0.0,17478.0,0.0,0.0,3671.0,28.0,0.0,0.0,40191747360.0,82347286419.0
Z305GXQD,2018-02-15,ST4000DM000,0,0.0,17502.0,0.0,0.0,3671.0,28.0,0.0,0.0,40210893832.0,82505768983.0
Z305GXQD,2018-02-16,ST4000DM000,0,0.0,17526.0,0.0,0.0,3671.0,28.0,0.0,0.0,40237181960.0,82687116017.0
Z305GXQD,2018-02-17,ST4000DM000,0,0.0,17550.0,0.0,0.0,3671.0,30.0,0.0,0.0,40250323520.0,82846953230.0
Z305GXQD,2018-02-18,ST4000DM000,0,0.0,17574.0,0.0,0.0,3671.0,30.0,0.0,0.0,40268155816.0,82998651541.0
Z305GXQD,2018-02-19,ST4000DM000,0,0.0,17598.0,0.0,0.0,3671.0,30.0,0.0,0.0,40276741248.0,83157418492.0
Z305GXQD,2018-02-20,ST4000DM000,0,0.0,17623.0,0.0,0.0,3671.0,30.0,0.0,0.0,40291190232.0,83333797549.0
