serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305KVMN,2018-01-02,ST4000DM000,0,8.0,15800.0,8.0,0.0,4033.0,23.0,0.0,0.0,35338706944.0,63291967931.0
Z305KVMN,2018-01-03,ST4000DM000,0,8.0,15824.0,8.0,0.0,4033.0,22.0,0.0,0.0,35364946784.0,63448435875.0
Z305KVMN,2018-01-04,ST4000DM000,0,8.0,15840.0,8.0,0.0,4033.0,22.0,0.0,0.0,35381059200.0,63578685686.0
Z305KVMN,2018-01-05,ST4000DM000,0,8.0,15864.0,8.0,0.0,4034.0,22.0,0.0,0.0,35416155280.0,63718495253.0
Z305KVMN,2018-01-06,ST4000DM000,0,8.0,15888.0,8.0,0.0,4034.0,25.0,0.0,0.0,35441976904.0,63885817348.0
Z305KVMN,2018-01-07,ST4000DM000,0,8.0,15912.0,8.0,0.0,4034.0,25.0,0.0,0.0,35461089064.0,64055272271.0
Z305KVMN,2018-01-08,ST4000DM000,0,8.0,15936.0,8.0,0.0,4034.0,24.0,0.0,0.0,35484268552.0,64279580461.0
Z305KVMN,2018-01-09,ST4000DM000,0,8.0,15960.0,8.0,0.0,4034.0,23.0,0.0,0.0,35499167360.0,64467343162.0
Z305KVMN,2018-01-10,ST4000DM000,0,8.0,15985.0,8.0,0.0,4034.0,25.0,0.0,0.0,35511795104.0,64655768433.0
Z305KVMN,2018-01-11,ST4000DM000,0,8.0,16006.0,8.0,0.0,4035.0,24.0,0.0,0.0,35514807872.0,64793257359.0
Z305KVMN,2018-01-12,ST4000DM000,0,8.0,16030.0,8.0,0.0,4039.0,24.0,0.0,0.0,35522142392.0,64990233501.0
Z305KVMN,2018-01-13,ST4000DM000,0,8.0,16054.0,8.0,0.0,4039.0,24.0,0.0,0.0,35529412368.0,65174284278.0
Z305KVMN,2018-01-14,ST4000DM000,0,8.0,16078.0,8.0,0.0,4039.0,25.0,0.0,0.0,35532888264.0,65324984731.0
Z305KVMN,2018-01-15,ST4000DM000,0,8.0,16102.0,8.0,0.0,4039.0,23.0,0.0,0.0,35542572928.0,65446680140.0
Z305KVMN,2018-01-16,ST4000DM000,0,8.0,16126.0,8.0,0.0,4039.0,25.0,0.0,0.0,35550512720.0,65607290109.0
Z305KVMN,2018-01-17,ST4000DM000,0,8.0,16150.0,8.0,0.0,4039.0,25.0,0.0,0.0,35557725176.0,65766893884.0
Z305KVMN,2018-01-18,ST4000DM000,0,8.0,16179.0,8.0,0.0,4039.0,26.0,0.0,0.0,35572856976.0,65926584508.0
Z305KVMN,2018-01-19,ST4000DM000,0,8.0,16203.0,8.0,0.0,4041.0,23.0,0.0,0.0,35578580552.0,66053648477.0
Z305KVMN,2018-01-20,ST4000DM000,0,8.0,16227.0,8.0,0.0,4041.0,24.0,0.0,0.0,35587539880.0,66203491795.0
Z305KVMN,2018-01-21,ST4000DM000,0,8.0,16251.0,8.0,0.0,4041.0,23.0,0.0,0.0,35593339376.0,66353692388.0
Z305KVMN,2018-01-22,ST4000DM000,0,8.0,16274.0,8.0,0.0,4041.0,24.0,0.0,0.0,35603279648.0,66555028708.0
Z305KVMN,2018-01-23,ST4000DM000,0,8.0,16299.0,8.0,0.0,4041.0,24.0,0.0,0.0,35611491512.0,66706490250.0
Z305KVMN,2018-01-24,ST4000DM000,0,8.0,16323.0,8.0,0.0,4041.0,25.0,0.0,0.0,35617552328.0,66871758729.0
Z305KVMN,2018-01-25,ST4000DM000,0,8.0,16348.0,8.0,0.0,4041.0,22.0,0.0,0.0,35625763200.0,66951237946.0
Z305KVMN,2018-01-26,ST4000DM000,0,8.0,16372.0,8.0,0.0,4044.0,24.0,0.0,0.0,35634266776.0,67136254576.0
Z305KVMN,2018-01-27,ST4000DM000,0,8.0,16396.0,8.0,0.0,4044.0,25.0,0.0,0.0,35638291208.0,67260775365.0
Z305KVMN,2018-01-28,ST4000DM000,0,8.0,16420.0,8.0,0.0,4044.0,24.0,0.0,0.0,35642775640.0,67377024838.0
Z305KVMN,2018-01-29,ST4000DM000,0,8.0,16444.0,8.0,0.0,4044.0,23.0,0.0,0.0,35653471072.0,71867743486.0
Z305KVMN,2018-01-30,ST4000DM000,0,8.0,16462.0,8.0,0.0,4044.0,25.0,0.0,0.0,35659822920.0,71924738797.0
Z305KVMN,2018-01-31,ST4000DM000,0,8.0,16486.0,8.0,0.0,4045.0,25.0,0.0,0.0,35670836480.0,72077116652.0
Z305KVMN,2018-02-01,ST4000DM000,0,8.0,16510.0,8.0,0.0,4045.0,23.0,0.0,0.0,35677924704.0,72223942689.0
Z305KVMN,2018-02-02,ST4000DM000,0,8.0,16534.0,8.0,0.0,4045.0,26.0,0.0,0.0,35682096008.0,72399299310.0
Z305KVMN,2018-02-03,ST4000DM000,0,8.0,16558.0,8.0,0.0,4045.0,24.0,0.0,0.0,35684615936.0,72543625511.0
Z305KVMN,2018-02-04,ST4000DM000,0,8.0,16590.0,8.0,0.0,4045.0,23.0,0.0,0.0,35687641808.0,72663047611.0
Z305KVMN,2018-02-05,ST4000DM000,0,8.0,16614.0,8.0,0.0,4045.0,24.0,0.0,0.0,35692988456.0,72797325908.0
Z305KVMN,2018-02-06,ST4000DM000,0,8.0,16638.0,8.0,0.0,4045.0,26.0,0.0,0.0,35696539688.0,72928970786.0
Z305KVMN,2018-02-07,ST4000DM000,0,8.0,16662.0,8.0,0.0,4046.0,24.0,0.0,0.0,35701281144.0,73004291691.0
Z305KVMN,2018-02-08,ST4000DM000,0,8.0,16689.0,8.0,0.0,4047.0,25.0,0.0,0.0,35709081184.0,73102104199.0
Z305KVMN,2018-02-09,ST4000DM000,0,8.0,16713.0,8.0,0.0,4047.0,23.0,0.0,0.0,35711344528.0,73214635244.0
Z305KVMN,2018-02-10,ST4000DM000,0,8.0,16736.0,8.0,0.0,4047.0,24.0,0.0,0.0,35713226888.0,73335666600.0
Z305KVMN,2018-02-11,ST4000DM000,0,8.0,16761.0,8.0,0.0,4047.0,24.0,0.0,0.0,35714698792.0,73479072862.0
Z305KVMN,2018-02-12,ST4000DM000,0,8.0,16785.0,8.0,0.0,4047.0,23.0,0.0,0.0,35720211200.0,73631777864.0
Z305KVMN,2018-02-13,ST4000DM000,0,8.0,16809.0,8.0,0.0,4047.0,25.0,0.0,0.0,35722438856.0,73754481397.0
Z305KVMN,2018-02-14,ST4000DM000,0,8.0,16832.0,8.0,0.0,4047.0,25.0,0.0,0.0,35726836376.0,73826748574.0
Z305KVMN,2018-02-15,ST4000DM000,0,8.0,16856.0,8.0,0.0,4047.0,24.0,0.0,0.0,35731225848.0,73969667497.0
Z305KVMN,2018-02-16,ST4000DM000,0,8.0,16881.0,8.0,0.0,4047.0,25.0,0.0,0.0,35737234408.0,74119597009.0
Z305KVMN,2018-02-17,ST4000DM000,0,8.0,16905.0,8.0,0.0,4047.0,25.0,0.0,0.0,35743221248.0,74254578989.0
Z305KVMN,2018-02-18,ST4000DM000,0,8.0,16929.0,8.0,0.0,4047.0,23.0,0.0,0.0,35748697432.0,74395029971.0
Z305KVMN,2018-02-19,ST4000DM000,0,8.0,16953.0,8.0,0.0,4047.0,24.0,0.0,0.0,35755569904.0,74528084013.0
Z305KVMN,2018-02-20,ST4000DM000,0,8.0,16976.0,8.0,0.0,4047.0,25.0,0.0,0.0,35758015920.0,74628030950.0
Z305KVMN,2018-02-21,ST4000DM000,0,8.0,17001.0,8.0,0.0,4049.0,25.0,0.0,0.0,35762907328.0,74719894199.0
Z305KVMN,2018-02-22,ST4000DM000,0,8.0,17022.0,8.0,0.0,4052.0,25.0,0.0,0.0,35764265024.0,74773576981.0
Z305KVMN,2018-02-23,ST4000DM000,0,8.0,17046.0,8.0,0.0,4052.0,24.0,0.0,0.0,35766230304.0,74899819740.0
Z305KVMN,2018-02-24,ST4000DM000,0,8.0,17070.0,8.0,0.0,4052.0,24.0,0.0,0.0,35767900104.0,75051455357.0
Z305KVMN,2018-02-25,ST4000DM000,0,8.0,17095.0,8.0,0.0,4052.0,25.0,0.0,0.0,35770630768.0,75181883906.0
Z305KVMN,2018-02-26,ST4000DM000,0,8.0,17118.0,8.0,0.0,4052.0,23.0,0.0,0.0,35777547728.0,75336084520.0
Z305KVMN,2018-02-27,ST4000DM000,0,8.0,17142.0,8.0,0.0,4052.0,25.0,0.0,0.0,35786525096.0,75520879160.0
Z305KVMN,2018-02-28,ST4000DM000,0,8.0,17166.0,8.0,0.0,4052.0,23.0,0.0,0.0,35792886632.0,75684279136.0
Z305KVMN,2018-03-01,ST4000DM000,0,8.0,17185.0,8.0,0.0,4052.0,25.0,0.0,0.0,35798764984.0,75782222440.0
Z305KVMN,2018-03-02,ST4000DM000,0,8.0,17210.0,8.0,0.0,4055.0,23.0,0.0,0.0,35801456024.0,75937187117.0
Z305KVMN,2018-03-03,ST4000DM000,0,8.0,17234.0,8.0,0.0,4055.0,26.0,0.0,0.0,35810856400.0,76113049428.0
Z305KVMN,2018-03-04,ST4000DM000,0,8.0,17258.0,8.0,0.0,4055.0,23.0,0.0,0.0,35823250264.0,76300232068.0
Z305KVMN,2018-03-05,ST4000DM000,0,8.0,17282.0,8.0,0.0,4055.0,24.0,0.0,0.0,35846236824.0,76504440368.0
Z305KVMN,2018-03-06,ST4000DM000,0,8.0,17310.0,8.0,0.0,4056.0,24.0,0.0,0.0,35867241128.0,76692546690.0
Z305KVMN,2018-03-07,ST4000DM000,0,8.0,17334.0,8.0,0.0,4056.0,27.0,0.0,0.0,35874399824.0,76860349558.0
Z305KVMN,2018-03-08,ST4000DM000,0,8.0,17357.0,8.0,0.0,4057.0,24.0,0.0,0.0,35883084096.0,76988968187.0
Z305KVMN,2018-03-09,ST4000DM000,0,8.0,17379.0,8.0,0.0,4067.0,24.0,0.0,0.0,35889742384.0,77118304779.0
Z305KVMN,2018-03-10,ST4000DM000,0,8.0,17403.0,8.0,0.0,4067.0,24.0,0.0,0.0,35897118032.0,77287267408.0
Z305KVMN,2018-03-11,ST4000DM000,0,8.0,17427.0,8.0,0.0,4067.0,25.0,0.0,0.0,35912769936.0,77494680105.0
Z305KVMN,2018-03-12,ST4000DM000,0,8.0,17452.0,8.0,0.0,4067.0,24.0,0.0,0.0,35923855560.0,77693171149.0
Z305KVMN,2018-03-13,ST4000DM000,0,8.0,17475.0,8.0,0.0,4067.0,25.0,0.0,0.0,35937743352.0,77874575509.0
Z305KVMN,2018-03-14,ST4000DM000,0,8.0,17499.0,8.0,0.0,4067.0,25.0,0.0,0.0,35948062008.0,78005062825.0
Z305KVMN,2018-03-15,ST4000DM000,0,8.0,17521.0,8.0,0.0,4067.0,25.0,0.0,0.0,35965845880.0,78059547686.0
Z305KVMN,2018-03-16,ST4000DM000,0,8.0,17545.0,8.0,0.0,4070.0,25.0,0.0,0.0,36000833024.0,78124731078.0
Z305KVMN,2018-03-17,ST4000DM000,0,8.0,17569.0,8.0,0.0,4070.0,23.0,0.0,0.0,36006866480.0,78281658745.0
Z305KVMN,2018-03-18,ST4000DM000,0,8.0,17593.0,8.0,0.0,4070.0,23.0,0.0,0.0,36015156464.0,78440580106.0
Z305KVMN,2018-03-19,ST4000DM000,0,8.0,17617.0,8.0,0.0,4070.0,23.0,0.0,0.0,36025026048.0,78604022002.0
Z305KVMN,2018-03-20,ST4000DM000,0,8.0,17641.0,8.0,0.0,4070.0,23.0,0.0,0.0,36035421984.0,78733031874.0
Z305KVMN,2018-03-21,ST4000DM000,0,8.0,17665.0,8.0,0.0,4070.0,25.0,0.0,0.0,36052910000.0,78872107657.0
Z305KVMN,2018-03-22,ST4000DM000,0,8.0,17689.0,8.0,0.0,4070.0,25.0,0.0,0.0,36068127104.0,78989980027.0
Z305KVMN,2018-03-23,ST4000DM000,0,8.0,17713.0,8.0,0.0,4070.0,24.0,0.0,0.0,36081581904.0,79152567838.0
Z305KVMN,2018-03-24,ST4000DM000,0,8.0,17737.0,8.0,0.0,4070.0,23.0,0.0,0.0,36096286704.0,79317485817.0
Z305KVMN,2018-03-25,ST4000DM000,0,8.0,17761.0,8.0,0.0,4070.0,25.0,0.0,0.0,36113679432.0,79459992284.0
Z305KVMN,2018-03-26,ST4000DM000,0,8.0,17785.0,8.0,0.0,4070.0,25.0,0.0,0.0,36127867288.0,79640746126.0
Z305KVMN,2018-03-27,ST4000DM000,0,8.0,17809.0,8.0,0.0,4070.0,22.0,0.0,0.0,36144404928.0,79771052485.0
Z305KVMN,2018-03-28,ST4000DM000,0,8.0,17833.0,8.0,0.0,4070.0,24.0,0.0,0.0,36158436760.0,79886160383.0
Z305KVMN,2018-03-29,ST4000DM000,0,8.0,17865.0,8.0,0.0,4073.0,23.0,0.0,0.0,36177664232.0,80089154716.0
Z305KVMN,2018-03-30,ST4000DM000,0,8.0,17889.0,8.0,0.0,4073.0,25.0,0.0,0.0,36186188304.0,80191698109.0
Z305KVMN,2018-03-31,ST4000DM000,0,8.0,17913.0,8.0,0.0,4073.0,25.0,0.0,0.0,36199800528.0,80305927663.0
Z305KVMN,2018-04-01,ST4000DM000,0,8.0,17936.0,8.0,0.0,4073.0,25.0,0.0,0.0,36214685208.0,80460925282.0
Z305KVMN,2018-04-02,ST4000DM000,0,8.0,17961.0,8.0,0.0,4073.0,24.0,0.0,0.0,36225759976.0,80645959248.0
Z305KVMN,2018-04-03,ST4000DM000,0,8.0,17985.0,8.0,0.0,4073.0,24.0,0.0,0.0,36242406240.0,80772425180.0
Z305KVMN,2018-04-04,ST4000DM000,0,8.0,18009.0,8.0,0.0,4073.0,25.0,0.0,0.0,36259928720.0,80870236039.0
Z305KVMN,2018-04-05,ST4000DM000,0,8.0,18032.0,8.0,0.0,4073.0,23.0,0.0,0.0,36282793576.0,80966247137.0
Z305KVMN,2018-04-06,ST4000DM000,0,8.0,18056.0,8.0,0.0,4073.0,25.0,0.0,0.0,36301101408.0,81083197926.0
Z305KVMN,2018-04-07,ST4000DM000,0,8.0,18081.0,8.0,0.0,4073.0,24.0,0.0,0.0,36322282112.0,81169559295.0
Z305KVMN,2018-04-08,ST4000DM000,0,8.0,18105.0,8.0,0.0,4073.0,24.0,0.0,0.0,36339151312.0,81261009531.0
Z305KVMN,2018-04-09,ST4000DM000,0,8.0,18128.0,8.0,0.0,4073.0,25.0,0.0,0.0,36362732760.0,81402213786.0
Z305KVMN,2018-04-10,ST4000DM000,0,8.0,18153.0,8.0,0.0,4073.0,23.0,0.0,0.0,36381054864.0,81512048007.0
Z305KVMN,2018-04-11,ST4000DM000,0,8.0,18177.0,8.0,0.0,4073.0,23.0,0.0,0.0,36402268656.0,81630428878.0
Z305KVMN,2018-04-12,ST4000DM000,0,8.0,18193.0,8.0,0.0,4073.0,24.0,0.0,0.0,36409212432.0,81727664087.0
Z305KVMN,2018-04-13,ST4000DM000,0,8.0,18217.0,8.0,0.0,4075.0,23.0,0.0,0.0,36419138600.0,81860384479.0
Z305KVMN,2018-04-14,ST4000DM000,0,8.0,18242.0,8.0,0.0,4075.0,23.0,0.0,0.0,36440960584.0,81968690589.0
Z305KVMN,2018-04-15,ST4000DM000,0,8.0,18265.0,8.0,0.0,4075.0,25.0,0.0,0.0,36457570048.0,82081621869.0
Z305KVMN,2018-04-16,ST4000DM000,0,8.0,18289.0,8.0,0.0,4075.0,24.0,0.0,0.0,36470978544.0,82212673411.0
Z305KVMN,2018-04-17,ST4000DM000,0,8.0,18313.0,8.0,0.0,4075.0,26.0,0.0,0.0,36489152520.0,82336870725.0
Z305KVMN,2018-04-18,ST4000DM000,0,8.0,18337.0,8.0,0.0,4075.0,25.0,0.0,0.0,36503156632.0,82489241144.0
Z305KVMN,2018-04-19,ST4000DM000,0,8.0,18361.0,8.0,0.0,4075.0,23.0,0.0,0.0,36522414784.0,82571476956.0
Z305KVMN,2018-04-20,ST4000DM000,0,8.0,18386.0,8.0,0.0,4075.0,24.0,0.0,0.0,36539138400.0,82687892822.0
Z305KVMN,2018-04-21,ST4000DM000,0,8.0,18409.0,8.0,0.0,4075.0,24.0,0.0,0.0,36554181320.0,82773601901.0
Z305KVMN,2018-04-22,ST4000DM000,0,8.0,18433.0,8.0,0.0,4075.0,22.0,0.0,0.0,36565119872.0,82842998040.0
Z305KVMN,2018-04-23,ST4000DM000,0,8.0,18458.0,8.0,0.0,4075.0,22.0,0.0,0.0,36589179248.0,83002047687.0
Z305KVMN,2018-04-24,ST4000DM000,0,8.0,18481.0,8.0,0.0,4075.0,25.0,0.0,0.0,36610803464.0,83136829492.0
Z305KVMN,2018-04-25,ST4000DM000,0,8.0,18505.0,8.0,0.0,4075.0,22.0,0.0,0.0,36624879896.0,83250381890.0
Z305KVMN,2018-04-26,ST4000DM000,0,8.0,18529.0,8.0,0.0,4075.0,24.0,0.0,0.0,36654840328.0,83324842812.0
Z305KVMN,2018-04-27,ST4000DM000,0,8.0,18560.0,8.0,0.0,4076.0,24.0,0.0,0.0,36689715168.0,83491319684.0
Z305KVMN,2018-04-28,ST4000DM000,0,8.0,18584.0,8.0,0.0,4076.0,25.0,0.0,0.0,36708874104.0,83623023077.0
Z305KVMN,2018-04-29,ST4000DM000,0,8.0,18608.0,8.0,0.0,4076.0,23.0,0.0,0.0,36723816912.0,83744341187.0
Z305KVMN,2018-04-30,ST4000DM000,0,8.0,18632.0,8.0,0.0,4076.0,24.0,0.0,0.0,36742764544.0,83889748355.0
Z305KVMN,2018-05-01,ST4000DM000,0,8.0,18656.0,8.0,0.0,4076.0,24.0,0.0,0.0,36757179208.0,84021040465.0
Z305KVMN,2018-05-02,ST4000DM000,0,8.0,18680.0,8.0,0.0,4076.0,22.0,0.0,0.0,36774643224.0,84161766289.0
Z305KVMN,2018-05-03,ST4000DM000,0,8.0,18697.0,8.0,0.0,4076.0,22.0,0.0,0.0,36792159136.0,84279109139.0
Z305KVMN,2018-05-04,ST4000DM000,0,8.0,18721.0,8.0,0.0,4077.0,22.0,0.0,0.0,36804514408.0,84453592618.0
Z305KVMN,2018-05-05,ST4000DM000,0,8.0,18745.0,8.0,0.0,4077.0,23.0,0.0,0.0,36824380728.0,84608561825.0
Z305KVMN,2018-05-06,ST4000DM000,0,8.0,18770.0,8.0,0.0,4077.0,25.0,0.0,0.0,36858514664.0,84779612450.0
Z305KVMN,2018-05-07,ST4000DM000,0,8.0,18794.0,8.0,0.0,4077.0,24.0,0.0,0.0,36873752976.0,84978646376.0
Z305KVMN,2018-05-08,ST4000DM000,0,8.0,18817.0,8.0,0.0,4077.0,22.0,0.0,0.0,36891586616.0,85178489227.0
Z305KVMN,2018-05-09,ST4000DM000,0,8.0,18841.0,8.0,0.0,4077.0,23.0,0.0,0.0,36909409080.0,85343715293.0
Z305KVMN,2018-05-10,ST4000DM000,0,8.0,18866.0,8.0,0.0,4077.0,24.0,0.0,0.0,36929851728.0,85489995736.0
Z305KVMN,2018-05-11,ST4000DM000,0,8.0,18890.0,8.0,0.0,4080.0,24.0,0.0,0.0,36942533096.0,85648687327.0
Z305KVMN,2018-05-12,ST4000DM000,0,8.0,18914.0,8.0,0.0,4080.0,24.0,0.0,0.0,36960433096.0,85833627711.0
Z305KVMN,2018-05-13,ST4000DM000,0,8.0,18938.0,8.0,0.0,4080.0,23.0,0.0,0.0,36972788408.0,86012839422.0
Z305KVMN,2018-05-14,ST4000DM000,0,8.0,18962.0,8.0,0.0,4080.0,23.0,0.0,0.0,36985606160.0,86219153171.0
