serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z307P18F,2018-01-23,ST4000DM000,0,0.0,11.0,0.0,0.0,5.0,29.0,0.0,0.0,98296368.0,107616.0
Z307P18F,2018-01-24,ST4000DM000,0,0.0,35.0,0.0,0.0,1156.0,28.0,0.0,0.0,122632368.0,257754.0
Z307P18F,2018-01-25,ST4000DM000,0,0.0,52.0,0.0,0.0,2119.0,27.0,0.0,0.0,122632400.0,367098.0
Z307P18F,2018-01-26,ST4000DM000,0,0.0,77.0,0.0,0.0,3523.0,27.0,0.0,0.0,122632432.0,524378.0
Z307P18F,2018-01-27,ST4000DM000,0,0.0,100.0,0.0,0.0,4926.0,27.0,0.0,0.0,122632464.0,681658.0
Z307P18F,2018-01-28,ST4000DM000,0,0.0,125.0,0.0,0.0,6331.0,26.0,0.0,0.0,122632496.0,839034.0
Z307P18F,2018-01-29,ST4000DM000,0,0.0,148.0,0.0,0.0,7675.0,26.0,0.0,0.0,122632528.0,989530.0
Z307P18F,2018-01-30,ST4000DM000,0,0.0,181.0,0.0,0.0,9570.0,27.0,0.0,0.0,122632560.0,1201466.0
Z307P18F,2018-01-31,ST4000DM000,0,0.0,205.0,0.0,0.0,10973.0,28.0,0.0,0.0,122632592.0,1358618.0
Z307P18F,2018-02-01,ST4000DM000,0,0.0,229.0,0.0,0.0,12258.0,28.0,0.0,0.0,122632624.0,1503114.0
Z307P18F,2018-02-02,ST4000DM000,0,0.0,253.0,0.0,0.0,13722.0,28.0,0.0,0.0,122632656.0,1667122.0
Z307P18F,2018-02-03,ST4000DM000,0,0.0,277.0,0.0,0.0,15125.0,27.0,0.0,0.0,122632688.0,1824290.0
Z307P18F,2018-02-04,ST4000DM000,0,0.0,297.0,0.0,0.0,16285.0,28.0,0.0,0.0,122632720.0,1954138.0
Z307P18F,2018-02-05,ST4000DM000,0,0.0,321.0,0.0,0.0,17690.0,27.0,0.0,0.0,122632752.0,2111330.0
Z307P18F,2018-02-06,ST4000DM000,0,0.0,345.0,0.0,0.0,18975.0,28.0,0.0,0.0,122632784.0,2254906.0
Z307P18F,2018-02-07,ST4000DM000,0,0.0,369.0,0.0,0.0,20202.0,27.0,0.0,0.0,122632816.0,2391578.0
Z307P18F,2018-02-08,ST4000DM000,0,0.0,395.0,0.0,0.0,21610.0,28.0,0.0,0.0,122632848.0,2548786.0
Z307P18F,2018-02-09,ST4000DM000,0,0.0,418.0,0.0,0.0,22720.0,28.0,0.0,0.0,122632880.0,2671834.0
Z307P18F,2018-02-10,ST4000DM000,0,0.0,443.0,0.0,0.0,23888.0,27.0,0.0,0.0,122632912.0,2801706.0
Z307P18F,2018-02-11,ST4000DM000,0,0.0,466.0,0.0,0.0,25050.0,26.0,0.0,0.0,122632944.0,2931650.0
Z307P18F,2018-02-12,ST4000DM000,0,0.0,490.0,0.0,0.0,26160.0,27.0,0.0,0.0,122632976.0,3054738.0
Z307P18F,2018-02-13,ST4000DM000,0,0.0,514.0,0.0,0.0,27447.0,26.0,0.0,0.0,122633008.0,3198242.0
Z307P18F,2018-02-14,ST4000DM000,0,0.0,538.0,0.0,0.0,28794.0,26.0,0.0,0.0,122633040.0,3348594.0
Z307P18F,2018-02-15,ST4000DM000,0,0.0,562.0,0.0,0.0,30198.0,28.0,0.0,0.0,122633072.0,3505810.0
Z307P18F,2018-02-16,ST4000DM000,0,0.0,586.0,0.0,0.0,31601.0,26.0,0.0,0.0,122633104.0,3662986.0
Z307P18F,2018-02-17,ST4000DM000,0,0.0,611.0,0.0,0.0,33065.0,26.0,0.0,0.0,122633136.0,3827026.0
Z307P18F,2018-02-18,ST4000DM000,0,0.0,634.0,0.0,0.0,34468.0,27.0,0.0,0.0,122633168.0,3984186.0
Z307P18F,2018-02-19,ST4000DM000,0,0.0,659.0,0.0,0.0,35873.0,26.0,0.0,0.0,122633200.0,4141378.0
Z307P18F,2018-02-20,ST4000DM000,0,0.0,683.0,0.0,0.0,37219.0,26.0,0.0,0.0,122633232.0,4291794.0
Z307P18F,2018-02-21,ST4000DM000,0,0.0,707.0,0.0,0.0,38507.0,26.0,0.0,0.0,122633264.0,4435394.0
Z307P18F,2018-02-22,ST4000DM000,0,0.0,733.0,0.0,0.0,40035.0,26.0,0.0,0.0,122633296.0,4606282.0
Z307P18F,2018-02-23,ST4000DM000,0,0.0,757.0,0.0,0.0,41260.0,27.0,0.0,0.0,122633328.0,4743098.0
Z307P18F,2018-02-24,ST4000DM000,0,0.0,781.0,0.0,0.0,42369.0,27.0,0.0,0.0,122633360.0,4866170.0
Z307P18F,2018-02-25,ST4000DM000,0,0.0,805.0,0.0,0.0,43308.0,27.0,0.0,0.0,122633392.0,4968706.0
Z307P18F,2018-02-26,ST4000DM000,0,0.0,829.0,0.0,0.0,44241.0,26.0,0.0,0.0,122633424.0,5071266.0
Z307P18F,2018-02-27,ST4000DM000,0,0.0,853.0,0.0,0.0,45233.0,26.0,0.0,0.0,122633456.0,5180602.0
Z307P18F,2018-02-28,ST4000DM000,0,0.0,877.0,0.0,0.0,46168.0,26.0,0.0,0.0,122633488.0,5283138.0
Z307P18F,2018-03-01,ST4000DM000,0,0.0,900.0,0.0,0.0,47100.0,27.0,0.0,0.0,122633520.0,5385634.0
Z307P18F,2018-03-02,ST4000DM000,0,0.0,925.0,0.0,0.0,48057.0,27.0,0.0,0.0,122633552.0,5488730.0
Z307P18F,2018-03-03,ST4000DM000,0,0.0,949.0,0.0,0.0,49284.0,27.0,0.0,0.0,122633584.0,5625442.0
Z307P18F,2018-03-04,ST4000DM000,0,0.0,973.0,0.0,0.0,50393.0,26.0,0.0,0.0,122633616.0,5748458.0
Z307P18F,2018-03-05,ST4000DM000,0,0.0,996.0,0.0,0.0,51501.0,28.0,0.0,0.0,122633648.0,5871482.0
Z307P18F,2018-03-06,ST4000DM000,0,0.0,1015.0,0.0,0.0,52543.0,25.0,0.0,0.0,122633680.0,5988018.0
Z307P18F,2018-03-07,ST4000DM000,0,0.0,1039.0,0.0,0.0,53825.0,26.0,0.0,0.0,122633712.0,6131546.0
Z307P18F,2018-03-08,ST4000DM000,0,0.0,1059.0,0.0,0.0,54980.0,25.0,0.0,0.0,122633744.0,6261474.0
Z307P18F,2018-03-09,ST4000DM000,0,0.0,1087.0,0.0,0.0,55078.0,26.0,0.0,0.0,1552601776.0,7799752.0
Z307P18F,2018-03-10,ST4000DM000,0,0.0,1111.0,0.0,0.0,55078.0,25.0,0.0,0.0,2525835000.0,11257967.0
Z307P18F,2018-03-11,ST4000DM000,0,0.0,1134.0,0.0,0.0,55078.0,26.0,0.0,0.0,3304379200.0,22366634.0
Z307P18F,2018-03-12,ST4000DM000,0,0.0,1159.0,0.0,0.0,55078.0,28.0,0.0,0.0,4059154456.0,43716979.0
Z307P18F,2018-03-13,ST4000DM000,0,0.0,1183.0,0.0,0.0,55078.0,27.0,0.0,0.0,4756134072.0,53631037.0
Z307P18F,2018-03-14,ST4000DM000,0,0.0,1206.0,0.0,0.0,55078.0,27.0,0.0,0.0,5380167392.0,68340213.0
Z307P18F,2018-03-15,ST4000DM000,0,0.0,1236.0,0.0,0.0,55081.0,28.0,0.0,0.0,6002858048.0,125204113.0
Z307P18F,2018-03-16,ST4000DM000,0,0.0,1260.0,0.0,0.0,55081.0,27.0,0.0,0.0,6686818160.0,182161991.0
Z307P18F,2018-03-17,ST4000DM000,0,0.0,1284.0,0.0,0.0,55081.0,27.0,0.0,0.0,7222314864.0,271663007.0
Z307P18F,2018-03-18,ST4000DM000,0,0.0,1308.0,0.0,0.0,55081.0,27.0,0.0,0.0,7352892704.0,412347015.0
Z307P18F,2018-03-19,ST4000DM000,0,0.0,1332.0,0.0,0.0,55081.0,28.0,0.0,0.0,7371296952.0,597699347.0
Z307P18F,2018-03-20,ST4000DM000,0,0.0,1356.0,0.0,0.0,55081.0,28.0,0.0,0.0,7383900872.0,753845356.0
Z307P18F,2018-03-21,ST4000DM000,0,0.0,1380.0,0.0,0.0,55081.0,27.0,0.0,0.0,7403236040.0,925914329.0
Z307P18F,2018-03-22,ST4000DM000,0,0.0,1404.0,0.0,0.0,55081.0,28.0,0.0,0.0,7426471056.0,1087955295.0
Z307P18F,2018-03-23,ST4000DM000,0,0.0,1428.0,0.0,0.0,55081.0,27.0,0.0,0.0,7456353840.0,1287120368.0
Z307P18F,2018-03-24,ST4000DM000,0,0.0,1452.0,0.0,0.0,55081.0,27.0,0.0,0.0,7476620968.0,1475526385.0
Z307P18F,2018-03-25,ST4000DM000,0,0.0,1476.0,0.0,0.0,55081.0,26.0,0.0,0.0,7499774472.0,1626496443.0
Z307P18F,2018-03-26,ST4000DM000,0,0.0,1500.0,0.0,0.0,55081.0,27.0,0.0,0.0,7530471056.0,1808778881.0
Z307P18F,2018-03-27,ST4000DM000,0,0.0,1524.0,0.0,0.0,55081.0,27.0,0.0,0.0,7554387672.0,2007038029.0
Z307P18F,2018-03-28,ST4000DM000,0,0.0,1548.0,0.0,0.0,55081.0,28.0,0.0,0.0,7574525968.0,2180711714.0
Z307P18F,2018-03-29,ST4000DM000,0,0.0,1571.0,0.0,0.0,55084.0,27.0,0.0,0.0,7591241952.0,2352900417.0
Z307P18F,2018-03-30,ST4000DM000,0,0.0,1595.0,0.0,0.0,55084.0,28.0,0.0,0.0,7610937496.0,2523648550.0
Z307P18F,2018-03-31,ST4000DM000,0,0.0,1619.0,0.0,0.0,55084.0,28.0,0.0,0.0,7630886400.0,2712589611.0
Z307P18F,2018-04-01,ST4000DM000,0,0.0,1644.0,0.0,0.0,55084.0,27.0,0.0,0.0,7653448168.0,2884434359.0
Z307P18F,2018-04-02,ST4000DM000,0,0.0,1668.0,0.0,0.0,55084.0,27.0,0.0,0.0,7674402368.0,3014395279.0
Z307P18F,2018-04-03,ST4000DM000,0,0.0,1692.0,0.0,0.0,55084.0,27.0,0.0,0.0,7697770776.0,3125102880.0
Z307P18F,2018-04-04,ST4000DM000,0,0.0,1715.0,0.0,0.0,55084.0,27.0,0.0,0.0,7718852072.0,3226332600.0
Z307P18F,2018-04-05,ST4000DM000,0,0.0,1740.0,0.0,0.0,55084.0,28.0,0.0,0.0,7745646840.0,3356181666.0
Z307P18F,2018-04-06,ST4000DM000,0,0.0,1764.0,0.0,0.0,55084.0,28.0,0.0,0.0,7774681640.0,3498327876.0
Z307P18F,2018-04-07,ST4000DM000,0,0.0,1787.0,0.0,0.0,55084.0,27.0,0.0,0.0,7816889008.0,3580024833.0
Z307P18F,2018-04-08,ST4000DM000,0,0.0,1812.0,0.0,0.0,55084.0,28.0,0.0,0.0,7845991448.0,3683616294.0
Z307P18F,2018-04-09,ST4000DM000,0,0.0,1835.0,0.0,0.0,55084.0,28.0,0.0,0.0,7868554304.0,3845498792.0
Z307P18F,2018-04-10,ST4000DM000,0,0.0,1859.0,0.0,0.0,55084.0,29.0,0.0,0.0,7888471792.0,3964476214.0
Z307P18F,2018-04-11,ST4000DM000,0,0.0,1884.0,0.0,0.0,55084.0,28.0,0.0,0.0,7909151392.0,4105620020.0
Z307P18F,2018-04-12,ST4000DM000,0,0.0,1907.0,0.0,0.0,55087.0,29.0,0.0,0.0,7927790376.0,4255074685.0
Z307P18F,2018-04-13,ST4000DM000,0,0.0,1932.0,0.0,0.0,55087.0,29.0,0.0,0.0,7957484008.0,4393971088.0
Z307P18F,2018-04-14,ST4000DM000,0,0.0,1956.0,0.0,0.0,55087.0,28.0,0.0,0.0,7977830240.0,4509071776.0
Z307P18F,2018-04-15,ST4000DM000,0,0.0,1980.0,0.0,0.0,55087.0,27.0,0.0,0.0,8003535728.0,4670754847.0
