serial_number,date,model,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_241_raw,smart_242_raw
Z305B2QN,2018-09-18,ST4000DM000,0,0,24188,0.0,0.0,34154.0,22,0,0,43436619704.0,100372647935.0
Z305DEMG,2018-09-18,ST4000DM000,0,0,22491,0.0,0.0,52117.0,27,0,0,37308960136.0,94720359944.0
Z3023VGH,2018-09-18,ST4000DM000,0,0,34419,0.0,0.0,48285.0,31,0,0,23481182772.0,178536183065.0
Z305DEMX,2018-09-18,ST4000DM000,0,0,24335,0.0,0.0,34436.0,19,0,0,43982277080.0,89414121978.0
Z306WYZZ,2018-09-18,ST4000DM000,0,0,9479,0.0,0.0,186.0,22,0,0,16213939400.0,62298358336.0
Z305J0TE,2018-09-18,ST4000DM000,0,0,22011,0.0,0.0,2972.0,33,0,0,39540721744.0,108771995813.0
S301NGZV,2018-09-18,ST4000DM000,0,0,25319,0.0,0.0,16275.0,26,0,0,46331830568.0,88406770847.0
Z302BV7C,2018-09-18,ST4000DM000,0,0,28351,0.0,0.0,38376.0,22,0,0,51693195584.0,109268717207.0
S3010M7R,2018-09-18,ST4000DM000,0,0,29307,0.0,0.0,37166.0,26,0,0,52649338080.0,87864258015.0
S3010M7H,2018-09-18,ST4000DM000,0,0,28995,0.0,0.0,165894.0,26,0,0,43941899888.0,108419232715.0
Z3040J5T,2018-09-18,ST4000DM000,0,0,24843,0.0,0.0,5827.0,21,0,0,45448320632.0,133274678700.0
Z3057728,2018-09-18,ST4000DM000,0,0,23476,0.0,0.0,8151.0,20,0,0,44523310112.0,99216563854.0
Z305NZMM,2018-09-18,ST4000DM000,0,0,22011,0.0,0.0,4627.0,25,0,0,37567777496.0,102507831169.0
Z305NZMD,2018-09-18,ST4000DM000,0,0,22516,0.0,0.0,54266.0,21,0,0,38280358568.0,98662957339.0
Z305NZM9,2018-09-18,ST4000DM000,0,0,22011,0.0,0.0,4341.0,26,0,0,38726751440.0,103847451668.0
Z305AJF7,2018-09-18,ST4000DM000,0,0,23478,0.0,0.0,8829.0,22,0,0,42582870424.0,128531380619.0
S301NGZ7,2018-09-18,ST4000DM000,0,0,25826,0.0,0.0,7718.0,25,0,0,48157425736.0,90107642760.0
S3010M78,2018-09-18,ST4000DM000,0,0,28996,0.0,0.0,165240.0,23,0,0,45141026072.0,103082941329.0
S301NGZ8,2018-09-18,ST4000DM000,0,0,25820,0.0,0.0,6324.0,24,0,0,49444971824.0,100215912035.0
S3010M72,2018-09-18,ST4000DM000,0,0,27791,0.0,0.0,47604.0,21,0,0,50046242928.0,101235058342.0
Z305LG79,2018-09-18,ST4000DM000,0,0,22010,0.0,0.0,4773.0,20,0,0,38659797432.0,108580715444.0
S301GMGW,2018-09-18,ST4000DM000,0,0,27138,6.0,0.0,127441.0,24,0,0,26558705090.0,304812712448.0
Z3015LCH,2018-09-18,ST4000DM000,0,0,40585,0.0,0.0,86870.0,21,0,0,28914885598.0,274922320987.0
Z304HQRL,2018-09-18,ST4000DM000,0,0,25108,0.0,0.0,14437.0,21,0,0,45036524928.0,108012611095.0
Z305G2QK,2018-09-18,ST4000DM000,0,0,22489,0.0,0.0,54772.0,26,0,0,36410534544.0,93903279176.0
Z304HQR4,2018-09-18,ST4000DM000,0,0,25152,0.0,0.0,14789.0,20,0,0,44264660920.0,94914142499.0
S301GMGY,2018-09-18,ST4000DM000,0,0,24841,0.0,0.0,4914.0,20,0,0,44603906880.0,104410465508.0
S301NYES,2018-09-18,ST4000DM000,0,0,25317,0.0,0.0,14330.0,23,0,0,45794142400.0,100453099127.0
Z304SY3R,2018-09-18,ST4000DM000,0,0,24174,0.0,0.0,32358.0,23,0,0,43135223552.0,90835789201.0
